SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
-149.541      0   0.000  0.000  0.000  -67.070  -14.050  -0.289  -0.112  -0.002
-92.971      3   0.000  0.000  0.000  12.105  2.600  -0.018  -0.092  -0.002
182.871     -3   0.000  0.000  0.000  116.197  23.739  -0.248  0.098  -0.004
464.835     -4   0.000  0.000  0.000  143.576  29.580  0.222  0.335  -0.003
440.130     -4   0.000  0.000  0.000  30.853  6.161  0.237  0.384  -0.001
359.530     -3   0.000  0.000  0.000  3.632  0.215  -0.078  0.386  -0.001
198.028     -5   0.000  0.000  0.000  -40.217  -8.632  0.094  0.317  -0.001
20.759     -5   0.000  0.000  0.000  -61.742  -13.199  -0.147  0.211  -0.002
-132.989    -12   0.000  0.000  0.000  -67.324  -14.011  0.076  0.099  -0.001
-267.946    -24   0.000  0.000  0.000  -72.673  -15.107  -0.064  -0.022  -0.002
-431.860    -15   0.000  0.000  0.000  -97.892  -20.142  -0.061  -0.183  -0.002
-633.702    -15   0.000  0.000  0.000  -130.028  -26.294  0.212  -0.393  -0.001
-915.505     -1   0.000  0.000  0.000  -184.034  -37.496  -0.169  -0.693  -0.002
-1074.281     -3   0.000  0.000  0.000  -153.987  -31.020  -0.223  -0.941  -0.004
-990.076     10   0.000  0.000  0.000  -59.247  -10.838  0.230  -1.028  -0.002
-867.658     10   0.000  0.000  0.000  -34.351  -5.799  0.039  -1.074  -0.002
-618.109     23   0.000  0.000  0.000  34.211  8.086  -0.230  -1.010  -0.003
-431.967     24   0.000  0.000  0.000  28.279  6.847  -0.167  -0.955  -0.005
-193.124     25   0.000  0.000  0.000  68.875  15.173  -0.111  -0.834  -0.006
-45.791     25   0.000  0.000  0.000  49.544  10.835  -0.346  -0.747  -0.008
65.273     25   0.000  0.000  0.000  46.156  10.577  0.230  -0.662  -0.006
198.390     25   0.000  0.000  0.000  65.953  14.614  0.304  -0.545  -0.004
311.226     25   0.000  0.000  0.000  68.839  14.947  0.173  -0.426  -0.003
469.979     25   0.000  0.000  0.000  99.907  20.922  -0.109  -0.258  -0.004
615.077      6   0.000  0.000  0.000  108.255  22.352  -0.198  -0.080  -0.005
936.527     -1   0.000  0.000  0.000  200.798  41.240  -0.100  0.250  -0.006
1362.170    -27   0.000  0.000  0.000  276.396  56.821  0.372  0.705  -0.003
1525.997    -27   0.000  0.000  0.000  197.056  39.743  0.114  1.023  -0.002
1481.096    -28   0.000  0.000  0.000  117.762  23.137  0.176  1.208  -0.001
1449.282    -28   0.000  0.000  0.000  119.555  23.242  0.128  1.394  0.000
1385.534    -27   0.000  0.000  0.000  102.329  19.389  0.029  1.549  0.001
1317.421    -28   0.000  0.000  0.000  94.579  17.617  0.033  1.690  0.001
1263.062    -28   0.000  0.000  0.000  94.743  17.338  -0.120  1.829  -0.000
1124.495    -26   0.000  0.000  0.000  52.044  8.319  -0.207  1.895  -0.002
983.105    -26   0.000  0.000  0.000  38.234  5.505  -0.098  1.939  -0.003
1141.274    -27   0.000  0.000  0.000  160.264  30.650  0.042  2.184  -0.002
1034.381    -27   0.000  0.000  0.000  55.216  8.747  0.007  2.254  -0.002
401.465    -27   0.000  0.000  0.000  -191.045  -42.219  -0.309  1.917  -0.005
-139.193    -26   0.000  0.000  0.000  -206.855  -44.810  -0.037  1.558  -0.005
-423.931    -30   0.000  0.000  0.000  -140.536  -30.715  0.012  1.313  -0.005
-388.267    -30   0.000  0.000  0.000  -22.021  -6.065  0.027  1.264  -0.005
-178.268    -15   0.000  0.000  0.000  59.736  10.753  -0.009  1.350  -0.005
4.326     -4   0.000  0.000  0.000  66.566  11.882  -0.191  1.445  -0.006
82.216     -4   0.000  0.000  0.000  35.475  5.924  0.384  1.492  -0.003
64.142      0   0.000  0.000  0.000  -0.641  -1.785  0.133  1.478  -0.002
-191.508     -4   0.000  0.000  0.000  -109.247  -24.158  0.045  1.285  -0.002
-508.374     -3   0.000  0.000  0.000  -160.060  -34.266  0.150  1.011  -0.000
-779.890     -3   0.000  0.000  0.000  -167.974  -35.959  -0.267  0.723  -0.003
-686.403     -3   0.000  0.000  0.000  -28.246  -6.701  -0.038  0.670  -0.003
-508.781     -2   0.000  0.000  0.000  18.178  2.838  -0.102  0.692  -0.004
-428.672     19   0.000  0.000  0.000  -9.628  -2.895  -0.095  0.669  -0.005
-333.906     26   0.000  0.000  0.000  4.116  0.102  0.061  0.670  -0.004
39.557     25   0.000  0.000  0.000  138.138  27.660  0.092  0.891  -0.003
394.423     25   0.000  0.000  0.000  163.373  32.706  0.223  1.153  -0.002
299.262     25   0.000  0.000  0.000  -6.895  -2.982  -0.204  1.129  -0.003
292.576     25   0.000  0.000  0.000  24.301  3.590  -0.058  1.158  -0.004
232.504     10   0.000  0.000  0.000  -0.326  -1.495  -0.050  1.146  -0.004
215.419      1   0.000  0.000  0.000  13.922  1.147  -0.365  1.155  -0.007
163.342      1   0.000  0.000  0.000  -3.900  -1.837  0.366  1.140  -0.004
-5.949     -3   0.000  0.000  0.000  -61.725  -13.541  0.527  1.032  0.000
-101.430     -5   0.000  0.000  0.000  -43.722  -10.037  0.181  0.952  0.002
-240.300     -5   0.000  0.000  0.000  -71.572  -16.072  -0.254  0.823  -0.000
-394.185     -1   0.000  0.000  0.000  -91.181  -19.542  0.176  0.667  0.001
-331.658     -2   0.000  0.000  0.000  -7.257  -2.582  -0.317  0.646  -0.001
-289.517     -3   0.000  0.000  0.000  -10.748  -3.161  -0.193  0.621  -0.003
-170.323     -3   0.000  0.000  0.000  27.903  4.761  -0.241  0.659  -0.005
84.728      3   0.000  0.000  0.000  99.713  19.731  0.040  0.817  -0.005
300.318     22   0.000  0.000  0.000  104.773  20.802  0.272  0.983  -0.002
636.432     25   0.000  0.000  0.000  178.773  35.454  -0.101  1.267  -0.003
922.958     25   0.000  0.000  0.000  186.694  36.939  0.107  1.562  -0.002
894.960      8   0.000  0.000  0.000  71.471  12.370  -0.476  1.661  -0.006
545.672      0   0.000  0.000  0.000  -76.098  -17.492  0.130  1.521  -0.005
61.089      0   0.000  0.000  0.000  -168.616  -36.394  0.060  1.230  -0.005
-381.771    -21   0.000  0.000  0.000  -193.577  -41.283  -0.055  0.900  -0.005
-562.414    -26   0.000  0.000  0.000  -115.567  -24.820  -0.006  0.701  -0.005
-430.110     -7   0.000  0.000  0.000  9.329  0.772  -0.322  0.707  -0.008
-169.847     25   0.000  0.000  0.000  78.694  15.389  0.079  0.831  -0.007
147.419     25   0.000  0.000  0.000  127.774  25.418  0.178  1.034  -0.006
772.743     25   0.000  0.000  0.000  294.917  59.709  0.387  1.512  -0.003
1121.940     25   0.000  0.000  0.000  227.244  44.942  0.068  1.871  -0.002
1221.180     16   0.000  0.000  0.000  146.242  27.865  0.056  2.094  -0.002
785.778      2   0.000  0.000  0.000  -85.014  -20.464  -0.538  1.930  -0.006
372.038      2   0.000  0.000  0.000  -114.817  -25.964  -0.081  1.723  -0.007
-87.855    -16   0.000  0.000  0.000  -173.041  -37.622  -0.023  1.422  -0.007
-427.370    -26   0.000  0.000  0.000  -160.722  -34.430  0.299  1.146  -0.004
-620.769    -27   0.000  0.000  0.000  -125.686  -26.989  0.208  0.930  -0.003
-732.977    -27   0.000  0.000  0.000  -106.553  -22.962  0.037  0.747  -0.002
-813.575     -7   0.000  0.000  0.000  -102.486  -21.906  0.038  0.571  -0.002
-870.817     -4   0.000  0.000  0.000  -98.981  -21.272  -0.273  0.401  -0.004
-919.034     14   0.000  0.000  0.000  -100.428  -20.906  0.217  0.234  -0.003
-931.838     14   0.000  0.000  0.000  -88.624  -18.601  -0.122  0.085  -0.004
-870.129     23   0.000  0.000  0.000  -56.210  -11.725  -0.077  -0.009  -0.004
-467.347     25   0.000  0.000  0.000  102.809  21.249  0.132  0.161  -0.003
-95.049     25   0.000  0.000  0.000  125.620  25.562  -0.049  0.366  -0.003
33.349     25   0.000  0.000  0.000  49.456  9.698  -0.023  0.443  -0.004
-370.388     25   0.000  0.000  0.000  -178.405  -37.355  -0.187  0.145  -0.005
-1550.411     25   0.000  0.000  0.000  -564.654  -116.112  0.054  -0.784  -0.005
-2094.308     25   0.000  0.000  0.000  -385.098  -77.968  0.219  -1.408  -0.003
-1993.495     25   0.000  0.000  0.000  -143.689  -28.006  -0.172  -1.632  -0.004
-1723.673     25   0.000  0.000  0.000  -58.511  -10.111  -0.029  -1.713  -0.005
-1253.988     25   0.000  0.000  0.000  55.736  13.630  0.158  -1.604  -0.003
-185.173     25   0.000  0.000  0.000  368.291  77.369  -0.196  -0.985  -0.005
540.619     25   0.000  0.000  0.000  310.336  64.972  0.064  -0.465  -0.004
627.762     25   0.000  0.000  0.000  88.342  18.757  0.067  -0.315  -0.004
497.861     25   0.000  0.000  0.000  -1.321  -0.067  -0.175  -0.316  -0.005
367.570      7   0.000  0.000  0.000  -13.335  -2.364  0.006  -0.335  -0.005
232.328     -3   0.000  0.000  0.000  -27.448  -5.144  0.108  -0.376  -0.004
154.848     -3   0.000  0.000  0.000  -13.600  -2.370  -0.019  -0.395  -0.004
213.511     -1   0.000  0.000  0.000  40.496  8.979  0.208  -0.323  -0.003
398.053     -1   0.000  0.000  0.000  102.599  21.445  -0.012  -0.151  -0.003
503.471    -24   0.000  0.000  0.000  83.836  17.215  -0.193  -0.014  -0.004
671.593    -24   0.000  0.000  0.000  121.370  25.089  0.156  0.187  -0.003
929.299    -28   0.176  0.000  -0.107  176.535  35.843  -0.204  0.474  -0.005
893.810    -26   0.176  0.000  -0.178  68.069  13.421  0.009  0.581  -0.005
822.105    -26   0.176  0.000  -0.225  48.227  9.380  0.180  0.656  -0.003
724.847    -26   0.176  0.000  -0.256  29.781  5.852  0.548  0.703  0.001
697.898    -28   0.176  0.000  -0.277  52.948  9.989  -0.056  0.783  0.001
838.862    -27   0.176  0.000  -0.291  125.912  25.115  0.193  0.984  0.002
726.694    -27   0.176  0.000  -0.301  24.794  3.885  -0.043  1.015  0.002
505.782    -28   0.176  0.000  -0.307  -33.939  -8.583  -0.430  0.946  -0.002
226.931    -26   0.176  0.000  -0.311  -79.981  -17.790  -0.247  0.804  -0.004
-80.425    -28   0.176  0.000  -0.314  -117.960  -25.388  -0.209  0.601  -0.005
-295.569    -28   0.176  0.000  -0.315  -104.330  -22.154  -0.003  0.424  -0.005
-400.741    -27   0.176  0.000  -0.317  -73.939  -16.024  -0.345  0.295  -0.008
-438.875     -8   0.176  0.000  -0.317  -53.709  -11.109  0.300  0.207  -0.006
-443.151     -2   0.176  0.000  -0.318  -41.881  -8.745  0.116  0.137  -0.005
-437.889     25   0.176  0.000  -0.318  -37.970  -7.915  0.055  0.073  -0.004
-389.170     25   0.176  0.000  -0.319  -17.584  -4.016  -0.330  0.041  -0.007
-248.506     25   0.176  0.000  -0.319  28.217  5.596  -0.151  0.086  -0.008
-180.092     24   0.176  0.000  -0.319  7.934  1.914  0.419  0.101  -0.005
-79.302     25   0.176  0.000  -0.319  28.590  6.055  0.326  0.150  -0.002
18.518     25   0.176  0.000  -0.319  36.505  7.335  0.018  0.208  -0.002
93.384     25   0.176  0.000  -0.319  35.235  6.777  -0.223  0.263  -0.004
129.621     25   0.176  0.000  -0.319  24.516  4.709  -0.011  0.300  -0.004
152.003     25   0.176  0.000  -0.319  21.333  4.236  0.228  0.334  -0.002
130.820     10   0.176  0.000  -0.319  3.790  0.435  0.059  0.338  -0.002
88.378     10   0.176  0.000  -0.319  -7.678  -1.975  0.005  0.322  -0.002
46.120      2   0.176  0.000  -0.319  -11.495  -2.682  0.067  0.300  -0.001
