SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  K_ff  Kp_A  Ki_A  Kp_F  Kd_F  Amp
111946256.000      0   -6152087114.650  0.000  0.000  2.210  1.000  4.560  5.790  1.531  0.020  100000
26.281      0   -6152087114.650  150994948.230  0.066  11.063  1.000  4.560  5.790  1.531  0.020  100000
119550.039     -1   0.000  150994948.230  8784.597  15.649  1.000  4.560  5.790  1.531  0.020  100000
103439.172     -1   3.809  -234455046.009  8784.597  19.820  1.000  4.560  5.790  1.531  0.020  100000
-201643.438      0   503320.315  -192913715.093  -13639.975  21.137  1.000  4.560  5.790  1.531  0.020  100000
-127613.867     -1   503320.315  -218003493.975  -11223.198  20.272  1.000  4.560  5.790  1.531  0.020  100000
-151908.328      1   -781512.978  -217509360.848  -12682.862  19.954  1.000  4.560  5.790  1.531  0.020  100000
-148839.703     -2   -643041.892  158370046.647  -12654.115  19.455  1.000  4.560  5.790  1.531  0.020  100000
148615.734     -1   -726674.482  159496682.207  9213.662  18.458  1.000  4.560  5.790  1.531  0.020  100000
109379.711     -3   -725027.397  159080815.115  9279.207  19.232  1.000  4.560  5.790  1.531  0.020  100000
108928.539     -3   527903.953  159126322.288  9255.014  18.474  1.000  4.560  5.790  1.531  0.020  100000
109013.602      0   531659.400  -218541458.373  9257.660  20.503  1.000  4.560  5.790  1.531  0.020  100000
-189922.266     -3   530273.223  -217638247.704  -12714.160  18.328  1.000  4.560  5.790  1.531  0.020  100000
-148885.594     -3   530424.855  -217627089.351  -12661.613  18.889  1.000  4.560  5.790  1.531  0.020  100000
-148976.828     -3   -728467.717  -217629252.267  -12660.964  17.298  1.000  4.560  5.790  1.531  0.020  100000
-148977.375     -1   -725457.003  158499950.503  -12661.091  18.333  1.000  4.560  5.790  1.531  0.020  100000
148733.594     -1   -725419.794  159126035.809  9221.220  19.429  1.000  4.560  5.790  1.531  0.020  100000
109071.883      1   -725427.068  159124660.711  9257.644  18.975  1.000  4.560  5.790  1.531  0.020  100000
109004.125      0   528336.972  159124617.739  9257.564  19.045  1.000  4.560  5.790  1.531  0.020  100000
109001.102     -2   530423.904  -218542819.148  9257.563  17.677  1.000  4.560  5.790  1.531  0.020  100000
-189920.734     -1   530419.372  -217631157.352  -12714.239  19.381  1.000  4.560  5.790  1.531  0.020  100000
-148879.109     -1   530419.260  -217629094.704  -12661.201  19.208  1.000  4.560  5.790  1.531  0.020  100000
-148974.609      0   -728472.249  -217629094.704  -12661.080  19.268  1.000  4.560  5.790  1.531  0.020  100000
-148974.875      0   -725433.391  158499950.503  -12661.080  19.260  1.000  4.560  5.790  1.531  0.020  100000
148728.359     -1   -725426.453  159126107.429  9221.219  17.155  1.000  4.560  5.790  1.531  0.020  100000
109067.844      0   -725426.453  159124632.063  9257.647  17.192  1.000  4.560  5.790  1.531  0.020  100000
108998.727      0   528336.916  159124617.739  9257.563  16.724  1.000  4.560  5.790  1.531  0.020  100000
109002.594     -1   530424.128  -218542819.148  9257.563  18.323  1.000  4.560  5.790  1.531  0.020  100000
-189926.391     -2   530419.260  -217631157.352  -12714.239  16.928  1.000  4.560  5.790  1.531  0.020  100000
-148879.516      0   530419.260  -217629094.704  -12661.201  19.026  1.000  4.560  5.790  1.531  0.020  100000
-148978.859     -2   -728472.249  -217629094.704  -12661.080  17.425  1.000  4.560  5.790  1.531  0.020  100000
-148974.531      0   -725433.391  158499950.503  -12661.080  19.414  1.000  4.560  5.790  1.531  0.020  100000
148730.266     -2   -725426.453  159126107.429  9221.219  17.991  1.000  4.560  5.790  1.531  0.020  100000
109069.516     -3   -725426.453  159124632.063  9257.647  17.918  1.000  4.560  5.790  1.531  0.020  100000
109001.313     -3   528336.916  159124617.739  9257.563  17.841  1.000  4.560  5.790  1.531  0.020  100000
109005.406     -2   530424.128  -218542819.148  9257.563  19.554  1.000  4.560  5.790  1.531  0.020  100000
-189920.516     -2   530419.260  -217631157.352  -12714.239  19.466  1.000  4.560  5.790  1.531  0.020  100000
-148877.625     -1   530419.260  -217629094.704  -12661.201  19.845  1.000  4.560  5.790  1.531  0.020  100000
-148977.531     -2   -728472.249  -217629094.704  -12661.080  18.005  1.000  4.560  5.790  1.531  0.020  100000
