acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rpm]  actual_Vel[rpm]  Voltage[V]
0.019  -0.009  -0.003  0.001  -2.581      0  0.000
0.019  -0.018  -0.006  0.001  -4.658      0  0.000
0.019  -0.029  -0.006  0.000  -4.617      0  0.000
-0.000  -0.032  -0.009  0.001  -7.074      0  0.000
-0.037  -0.017  -0.013  0.004  -9.844      0  0.000
-0.063  -0.021  -0.012  0.001  -9.347      0  0.000
-0.079  -0.002  -0.011  0.004  -8.890      0  0.000
-0.092  0.019  -0.012  0.005  -9.052      0  0.000
-0.094  0.043  -0.011  0.006  -8.391      0  0.000
-0.092  0.068  -0.011  0.007  -8.462      0  0.000
-0.079  0.082  -0.010  0.006  -7.692      0  0.000
-0.040  0.098  -0.010  0.009  -7.607      0  0.000
-0.003  0.102  -0.008  0.008  -6.413      0  0.000
0.019  0.091  -0.011  0.008  -8.933      0  0.000
0.021  0.064  -0.012  0.006  -9.543      0  0.000
0.005  0.055  -0.012  0.006  -9.235      0  0.000
-0.005  0.031  -0.011  0.008  -8.875      0  0.000
-0.007  0.028  -0.010  0.009  -8.197      0  0.000
-0.003  0.021  -0.009  0.008  -7.085      0  0.000
0.004  0.015  -0.009  0.008  -7.095      0  0.000
0.001  0.014  -0.010  0.008  -8.113      0  0.000
0.000  -0.011  -0.011  0.005  -8.568      0  0.000
0.010  -0.012  -0.010  0.006  -7.496      0  0.000
0.024  -0.006  -0.010  0.007  -8.205      0  0.000
0.007  -0.011  -0.013  0.006  -9.892      0  0.000
-0.003  -0.028  -0.011  0.006  -8.448      0  0.000
-0.021  -0.036  -0.012  0.006  -9.690      0  0.000
-0.046  -0.018  -0.014  0.009  -11.120      0  0.000
-0.075  -0.004  -0.016  0.007  -12.900      0  0.000
-0.102  0.010  -0.019  0.008  -15.002      0  0.000
-0.095  0.034  -0.015  0.010  -11.752      0  0.000
-0.066  0.041  -0.011  0.007  -8.508      0  0.000
-0.038  0.015  -0.010  0.005  -8.211      0  0.000
-0.011  0.001  -0.012  0.005  -9.467      0  0.000
0.014  -0.005  -0.012  0.006  -9.438      0  0.000
0.017  -0.009  -0.014  0.008  -10.611      0  0.000
0.031  -0.016  -0.014  0.007  -10.888      0  0.000
0.027  -0.030  -0.016  0.006  -12.427      0  0.000
0.019  -0.032  -0.015  0.004  -11.802      0  0.000
0.007  -0.043  -0.013  0.004  -10.462      0  0.000
-0.030  -0.042  -0.014  0.005  -10.748      0  0.000
-0.051  -0.030  -0.015  0.004  -11.681      0  0.000
-0.045  -0.019  -0.015  0.005  -11.789      0  0.000
-0.035  -0.017  -0.016  0.007  -12.319      0  0.000
-0.029  -0.007  -0.015  0.007  -12.059      0  0.000
-0.013  0.007  -0.015  0.008  -11.418      0  0.000
-0.006  0.030  -0.015  0.008  -11.449      0  0.000
0.018  0.056  -0.012  0.009  -9.122      0  0.000
0.026  0.070  -0.011  0.008  -9.004      0  0.000
0.049  0.079  -0.009  0.010  -6.975      0  0.000
0.053  0.085  -0.013  0.011  -10.375      0  0.000
0.051  0.093  -0.014  0.012  -10.663      0  0.000
0.046  0.063  -0.013  0.009  -10.077      0  0.000
0.052  0.011  -0.010  0.004  -8.087      0  0.000
0.062  -0.041  -0.008  0.002  -6.205      0  0.000
0.061  -0.085  -0.008  0.001  -6.662      0  0.000
0.060  -0.093  -0.008  0.005  -6.479      0  0.000
0.039  -0.090  -0.010  0.007  -8.145      0  0.000
0.047  -0.076  -0.008  0.007  -6.421      0  0.000
0.051  -0.056  -0.008  0.009  -6.467      0  0.000
0.056  -0.042  -0.010  0.005  -8.233      0  0.000
0.031  -0.002  -0.011  0.008  -8.507      0  0.000
-0.012  0.053  -0.013  0.009  -10.291      0  0.000
-0.040  0.088  -0.011  0.009  -8.924      0  0.000
-0.051  0.083  -0.011  0.008  -8.742      0  0.000
-0.058  0.058  -0.013  0.007  -10.463      0  0.000
-0.032  0.008  -0.008  0.005  -6.320      0  0.000
-0.026  -0.034  -0.012  0.002  -9.154      0  0.000
-0.038  -0.058  -0.013  0.003  -10.269      0  0.000
-0.018  -0.081  -0.011  0.001  -8.271      0  0.000
0.026  -0.077  -0.007  0.004  -5.363      0  0.000
0.038  -0.073  -0.009  0.006  -7.341      0  0.000
0.037  -0.040  -0.011  0.009  -8.579      0  0.000
0.023  -0.017  -0.011  0.006  -8.450      0  0.000
0.026  0.008  -0.009  0.006  -7.217      0  0.000
0.031  0.027  -0.009  0.005  -6.882      0  0.000
0.017  0.042  -0.009  0.005  -6.997      0  0.000
0.041  0.032  -0.008  0.003  -6.073      0  0.000
0.056  0.015  -0.005  0.004  -3.899      0  0.000
0.045  0.002  -0.006  0.005  -5.019      0  0.000
0.046  -0.017  -0.006  0.006  -4.728      0  0.000
0.058  -0.033  -0.008  0.005  -6.096      0  0.000
0.049  -0.038  -0.008  0.004  -6.654      0  0.000
0.027  -0.039  -0.009  0.001  -6.892      0  0.000
0.015  -0.034  -0.007  0.003  -5.205      0  0.000
0.026  -0.033  -0.004  0.002  -3.040      0  0.000
0.024  -0.017  -0.005  0.005  -4.254      0  0.000
-0.004  -0.005  -0.009  0.005  -7.238      0  0.000
-0.025  -0.004  -0.009  0.005  -7.459      0  0.000
-0.029  0.004  -0.010  0.005  -7.969      0  0.000
-0.035  0.018  -0.010  0.006  -7.688      0  0.000
-0.035  0.037  -0.010  0.005  -7.805      0  0.000
-0.058  0.048  -0.013  0.005  -9.876      0  0.000
-0.084  0.037  -0.013  0.003  -10.445      0  0.000
-0.088  -0.014  -0.010  -0.001  -7.864      0  0.000
-0.079  -0.026  -0.011  0.003  -8.318      0  0.000
-0.038  -0.019  -0.009  0.007  -7.092      0  0.000
-0.000  0.005  -0.009  0.008  -6.867      0  0.000
0.006  0.016  -0.010  0.007  -8.123      0  0.000
0.007  0.012  -0.011  0.004  -8.827      0  0.000
0.029  0.012  -0.007  0.004  -5.628      0  0.000
0.044  0.014  -0.008  0.004  -6.303      0  0.000
0.042  0.027  -0.011  0.006  -8.341      0  0.000
0.022  0.065  -0.011  0.010  -8.478      0  0.000
0.006  0.101  -0.009  0.014  -7.015      0  0.000
-0.012  0.075  -0.012  0.010  -9.547      0  0.000
-0.040  0.049  -0.014  0.007  -10.783      0  0.000
-0.045  0.045  -0.012  0.007  -9.632      0  0.000
-0.062  0.052  -0.015  0.007  -12.030      0  0.000
-0.091  0.064  -0.017  0.010  -13.173      0  0.000
-0.126  0.044  -0.018  0.009  -14.215      0  0.000
-0.113  0.032  -0.016  0.011  -12.418      0  0.000
-0.088  0.007  -0.015  0.010  -11.416      0  0.000
-0.065  -0.019  -0.013  0.008  -10.159      0  0.000
-0.037  -0.003  -0.012  0.011  -9.739      0  0.000
-0.008  0.028  -0.015  0.010  -11.623      0  0.000
0.005  0.019  -0.015  0.007  -11.745      0  0.000
0.002  -0.005  -0.016  0.006  -12.899      0  0.000
0.012  -0.040  -0.016  0.005  -12.793      0  0.000
0.023  -0.077  -0.013  0.003  -10.463      0  0.000
0.022  -0.093  -0.013  0.002  -10.460      0  0.000
0.014  -0.108  -0.012  0.003  -9.598      0  0.000
0.014  -0.091  -0.012  0.006  -9.762      0  0.000
0.016  -0.067  -0.013  0.007  -10.250      0  0.000
0.029  -0.036  -0.013  0.009  -9.906      0  0.000
0.034  -0.001  -0.015  0.007  -11.391      0  0.000
0.017  0.029  -0.016  0.007  -12.661      0  0.000
0.004  0.041  -0.015  0.006  -12.106      0  0.000
-0.012  0.058  -0.014  0.008  -11.139      0  0.000
-0.024  0.057  -0.013  0.007  -10.378      0  0.000
-0.006  0.040  -0.011  0.006  -8.680      0  0.000
0.011  0.009  -0.011  0.005  -8.367      0  0.000
0.038  -0.029  -0.010  0.004  -7.566      0  0.000
0.045  -0.027  -0.012  0.007  -9.733      0  0.000
0.044  -0.005  -0.013  0.011  -10.331      0  0.000
0.045  0.037  -0.013  0.012  -10.324      0  0.000
0.051  0.045  -0.010  0.009  -8.120      0  0.000
0.055  0.050  -0.008  0.009  -6.076      0  0.000
0.052  0.038  -0.008  0.007  -6.445      0  0.000
0.040  0.037  -0.010  0.007  -7.754      0  0.000
0.013  0.048  -0.013  0.010  -10.068      0  0.000
-0.019  0.045  -0.016  0.010  -12.682      0  0.000
-0.034  0.032  -0.015  0.010  -11.482      0  0.000
-0.011  0.012  -0.010  0.011  -7.836      0  0.000
-0.001  -0.015  -0.009  0.007  -7.163      0  0.000
0.004  -0.038  -0.008  0.004  -6.612      0  0.000
-0.006  -0.044  -0.010  0.004  -7.867      0  0.000
0.005  -0.044  -0.009  0.007  -7.208      0  0.000
0.011  -0.042  -0.013  0.007  -10.100      0  0.000
0.014  -0.039  -0.014  0.009  -10.780      0  0.000
0.029  -0.051  -0.011  0.006  -8.555      0  0.000
0.034  -0.043  -0.009  0.006  -7.319      0  0.000
0.013  -0.044  -0.009  0.004  -7.273      0  0.000
-0.014  -0.031  -0.011  0.005  -8.389      0  0.000
-0.035  -0.002  -0.014  0.005  -11.284      0  0.000
-0.041  -0.008  -0.014  0.003  -10.679      0  0.000
-0.047  -0.038  -0.015  0.002  -12.155      0  0.000
-0.056  -0.061  -0.015  0.003  -12.150      0  0.000
-0.053  -0.061  -0.015  0.004  -12.157      0  0.000
-0.063  -0.038  -0.014  0.007  -11.354      0  0.000
-0.073  0.010  -0.014  0.009  -10.855      0  0.000
-0.051  0.036  -0.012  0.008  -9.215      0  0.000
-0.007  0.030  -0.010  0.003  -7.669      0  0.000
0.032  0.023  -0.011  0.005  -8.495      0  0.000
0.066  0.034  -0.010  0.006  -8.062      0  0.000
0.078  0.057  -0.010  0.009  -7.610      0  0.000
0.104  0.066  -0.007  0.009  -5.681      0  0.000
0.097  0.054  -0.009  0.008  -7.444      0  0.000
0.069  0.041  -0.012  0.008  -9.470      0  0.000
0.037  0.029  -0.012  0.009  -9.509      0  0.000
-0.004  0.044  -0.014  0.011  -11.005      0  0.000
-0.049  0.047  -0.016  0.007  -12.223      0  0.000
-0.052  0.040  -0.011  0.006  -8.732      0  0.000
-0.025  0.002  -0.008  0.006  -6.233      0  0.000
0.004  -0.016  -0.006  0.008  -4.589      0  0.000
0.029  -0.030  -0.006  0.007  -4.975      0  0.000
0.028  -0.029  -0.011  0.007  -8.588      0  0.000
0.024  -0.037  -0.015  0.005  -11.430      0  0.000
0.010  -0.046  -0.015  0.005  -11.763      0  0.000
-0.002  -0.044  -0.013  0.006  -9.998      0  0.000
-0.016  -0.054  -0.013  0.003  -10.437      0  0.000
-0.046  -0.037  -0.014  0.004  -10.850      0  0.000
-0.087  -0.036  -0.014  0.004  -10.978      0  0.000
-0.091  -0.034  -0.012  0.006  -9.809      0  0.000
-0.080  -0.027  -0.014  0.007  -10.865      0  0.000
-0.047  0.003  -0.014  0.008  -10.861      0  0.000
-0.013  0.008  -0.015  0.005  -11.489      0  0.000
0.003  0.026  -0.014  0.007  -10.822      0  0.000
-0.011  0.031  -0.015  0.007  -12.105      0  0.000
-0.016  0.029  -0.013  0.006  -10.512      0  0.000
0.006  0.030  -0.011  0.005  -8.741      0  0.000
0.033  0.001  -0.009  0.004  -7.182      0  0.000
0.052  -0.006  -0.009  0.006  -7.315      0  0.000
0.040  -0.005  -0.013  0.008  -10.542      0  0.000
0.028  -0.002  -0.015  0.007  -11.941      0  0.000
0.024  0.000  -0.013  0.006  -10.046      0  0.000
0.026  0.002  -0.011  0.004  -8.989      0  0.000
0.018  -0.022  -0.012  0.003  -9.254      0  0.000
0.015  -0.033  -0.011  0.003  -8.967      0  0.000
-0.006  -0.008  -0.012  0.008  -9.455      0  0.000
-0.010  -0.000  -0.011  0.007  -8.562      0  0.000
0.012  -0.007  -0.008  0.005  -6.565      0  0.000
0.058  -0.024  -0.006  0.004  -4.826      0  0.000
0.098  -0.026  -0.006  0.004  -4.955      0  0.000
0.088  -0.036  -0.010  0.001  -7.641      0  0.000
0.042  -0.046  -0.013  -0.000  -10.278      0  0.000
-0.015  -0.045  -0.017  0.002  -13.658      0  0.000
-0.074  -0.045  -0.020  0.003  -15.949      0  0.000
-0.107  -0.055  -0.017  0.002  -13.554      0  0.000
-0.119  -0.052  -0.015  0.005  -11.802      0  0.000
-0.127  -0.028  -0.014  0.003  -11.136      0  0.000
-0.111  -0.005  -0.012  0.003  -9.301      0  0.000
-0.089  0.031  -0.014  0.007  -11.055      0  0.000
-0.049  0.061  -0.015  0.007  -11.501      0  0.000
0.004  0.079  -0.014  0.005  -10.949      0  0.000
0.048  0.070  -0.013  0.005  -10.125      0  0.000
0.072  0.051  -0.013  0.005  -10.196      0  0.000
0.065  0.039  -0.013  0.005  -10.325      0  0.000
0.032  0.034  -0.014  0.006  -10.655      0  0.000
0.003  0.015  -0.015  0.005  -11.924      0  0.000
-0.007  0.020  -0.014  0.006  -10.927      0  0.000
0.000  0.022  -0.012  0.008  -9.253      0  0.000
0.034  0.010  -0.009  0.007  -7.408      0  0.000
0.068  0.008  -0.006  0.005  -4.864      0  0.000
0.090  0.004  -0.006  0.004  -4.826      0  0.000
