SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
-13.653      0   0.176  0.000  -5.859  -1.047  -0.038  -0.184  -0.007  0.000
-45.229      9   0.176  0.000  -15.142  -2.601  -0.073  -0.310  -0.007  0.000
-91.144      0   0.176  0.000  -24.892  -4.203  -0.063  -0.381  -0.001  0.000
-145.242      0   0.176  0.000  -32.649  -5.602  -0.065  -0.421  -0.003  0.000
-190.764     -2   0.176  0.000  -34.115  -6.011  -0.027  -0.331  0.003  0.000
-213.360     -1   0.176  0.000  -27.352  -5.102  -0.048  -0.166  -0.007  0.000
-213.058     -1   0.176  0.000  -18.937  -3.817  -0.077  -0.133  -0.010  0.000
-195.939     -1   0.176  0.000  -11.937  -2.418  -0.041  -0.139  -0.000  0.000
-165.198      0   0.176  0.000  -4.153  -0.649  -0.018  -0.102  -0.002  0.000
-121.612     -1   0.176  0.000  3.802  1.129  0.061  -0.120  0.007  0.000
-70.341     21   0.176  0.000  11.583  2.673  0.095  -0.186  0.000  0.000
-22.037     21   0.176  0.000  15.300  3.120  0.045  -0.195  -0.006  0.000
19.549     28   0.176  0.000  16.553  3.165  -0.001  -0.116  -0.005  0.000
52.697     29   0.176  0.000  16.539  3.127  -0.010  -0.008  -0.005  0.000
74.437     30   0.176  0.000  14.035  2.669  0.004  0.042  0.001  0.000
88.479     30   0.176  0.000  12.610  2.423  0.047  0.064  -0.001  0.000
103.707     29   0.176  0.000  14.578  2.738  0.013  0.042  -0.003  0.000
119.125     16   0.176  0.000  16.325  2.883  -0.067  0.014  -0.007  0.000
130.180     16   0.176  0.000  15.466  2.702  -0.060  -0.006  -0.003  0.000
135.149      5   0.176  0.000  13.854  2.546  -0.076  -0.020  -0.005  0.000
124.968      1   0.176  0.000  7.757  1.572  -0.053  -0.125  -0.010  0.000
98.518      1   0.176  0.000  -1.058  0.064  -0.004  -0.141  -0.000  0.000
62.367      1   0.176  0.000  -7.895  -1.212  0.006  -0.080  0.001  0.000
28.819      2   0.176  0.000  -9.820  -1.734  0.004  -0.019  -0.002  0.000
7.776      1   0.176  0.000  -6.847  -1.423  -0.037  0.017  -0.008  0.000
1.345      0   0.176  0.000  -2.912  -0.776  0.032  0.022  0.004  0.000
4.954     -3   0.176  0.000  0.739  0.015  0.112  0.016  0.008  0.000
11.999     -3   0.176  0.000  3.387  0.677  0.091  0.010  -0.005  0.000
24.128     -4   0.176  0.000  6.313  1.371  0.047  0.043  -0.005  0.000
47.466     -4   0.176  0.000  12.133  2.421  0.061  0.135  0.001  0.000
78.856     -3   0.176  0.000  18.350  3.322  0.014  0.154  -0.007  0.000
101.192     -3   0.176  0.000  17.342  2.866  -0.080  0.076  -0.010  0.000
111.466     -3   0.176  0.000  13.462  2.274  -0.069  0.111  -0.002  0.000
120.457     -3   0.176  0.000  14.071  2.573  -0.072  0.246  -0.007  0.000
137.555     -1   0.176  0.000  18.526  3.295  -0.085  0.312  -0.006  0.000
168.977     -3   0.176  0.000  26.312  4.388  -0.113  0.400  -0.003  0.000
219.696     -3   0.176  0.000  37.150  6.141  -0.005  0.587  0.008  0.000
259.289     -2   0.176  0.000  36.970  6.193  0.098  0.408  0.003  0.000
272.722     -2   0.176  0.000  28.348  5.121  0.157  0.295  0.010  0.000
260.989    -19   0.176  0.000  18.875  3.837  0.141  0.276  -0.001  0.000
239.457    -19   0.176  0.000  13.720  2.889  0.127  0.271  -0.006  0.000
234.796    -28   0.176  0.000  18.874  3.302  0.117  0.516  0.002  0.000
37.828    -30   0.176  0.000  -67.835  -12.424  0.047  -2.159  -0.002  0.000
-142.806    -28   0.176  0.000  -78.490  -13.205  0.041  -0.018  0.001  0.000
-241.138    -28   0.000  0.000  -57.285  -9.845  -0.029  0.523  -0.004  0.000
-253.758    -14   0.000  0.000  -27.888  -6.378  -0.064  0.518  0.002  0.000
-215.691     -1   0.000  0.000  -5.566  -3.537  -0.136  0.343  -0.007  0.000
