SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
-0.000      0   0.000  0.000  -0.000  -0.000  -0.000  -0.041  0.001  0.000
2.410     12   0.000  0.000  723.600  148278.625  148278.641  0.027  -0.009  0.000
2.130      1   0.000  0.000  61.245  12550.104  12511.804  2.338  2.365  0.000
1.699      0   0.000  0.000  -0.863  -176.934  -207.646  0.194  0.197  0.000
1.358      0   0.000  0.000  -0.079  -16.225  -38.622  -0.006  -0.008  0.000
0.683     -2   0.000  0.000  -120.596  -24712.396  -24728.814  -0.009  -0.010  0.000
0.345     -1   0.000  0.000  -60.452  -12387.805  -12394.514  -0.411  -0.383  0.000
0.075     -1   0.000  0.000  -60.225  -12341.253  -12343.511  -0.255  -0.193  0.000
-0.141     -1   0.000  0.000  -60.301  -12356.773  -12355.798  -0.216  -0.186  0.000
-0.514     -2   -0.176  0.000  -120.604  -24713.986  -24710.756  -0.164  -0.202  0.000
-0.612     -1   -0.176  0.000  -60.376  -12372.145  -12364.637  -0.376  -0.395  0.000
-0.690     -1   -0.176  0.000  -60.221  -12340.399  -12332.306  -0.194  -0.198  0.000
-0.150      2   -0.176  0.000  120.601  24713.258  24721.756  -0.195  -0.201  0.000
-0.320     -1   -0.176  0.000  -60.063  -12308.007  -12307.112  0.406  0.397  0.000
-0.256      0   -0.176  0.000  -0.237  -48.512  -45.354  -0.189  -0.197  0.000
-0.204      0   -0.176  0.000  0.078  16.037  18.271  0.003  -0.015  0.000
-0.163      0   -0.176  0.000  0.006  1.221  2.752  0.001  -0.010  0.000
-0.331     -1   -0.176  0.000  -60.296  -12355.745  -12354.719  0.009  -0.005  0.000
-0.466     -1   -0.176  0.000  -60.376  -12372.177  -12368.897  -0.192  -0.208  0.000
-0.372      0   -0.176  0.000  0.004  0.893  5.842  -0.199  -0.207  0.000
-0.699     -2   -0.176  0.000  -120.517  -24696.188  -24692.639  0.004  -0.006  0.000
-0.760     -1   -0.176  0.000  -60.454  -12388.183  -12380.418  -0.406  -0.398  0.000
-0.808     -1   -0.176  0.000  -60.220  -12340.120  -12331.854  -0.203  -0.210  0.000
-1.047     -2   -0.176  0.000  -120.595  -24712.031  -24703.428  -0.207  -0.208  0.000
-1.239     -2   -0.176  0.000  -120.674  -24728.303  -24716.805  -0.413  -0.393  0.000
-1.793     -4   -0.176  0.000  -241.200  -49426.305  -49412.664  -0.412  -0.403  0.000
-1.835     -2   -0.176  0.000  -120.753  -24744.451  -24723.996  -0.790  -0.793  0.000
-2.270     -4   -0.176  0.000  -241.041  -49393.586  -49373.340  -0.383  -0.407  0.000
-2.216     -2   -0.176  0.000  -120.751  -24744.145  -24718.814  -0.786  -0.791  0.000
-2.172     -2   -0.176  0.000  -120.442  -24680.701  -24656.840  -0.403  -0.402  0.000
-2.138     -2   -0.176  0.000  -120.597  -24712.422  -24689.680  -0.410  -0.397  0.000
-2.110     -2   -0.176  0.000  -120.599  -24712.881  -24690.959  -0.402  -0.399  0.000
-2.088      0   -0.176  0.000  -120.598  -24712.707  -24691.402  -0.392  -0.388  0.000
-1.668      0   -0.176  0.000  -0.002  -0.465  20.392  -0.409  -0.398  0.000
-1.534     -1   -0.176  0.000  -60.142  -12324.097  -12308.828  -0.009  0.003  0.000
-1.828     -3   -0.176  0.000  -180.980  -37086.027  -37072.273  -0.214  -0.202  0.000
