acc_{hum}[rpm/s]  acc_{exo}[rpm/s]  vel_{hum}[rpm]  vel_{exo}[rpm]  vel_{motor}[rpm]  actual\_Vel[rpm]  Voltage[V]
-0.004  0.000  -0.001  0.000  -23.715    -21  0.133
-0.010  -109.305  -0.001  0.000  -5.460    -21  0.133
-0.008  -224.886  0.000  0.000  36.463    -22  0.139
-0.016  -295.622  -0.002  0.000  -21.510    -19  0.120
-0.022  -325.267  -0.002  0.000  -29.168    -19  0.120
-0.023  -309.553  -0.001  0.000  -20.052    -16  0.101
-0.015  -263.996  0.000  0.000  17.885    -13  0.082
-0.008  -205.193  -0.000  0.000  16.212    -11  0.070
-0.003  -142.820  -0.001  0.000  0.984    -11  0.070
-0.002  -55.018  -0.001  0.000  -22.133     -9  0.057
0.004  64.219  -0.001  0.000  -9.442     -8  0.051
0.004  201.113  -0.001  0.000  -20.282     -7  0.044
0.003  212.234  -0.001  0.000  -12.243     -7  0.044
0.013  180.679  -0.000  0.000  2.872     -5  0.032
0.007  146.345  -0.001  0.000  -16.462     -5  0.032
-0.001  114.989  -0.001  0.000  -15.588     -5  0.032
-0.000  106.724  0.000  0.000  14.708     -4  0.025
0.001  112.804  -0.001  0.000  -23.558     -3  0.019
0.006  109.450  -0.000  0.000  -7.238     -3  0.019
0.012  83.011  0.000  0.000  13.379     -3  0.019
0.005  62.366  -0.001  0.000  -26.493     -2  0.013
0.000  56.107  -0.001  0.000  -29.761     -2  0.013
0.001  55.336  -0.000  0.000  0.344     -2  0.013
0.005  49.420  0.001  0.000  19.813     -2  0.013
0.007  50.562  -0.000  0.000  -7.728     -1  0.006
-0.002  44.609  -0.001  0.000  -40.149     -1  0.006
-0.003  38.561  -0.000  0.000  -7.674      0  0.000
-0.005  36.976  -0.001  0.000  -44.871      0  0.000
-0.006  40.601  -0.000  0.000  -6.849      0  0.000
-0.005  40.394  -0.000  0.000  -12.674      0  0.000
0.003  29.286  -0.000  0.000  -2.307     -1  0.006
-0.008  19.767  -0.002  0.000  -51.209     -1  0.006
-0.016  10.799  -0.001  0.000  -41.695     -1  0.006
-0.013  2.137  -0.001  0.000  -24.117     -1  0.006
-0.005  -6.170  -0.001  0.000  -24.583     -1  0.006
-0.001  -20.732  -0.001  0.000  -18.613     -3  0.019
-0.003  -35.930  -0.001  0.000  -11.822     -3  0.019
0.004  -63.652  -0.000  0.000  1.335     -7  0.044
-0.001  -100.668  -0.001  0.000  -10.592    -10  0.063
-0.001  -127.461  -0.001  0.000  -21.741    -10  0.063
-0.001  -150.938  -0.001  0.000  -25.279    -12  0.076
0.011  -172.414  0.000  0.000  29.163    -13  0.082
0.010  -177.552  0.000  0.000  17.781    -12  0.076
0.007  -169.739  -0.000  0.000  5.128    -12  0.076
0.005  -154.614  -0.001  0.000  -4.520    -13  0.082
0.004  -116.994  -0.000  0.000  2.062    -11  0.070
0.005  -66.921  -0.000  0.000  10.861     -9  0.057
0.003  -10.073  -0.001  0.000  -14.278     -9  0.057
0.005  36.916  -0.001  0.000  -8.853     -7  0.044
0.003  67.649  -0.001  0.000  -10.142     -6  0.038
0.004  96.892  0.001  0.000  23.819     -5  0.032
-0.004  126.513  -0.001  0.000  -17.032     -2  0.013
0.001  143.178  -0.000  0.000  -3.501     -2  0.013
0.007  152.360  0.000  0.000  4.950     -2  0.013
0.006  152.848  -0.001  0.000  -13.797     -1  0.006
0.002  133.977  -0.001  0.000  -14.576     -1  0.006
0.003  112.627  -0.000  0.000  -1.590     -1  0.006
0.005  96.339  -0.000  0.000  -3.587     -1  0.006
0.005  74.862  0.000  0.000  11.892     -1  0.006
0.003  55.110  -0.000  0.000  -6.029     -1  0.006
-0.002  34.322  -0.001  0.000  -14.627     -1  0.006
-0.002  14.025  -0.001  0.000  -28.699     -1  0.006
-0.008  13.329  -0.001  0.000  -24.281      0  0.000
-0.006  15.698  -0.000  0.000  -7.068      0  0.000
-0.003  16.204  -0.000  0.000  -10.820      0  0.000
-0.005  17.276  -0.000  0.000  -14.998      0  0.000
-0.012  16.280  -0.001  0.000  -43.224      0  0.000
-0.017  15.194  -0.002  0.000  -47.993      0  0.000
-0.010  14.413  -0.000  0.000  -1.390      0  0.000
-0.001  8.602  -0.000  0.000  -2.284     -1  0.006
0.009  -9.376  0.001  0.000  20.355     -3  0.019
