acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rpm]  actual_Vel[rpm]  Voltage[V]
-0.005  0.792  -0.001  0.139  -6.625      0  0.000
-0.011  1.611  -0.001  0.172  -13.162      0  0.000
-0.013  2.119  -0.001  0.152  -16.537      0  0.000
-0.016  2.132  -0.001  0.095  -20.278      0  0.000
-0.017  1.892  -0.001  0.069  -23.399      0  0.000
-0.016  1.838  -0.001  0.116  -24.512      0  0.000
-0.007  1.690  0.000  0.123  -16.630      0  0.000
-0.001  0.868  0.000  0.028  -12.890      0  0.000
0.004  -0.501  -0.000  -0.062  -12.077      0  0.000
0.010  -2.390  -0.000  -0.166  -10.354      0  0.000
0.014  -4.482  -0.000  -0.235  -11.229      0  0.000
0.015  -5.625  0.000  -0.282  -7.492      0  0.000
0.018  -5.982  0.001  -0.267  0.081      0  0.000
0.018  -5.960  0.000  -0.264  2.323      0  0.000
0.008  -5.744  -0.001  -0.245  -3.520      0  0.000
0.001  -4.974  -0.000  -0.185  -4.656      0  0.000
-0.003  -3.283  0.000  -0.129  -3.533      0  0.000
0.001  -0.731  0.000  -0.035  -1.735      0  0.000
0.003  1.599  0.000  0.008  1.050      0  0.000
0.002  2.695  0.000  -0.105  1.202      0  0.000
-0.001  2.786  -0.000  -0.166  -0.590      0  0.000
0.000  2.503  0.001  -0.149  4.297      0  0.000
0.002  2.065  0.000  -0.102  5.940      0  0.000
0.005  1.636  -0.000  -0.083  2.885      0  0.000
0.008  0.895  0.000  -0.104  3.860      0  0.000
0.001  0.016  -0.000  -0.120  2.640      0  0.000
-0.002  -0.756  -0.000  -0.149  2.031      0  0.000
-0.002  -1.310  0.000  -0.169  2.608      0  0.000
-0.008  -0.950  -0.001  -0.130  -4.397      0  0.000
-0.008  -0.173  -0.000  -0.126  -5.465      0  0.000
-0.007  0.064  0.000  -0.113  -4.230      0  0.000
-0.007  -0.167  0.000  -0.124  -2.249      0  0.000
-0.005  -0.272  -0.000  -0.114  -4.457      0  0.000
-0.005  -0.219  -0.001  -0.134  -8.029      0  0.000
-0.000  0.209  0.001  -0.099  -1.693      0  0.000
0.007  0.969  0.001  -0.017  3.366      0  0.000
-0.001  1.702  -0.001  0.014  -7.258      0  0.000
-0.005  2.036  -0.001  0.005  -12.634      0  0.000
-0.003  2.010  -0.001  -0.003  -13.757      0  0.000
-0.008  2.053  -0.000  -0.005  -13.724      0  0.000
-0.013  1.964  -0.001  -0.007  -19.354      0  0.000
-0.006  1.882  0.000  0.002  -12.224      0  0.000
-0.000  1.638  0.000  0.009  -9.464      0  0.000
0.000  1.282  -0.000  0.004  -8.859      0  0.000
0.002  0.600  0.000  -0.005  -4.240      0  0.000
0.019  0.026  0.002  -0.003  7.140      0  0.000
0.030  -0.072  0.001  0.002  11.650      0  0.000
0.024  0.072  0.000  0.011  11.509      0  0.000
0.017  0.235  0.000  0.025  10.226      0  0.000
0.009  0.399  -0.001  0.038  4.198      0  0.000
-0.002  0.543  -0.001  0.046  -4.555      0  0.000
-0.011  0.713  0.000  0.063  -3.250      0  0.000
-0.007  0.933  0.001  0.075  1.048      0  0.000
-0.005  0.745  0.001  0.009  5.452      0  0.000
-0.007  0.438  0.000  -0.006  7.439      0  0.000
-0.002  0.098  0.001  -0.003  13.582      0  0.000
0.011  -0.178  0.001  0.006  18.155      0  0.000
0.017  -0.410  0.001  0.010  19.252      0  0.000
0.018  -0.584  0.001  0.011  18.995      0  0.000
0.022  -0.880  0.001  -0.027  23.429      0  0.000
0.020  -1.375  0.001  -0.089  27.441      0  0.000
0.008  -1.529  0.001  -0.063  26.333      0  0.000
0.003  -1.254  0.001  -0.030  25.845      0  0.000
-0.006  -0.590  -0.000  0.005  17.775      0  0.000
-0.010  -0.263  0.000  0.012  14.984      0  0.000
-0.019  -0.096  -0.001  0.002  7.185      0  0.000
-0.020  -0.013  -0.000  -0.015  3.369      0  0.000
-0.019  0.117  -0.000  -0.020  1.834      0  0.000
-0.020  0.359  -0.000  -0.010  -0.812      0  0.000
-0.017  0.725  0.000  0.007  1.909      0  0.000
-0.010  0.865  0.000  0.012  3.821      0  0.000
-0.001  0.525  0.000  0.009  5.100      0  0.000
0.006  0.251  0.001  0.009  7.727      0  0.000
0.010  0.372  0.000  0.053  6.340      0  0.000
