acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  theta_m[deg]  theta_c[deg]  theta_l[deg]
0.019  0.963  0.003  0.169  -37140.531  0.000  0.000
-0.014  1.401  -0.005  0.111  -66821.438  0.000  0.000
-0.039  0.728  -0.005  -0.062  -90540.969  0.000  0.000
-0.046  -0.362  -0.003  -0.148  -109496.469  0.000  0.000
-0.025  -1.323  0.002  -0.155  -124644.781  0.000  0.000
0.043  -1.908  0.011  -0.120  -136750.578  0.000  0.000
0.036  -2.005  -0.001  -0.058  -146424.938  0.000  0.000
0.058  -1.726  0.004  -0.004  -154156.219  0.000  0.000
0.116  -1.364  0.012  0.010  -160334.688  0.000  0.000
0.146  -1.291  0.009  -0.039  -165272.219  0.000  0.000
0.154  -1.365  0.007  -0.072  -169218.047  0.000  0.000
0.202  -0.165  0.011  -0.066  -172371.359  0.000  0.000
0.167  1.489  0.009  0.037  -174891.328  0.000  0.000
0.071  2.678  0.000  0.149  -176905.172  0.000  0.000
-0.037  2.633  -0.004  0.077  -178514.531  0.000  0.000
-0.038  1.199  0.010  -0.114  -179800.656  0.000  0.000
0.018  -0.934  0.011  -0.271  -180828.469  0.000  0.000
-0.059  -2.594  0.001  -0.292  -181649.844  0.000  0.000
-0.141  -3.741  -0.006  -0.314  -182306.250  0.000  0.000
-0.142  -4.979  -0.002  -0.409  -182830.813  0.000  0.000
-0.196  -6.718  -0.011  -0.523  -183250.016  0.000  0.000
-0.224  -8.223  -0.008  -0.538  -183585.031  0.000  0.000
-0.180  -8.507  -0.004  -0.424  -183852.750  0.000  0.000
-0.090  -5.909  0.005  -0.112  -184066.703  0.000  0.000
-0.070  -0.390  0.002  0.238  -184237.688  0.000  0.000
-0.147  5.345  -0.011  0.381  -184374.328  0.000  0.000
-0.087  8.477  -0.004  0.213  -184483.531  0.000  0.000
-0.015  9.146  -0.006  0.033  -184570.797  0.000  0.000
0.108  9.024  0.012  -0.020  -184640.531  0.000  0.000
0.159  8.790  0.009  0.041  -184696.266  0.000  0.000
0.186  7.849  0.004  0.101  -184740.797  0.000  0.000
0.122  5.368  -0.000  0.068  -184776.391  0.000  0.000
0.017  1.617  -0.009  -0.019  -184804.828  0.000  0.000
0.035  -2.300  0.007  -0.081  -184827.563  0.000  0.000
0.048  -4.357  -0.002  -0.059  -184845.734  0.000  0.000
0.050  -3.893  -0.001  -0.025  -184860.250  0.000  0.000
-0.036  -1.807  -0.003  0.037  -184871.844  0.000  0.000
-0.125  -0.149  -0.010  0.094  -184881.109  0.000  0.000
-0.222  0.409  -0.010  0.093  -184888.516  0.000  0.000
-0.182  0.380  -0.007  0.065  -184894.438  0.000  0.000
-0.123  0.413  -0.005  0.020  -184899.172  0.000  0.000
-0.048  0.613  0.002  -0.027  -184902.953  0.000  0.000
-0.032  0.571  -0.004  -0.056  -184905.969  0.000  0.000
-0.013  0.048  0.006  -0.061  -184908.391  0.000  0.000
0.087  -0.673  0.004  -0.030  -184910.328  0.000  0.000
0.068  -1.163  -0.007  -0.005  -184911.875  0.000  0.000
0.059  -1.253  -0.008  0.035  -184913.109  0.000  0.000
0.048  -0.530  -0.007  0.116  -184914.094  0.000  0.000
0.045  2.801  0.002  0.522  -184914.875  0.000  0.000
0.009  5.147  -0.002  0.436  -184915.500  0.000  0.000
-0.021  5.181  -0.002  0.131  -184916.000  0.000  0.000
0.004  3.932  0.006  -0.028  -184916.406  0.000  0.000
0.009  2.348  -0.004  -0.039  -184916.719  0.000  0.000
0.015  0.932  0.003  0.022  -184916.969  0.000  0.000
0.061  -0.247  -0.001  0.086  -184917.172  0.000  0.000
0.091  -1.382  -0.002  0.085  -184917.344  0.000  0.000
0.045  -2.711  -0.004  0.044  -184917.469  0.000  0.000
-0.019  -3.968  -0.006  0.018  -184917.578  0.000  0.000
-0.060  -4.323  -0.002  0.077  -184917.656  0.000  0.000
-0.019  -1.195  0.003  0.195  -184917.719  0.000  0.000
-0.024  2.116  -0.001  0.265  -184917.781  0.000  0.000
-0.055  3.205  -0.005  0.206  -184917.828  0.000  0.000
-0.017  2.729  -0.003  0.136  -184917.859  0.000  0.000
-0.012  1.322  0.001  0.019  -184917.891  0.000  0.000
0.017  -0.455  -0.002  -0.108  -184917.906  0.000  0.000
0.020  -2.040  -0.003  -0.178  -184917.922  0.000  0.000
0.030  -3.401  -0.000  -0.190  -184917.938  0.000  0.000
-0.013  -4.751  -0.007  -0.194  -184917.953  0.000  0.000
