SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
3.675      0   0.176  0.000  1.252  0.041  -0.252  0.000  0.000  0.000
7.144      7   0.176  0.000  1.443  0.053  -0.221  0.000  0.000  0.000
10.148      0   0.176  0.000  1.524  0.077  -0.223  0.000  0.000  0.000
12.050      0   0.176  0.000  1.293  0.045  -0.237  0.000  0.000  0.000
12.984     -1   0.176  0.000  1.000  0.057  -0.181  0.000  0.000  0.000
13.381      1   0.176  0.000  0.847  0.025  -0.183  0.000  0.000  0.000
13.967      0   0.176  0.000  0.968  0.037  -0.173  0.000  0.000  0.000
14.568      0   0.176  0.000  1.040  0.021  -0.176  0.000  0.000  0.000
14.916      0   0.176  0.000  0.988  0.034  -0.151  0.000  0.000  0.000
14.444      2   0.176  0.000  0.670  0.017  -0.128  0.000  0.000  0.000
14.160      1   0.176  0.000  0.754  0.044  -0.135  0.000  0.000  0.000
13.719      1   0.176  0.000  0.665  0.014  -0.140  0.000  0.000  0.000
13.561      0   0.176  0.000  0.743  0.028  -0.131  0.000  0.000  0.000
13.201      0   0.176  0.000  0.623  0.012  -0.109  0.000  0.000  0.000
12.752      0   0.176  0.000  0.547  0.011  -0.103  0.000  0.000  0.000
12.484     -1   0.176  0.000  0.596  0.024  -0.111  0.000  0.000  0.000
11.997     -1   0.176  0.000  0.461  0.023  -0.076  0.000  0.000  0.000
11.776      0   0.176  0.000  0.548  0.021  -0.099  0.000  0.000  0.000
11.825      0   0.176  0.000  0.637  0.048  -0.080  0.000  0.000  0.000
11.645      0   0.176  0.000  0.532  0.031  -0.074  0.000  0.000  0.000
11.357      1   0.176  0.000  0.466  0.029  -0.069  0.000  0.000  0.000
10.976     -1   0.176  0.000  0.404  0.013  -0.079  0.000  0.000  0.000
10.674     -1   0.176  0.000  0.398  0.026  -0.061  0.000  0.000  0.000
10.552      0   0.176  0.000  0.457  0.025  -0.072  0.000  0.000  0.000
10.228      0   0.176  0.000  0.339  0.023  -0.040  0.000  0.000  0.000
9.798     -2   0.176  0.000  0.272  -0.006  -0.064  0.000  0.000  0.000
9.670     -2   0.176  0.000  0.360  0.036  -0.045  0.000  0.000  0.000
9.526      0   0.176  0.000  0.355  0.006  -0.071  0.000  0.000  0.000
9.221      0   0.176  0.000  0.249  0.020  -0.025  0.000  0.000  0.000
8.815      0   0.176  0.000  0.187  -0.009  -0.052  0.000  0.000  0.000
8.470     -1   0.176  0.000  0.170  0.005  -0.035  0.000  0.000  0.000
8.180      1   0.176  0.000  0.162  0.005  -0.032  0.000  0.000  0.000
7.809      1   0.176  0.000  0.098  -0.009  -0.030  0.000  0.000  0.000
7.214      1   0.176  0.000  -0.036  -0.036  -0.029  0.000  0.000  0.000
7.486      1   0.176  0.000  0.312  0.021  -0.055  0.000  0.000  0.000
7.448     -1   0.176  0.000  0.183  0.006  -0.024  0.000  0.000  0.000
7.258     -1   0.176  0.000  0.123  -0.022  -0.050  0.000  0.000  0.000
7.220      1   0.176  0.000  0.166  0.007  -0.033  0.000  0.000  0.000
7.062      2   0.176  0.000  0.102  0.007  -0.017  0.000  0.000  0.000
6.798      0   0.176  0.000  0.032  0.006  -0.002  0.000  0.000  0.000
6.550      0   0.176  0.000  0.022  -0.008  -0.015  0.000  0.000  0.000
6.327      2   0.176  0.000  -0.003  0.007  0.013  0.000  0.000  0.000
6.545      0   0.176  0.000  0.183  0.034  -0.002  0.000  0.000  0.000
6.381      1   0.176  0.000  0.011  0.032  0.040  0.000  0.000  0.000
6.549      1   0.176  0.000  0.167  0.030  -0.005  0.000  0.000  0.000
6.460      1   0.176  0.000  0.053  0.028  0.024  0.000  0.000  0.000
6.238      0   0.176  0.000  -0.028  0.041  0.050  0.000  0.000  0.000
6.164      2   0.176  0.000  0.027  0.038  0.033  0.000  0.000  0.000
6.440      2   0.176  0.000  0.186  0.050  0.015  0.000  0.000  0.000
6.743      0   0.176  0.000  0.216  0.060  0.031  0.000  0.000  0.000
6.656     -1   0.176  0.000  0.069  0.030  0.027  0.000  0.000  0.000
6.261     -1   0.176  0.000  -0.077  0.013  0.027  0.000  0.000  0.000
6.375     -1   0.176  0.000  0.118  0.055  0.024  0.000  0.000  0.000
6.156      2   0.176  0.000  -0.028  0.024  0.037  0.000  0.000  0.000
6.001      0   0.176  0.000  -0.018  0.022  0.034  0.000  0.000  0.000
5.983     -1   0.176  0.000  0.037  0.021  0.019  0.000  0.000  0.000
5.864     -1   0.176  0.000  -0.022  0.033  0.046  0.000  0.000  0.000
5.861     -1   0.176  0.000  0.021  0.045  0.043  0.000  0.000  0.000
5.559     -1   0.176  0.000  -0.107  0.001  0.026  0.000  0.000  0.000
5.298     -1   0.176  0.000  -0.115  0.001  0.025  0.000  0.000  0.000
5.247      1   0.176  0.000  -0.043  0.014  0.023  0.000  0.000  0.000
5.236      1   0.176  0.000  -0.029  0.014  0.023  0.000  0.000  0.000
5.397      0   0.176  0.000  0.054  0.013  0.007  0.000  0.000  0.000
5.511      0   0.176  0.000  0.048  0.012  0.006  0.000  0.000  0.000
5.472      3   0.176  0.000  -0.023  0.025  0.033  0.000  0.000  0.000
5.332      2   0.176  0.000  -0.058  -0.004  0.003  0.000  0.000  0.000
5.630      1   0.176  0.000  0.132  0.024  -0.010  0.000  0.000  0.000
5.731      1   0.176  0.000  0.064  0.008  0.005  0.000  0.000  0.000
5.946      2   0.176  0.000  0.118  0.036  0.018  0.000  0.000  0.000
6.046      2   0.176  0.000  0.093  0.020  0.004  0.000  0.000  0.000
6.273      2   0.176  0.000  0.153  0.046  0.016  0.000  0.000  0.000
6.266      2   0.176  0.000  0.075  0.016  0.002  0.000  0.000  0.000
6.536      2   0.176  0.000  0.199  0.043  0.002  0.000  0.000  0.000
6.235      0   0.176  0.000  -0.040  -0.002  0.016  0.000  0.000  0.000
6.334      0   0.176  0.000  0.113  0.040  0.014  0.000  0.000  0.000
6.605      0   0.176  0.000  0.200  0.052  0.014  0.000  0.000  0.000
6.539      0   0.176  0.000  0.080  0.006  -0.001  0.000  0.000  0.000
6.277     -1   0.176  0.000  -0.021  0.006  0.013  0.000  0.000  0.000
6.162     -1   0.176  0.000  0.022  0.020  0.012  0.000  0.000  0.000
6.064     -2   0.176  0.000  0.026  0.005  -0.003  0.000  0.000  0.000
5.801     -2   0.176  0.000  -0.070  0.005  0.025  0.000  0.000  0.000
5.825      1   0.176  0.000  0.042  0.018  0.010  0.000  0.000  0.000
5.878      3   0.176  0.000  0.064  0.004  -0.004  0.000  0.000  0.000
5.861      1   0.176  0.000  0.037  0.003  -0.004  0.000  0.000  0.000
5.285      3   0.176  0.000  -0.229  -0.025  0.024  0.000  0.000  0.000
5.163      2   0.176  0.000  -0.069  0.004  0.008  0.000  0.000  0.000
5.301      2   0.176  0.000  0.043  0.004  -0.006  0.000  0.000  0.000
5.344      3   0.176  0.000  0.013  -0.010  -0.007  0.000  0.000  0.000
5.376      5   0.176  0.000  0.005  0.004  0.009  0.000  0.000  0.000
5.351      5   0.176  0.000  -0.017  0.004  0.008  0.000  0.000  0.000
5.391      7   0.176  0.000  0.017  0.004  -0.008  0.000  0.000  0.000
5.036      6   0.176  0.000  -0.165  -0.024  0.008  0.000  0.000  0.000
4.641      4   0.176  0.000  -0.221  -0.022  0.021  0.000  0.000  0.000
4.752      4   0.176  0.000  -0.015  -0.007  -0.008  0.000  0.000  0.000
4.807      4   0.176  0.000  -0.037  -0.007  0.006  0.000  0.000  0.000
5.069      4   0.176  0.000  0.074  -0.007  -0.022  0.000  0.000  0.000
5.168      3   0.176  0.000  0.017  -0.006  -0.005  0.000  0.000  0.000
5.018      3   0.176  0.000  -0.085  -0.021  -0.008  0.000  0.000  0.000
5.282      5   0.176  0.000  0.087  0.023  -0.006  0.000  0.000  0.000
5.249      4   0.176  0.000  -0.010  -0.034  -0.033  0.000  0.000  0.000
5.611      5   0.176  0.000  0.151  0.024  -0.004  0.000  0.000  0.000
5.470      5   0.176  0.000  -0.043  -0.020  -0.004  0.000  0.000  0.000
5.485      5   0.176  0.000  0.021  -0.005  -0.017  0.000  0.000  0.000
5.382      4   0.176  0.000  -0.031  -0.018  -0.016  0.000  0.000  0.000
5.109      4   0.176  0.000  -0.111  -0.045  -0.028  0.000  0.000  0.000
5.133      6   0.176  0.000  -0.016  -0.001  0.000  0.000  0.000  0.000
5.068      3   0.176  0.000  -0.053  -0.015  -0.001  0.000  0.000  0.000
4.756      6   0.176  0.000  -0.158  -0.055  -0.027  0.000  0.000  0.000
4.548      6   0.176  0.000  -0.153  -0.024  0.003  0.000  0.000  0.000
4.510      6   0.176  0.000  -0.088  -0.022  -0.012  0.000  0.000  0.000
4.306      4   0.176  0.000  -0.174  -0.035  0.003  0.000  0.000  0.000
4.226      3   0.176  0.000  -0.130  -0.033  -0.012  0.000  0.000  0.000
3.794      3   0.176  0.000  -0.302  -0.058  0.004  0.000  0.000  0.000
4.216      5   0.176  0.000  0.056  0.000  -0.024  0.000  0.000  0.000
4.195      4   0.176  0.000  -0.118  -0.027  0.004  0.000  0.000  0.000
4.343      4   0.176  0.000  -0.031  -0.026  -0.024  0.000  0.000  0.000
4.510      4   0.176  0.000  -0.017  -0.010  -0.008  0.000  0.000  0.000
4.767      5   0.176  0.000  0.039  0.004  -0.007  0.000  0.000  0.000
4.840      3   0.176  0.000  -0.021  -0.010  -0.007  0.000  0.000  0.000
5.204      3   0.176  0.000  0.116  0.019  -0.007  0.000  0.000  0.000
5.446      3   0.176  0.000  0.081  0.030  0.022  0.000  0.000  0.000
5.407      5   0.176  0.000  -0.010  -0.012  -0.008  0.000  0.000  0.000
5.414      5   0.176  0.000  0.007  0.002  -0.007  0.000  0.000  0.000
5.838      4   0.176  0.000  0.189  0.045  0.007  0.000  0.000  0.000
5.743      3   0.176  0.000  0.000  -0.015  -0.008  0.000  0.000  0.000
5.718      6   0.176  0.000  0.023  0.000  -0.006  0.000  0.000  0.000
5.581      2   0.176  0.000  -0.037  0.000  0.007  0.000  0.000  0.000
5.720      2   0.176  0.000  0.082  0.014  -0.006  0.000  0.000  0.000
5.657      4   0.176  0.000  -0.009  0.013  0.021  0.000  0.000  0.000
5.597      3   0.176  0.000  0.013  -0.029  -0.035  0.000  0.000  0.000
6.074      4   0.176  0.000  0.235  0.042  -0.005  0.000  0.000  0.000
