acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  acc_motor[rad/s2]  actual_Vel[rad/s]
-0.967  -0.043  -0.605  -0.027  -1.548  -0.068  -1.734  0.000      0
-1.133  -0.041  -0.716  -0.026  -1.793  -0.064  -3.385  0.000      0
-1.170  -0.039  -0.748  -0.025  -1.830  -0.060  -4.742  0.000      0
-1.123  -0.031  -0.728  -0.020  -1.731  -0.047  -5.711  0.000      0
-1.081  -0.035  -0.711  -0.023  -1.641  -0.053  -6.394  0.000      0
-1.116  -0.034  -0.742  -0.022  -1.677  -0.050  -6.976  0.000      0
-1.093  -0.029  -0.736  -0.020  -1.618  -0.042  -7.373  0.000      0
-1.040  -0.031  -0.711  -0.021  -1.512  -0.044  -7.577  0.000      0
-0.982  -0.029  -0.684  -0.020  -1.401  -0.041  -7.618  0.000      0
-0.884  -0.025  -0.630  -0.018  -1.226  -0.033  -7.456  0.000      0
-0.760  -0.026  -0.560  -0.019  -1.011  -0.035  -7.094  0.000      0
-0.478  -0.019  -0.389  -0.015  -0.547  -0.024  -6.293  0.000      0
-0.306  -0.024  -0.286  -0.018  -0.266  -0.031  -5.352  0.000      0
-0.243  -0.022  -0.249  -0.017  -0.161  -0.028  -4.486  0.000      0
-0.105  -0.019  -0.164  -0.015  0.062  -0.022  -3.546  0.000      0
-0.091  -0.017  -0.156  -0.014  0.084  -0.020  -2.770  0.000      0
-0.174  -0.019  -0.210  -0.016  -0.051  -0.022  -2.299  0.000      0
-0.208  -0.012  -0.232  -0.012  -0.104  -0.011  -1.972  0.000      0
-0.051  -0.023  -0.135  -0.018  0.149  -0.028  -1.449  0.000      0
-0.011  -0.013  -0.111  -0.012  0.211  -0.012  -0.952  0.000      0
-0.205  -0.015  -0.232  -0.014  -0.103  -0.015  -0.899  0.000      0
-0.402  -0.014  -0.357  -0.013  -0.417  -0.013  -1.198  0.000      0
-0.533  -0.008  -0.442  -0.009  -0.621  -0.003  -1.650  0.000      0
-0.735  -0.013  -0.573  -0.013  -0.936  -0.011  -2.360  0.000      0
-0.930  -0.006  -0.700  -0.009  -1.236  -0.000  -3.247  0.000      0
-0.801  -0.008  -0.627  -0.010  -1.014  -0.003  -3.716  0.000      0
-0.273  -0.008  -0.303  -0.010  -0.155  -0.003  -3.157  0.000      0
0.163  -0.010  -0.033  -0.011  0.544  -0.006  -1.953  0.000      0
0.146  -0.009  -0.042  -0.011  0.510  -0.005  -1.027  0.000      0
-0.040  -0.003  -0.158  -0.007  0.205  0.006  -0.611  0.000      0
-0.182  -0.005  -0.247  -0.008  -0.024  0.002  -0.531  0.000      0
-0.412  -0.011  -0.392  -0.012  -0.392  -0.007  -0.873  0.000      0
-0.566  -0.004  -0.492  -0.008  -0.634  0.004  -1.402  0.000      0
-0.427  -0.004  -0.409  -0.007  -0.404  0.004  -1.573  0.000      0
-0.146  -0.003  -0.237  -0.007  0.051  0.005  -1.216  0.000      0
0.207  -0.008  -0.018  -0.011  0.616  -0.004  -0.322  0.000      0
0.392  -0.002  0.100  -0.007  0.904  0.007  0.713  0.000      0
0.469  -0.005  0.151  -0.008  1.016  0.003  1.660  0.000      0
0.513  -0.001  0.182  -0.006  1.072  0.008  2.481  0.000      0
0.605  -0.004  0.244  -0.008  1.206  0.004  3.280  0.000      0
0.766  -0.003  0.349  -0.007  1.449  0.005  4.182  0.000      0
0.880  -0.003  0.427  -0.007  1.612  0.006  5.082  0.000      0
0.977  0.000  0.495  -0.005  1.747  0.010  5.951  0.000      0
0.580  0.001  0.254  -0.005  1.089  0.011  5.931  0.000      0
-0.237  0.001  -0.252  -0.005  -0.232  0.011  4.478  0.000      0
-0.465  -0.002  -0.396  -0.006  -0.593  0.007  2.921  0.000      0
-0.387  -0.001  -0.351  -0.006  -0.461  0.007  1.822  0.000      0
-0.406  0.002  -0.366  -0.004  -0.486  0.012  0.920  0.000      0
-0.348  0.005  -0.333  -0.002  -0.387  0.017  0.310  0.000      0
-0.206  0.002  -0.247  -0.004  -0.154  0.012  0.072  0.000      0
0.089  -0.006  -0.064  -0.009  0.320  -0.001  0.388  0.000      0
0.513  0.003  0.201  -0.004  0.993  0.013  1.384  0.000      0
0.941  0.006  0.473  -0.002  1.666  0.018  2.914  0.000      0
1.089  0.000  0.573  -0.005  1.881  0.009  4.365  0.000      0
1.040  0.003  0.551  -0.003  1.779  0.014  5.417  0.000      0
0.985  0.004  0.525  -0.003  1.669  0.014  6.138  0.000      0
0.982  0.001  0.531  -0.005  1.643  0.009  6.682  0.000      0
0.878  0.004  0.474  -0.003  1.454  0.014  6.916  0.000      0
0.791  0.001  0.426  -0.004  1.296  0.009  6.928  0.000      0
0.700  0.007  0.376  -0.001  1.135  0.019  6.769  0.000      0
0.689  0.004  0.374  -0.003  1.102  0.014  6.603  0.000      0
0.791  0.004  0.444  -0.002  1.252  0.014  6.633  0.000      0
0.782  0.004  0.445  -0.002  1.221  0.014  6.625  0.000      0
0.540  0.002  0.300  -0.004  0.819  0.009  6.177  0.000      0
0.343  0.007  0.181  -0.000  0.493  0.018  5.471  0.000      0
0.273  -0.004  0.140  -0.007  0.374  -0.000  4.765  0.000      0
0.207  0.005  0.101  -0.002  0.264  0.014  4.092  0.000      0
0.276  0.005  0.145  -0.002  0.371  0.014  3.670  0.000      0
0.549  0.005  0.318  -0.002  0.803  0.014  3.803  0.000      0
