vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
-0.013  -0.012  -0.003  -0.001  0.000  0.002
-0.062  -0.012  -0.005  -0.004  0.000  0.004
-0.183  -0.013  -0.006  -0.008  0.000  0.005
-0.309  -0.010  -0.007  -0.015  0.000  0.006
-0.315  -0.010  -0.008  -0.023  0.000  0.006
-0.214  -0.011  -0.008  -0.034  0.000  0.007
-0.134  -0.008  -0.008  -0.045  0.000  0.007
-0.011  -0.008  -0.008  -0.058  0.000  0.007
0.092  -0.010  -0.009  -0.072  0.000  0.007
0.208  -0.009  -0.008  -0.087  0.000  0.007
0.219  -0.008  -0.008  -0.102  0.000  0.007
0.242  -0.010  -0.009  -0.118  0.000  0.007
0.231  -0.010  -0.009  -0.134  0.000  0.007
0.190  -0.006  -0.008  -0.151  0.000  0.007
0.143  -0.008  -0.008  -0.168  0.000  0.007
0.076  -0.008  -0.008  -0.184  0.000  0.007
0.059  -0.006  -0.008  -0.201  0.000  0.006
0.050  -0.006  -0.007  -0.218  0.000  0.006
0.028  -0.008  -0.007  -0.234  0.000  0.006
0.038  -0.006  -0.007  -0.250  0.000  0.006
0.005  -0.008  -0.008  -0.266  0.000  0.006
-0.029  -0.007  -0.007  -0.282  0.000  0.006
-0.035  -0.006  -0.007  -0.298  0.000  0.006
-0.123  -0.007  -0.007  -0.314  0.000  0.006
-0.188  -0.007  -0.007  -0.329  0.000  0.006
-0.161  -0.004  -0.006  -0.344  0.000  0.005
-0.021  -0.006  -0.006  -0.359  0.000  0.005
0.018  -0.002  -0.005  -0.373  0.000  0.005
0.023  -0.007  -0.006  -0.387  0.000  0.005
0.015  -0.003  -0.005  -0.400  0.000  0.004
0.018  -0.007  -0.006  -0.413  0.000  0.005
0.016  -0.004  -0.005  -0.426  0.000  0.004
0.015  -0.006  -0.005  -0.438  0.000  0.004
0.013  -0.004  -0.005  -0.450  0.000  0.004
0.016  0.001  -0.004  -0.461  0.000  0.003
0.014  -0.006  -0.004  -0.472  0.000  0.004
0.011  -0.002  -0.004  -0.482  0.000  0.003
0.013  -0.003  -0.004  -0.492  0.000  0.003
0.012  -0.004  -0.004  -0.501  0.000  0.003
0.008  -0.001  -0.003  -0.510  0.000  0.003
0.013  -0.005  -0.004  -0.519  0.000  0.003
