vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
-0.002  -0.012  -0.003  0.000  0.000  0.000
0.003  -0.010  -0.004  0.000  0.000  0.000
0.006  -0.015  -0.007  0.000  0.000  0.000
0.003  -0.011  -0.007  0.000  0.000  0.000
0.003  -0.013  -0.009  0.000  0.000  0.000
0.006  -0.007  -0.008  0.000  0.000  0.000
0.006  -0.012  -0.009  0.000  0.000  0.000
0.006  -0.011  -0.009  0.000  0.000  0.000
0.006  -0.011  -0.010  0.000  0.000  0.000
0.010  -0.007  -0.009  0.000  0.000  0.000
0.012  -0.007  -0.009  0.000  0.000  0.000
0.015  -0.012  -0.010  0.000  0.000  0.000
0.018  -0.005  -0.008  0.000  0.000  0.000
0.023  -0.010  -0.009  0.000  0.000  0.000
0.023  -0.009  -0.009  0.000  0.000  0.000
0.026  -0.007  -0.008  0.000  0.000  0.000
0.028  -0.007  -0.008  0.000  0.000  0.000
0.034  -0.005  -0.007  0.000  0.000  0.000
0.033  -0.010  -0.008  0.000  0.000  0.000
0.032  -0.004  -0.007  0.000  0.000  0.000
0.040  -0.006  -0.007  0.000  0.000  0.000
0.035  -0.008  -0.007  0.000  0.000  0.000
0.037  -0.006  -0.007  0.000  0.000  0.000
0.036  -0.004  -0.006  0.000  0.000  0.000
0.034  -0.005  -0.006  0.000  0.000  0.000
0.035  -0.005  -0.006  0.000  0.000  0.000
0.029  -0.007  -0.006  0.000  0.000  0.000
0.030  -0.003  -0.005  0.000  0.000  0.000
0.023  -0.006  -0.006  0.000  0.000  0.000
0.020  -0.004  -0.005  0.000  0.000  0.000
0.016  -0.004  -0.005  0.000  0.000  0.000
0.013  -0.002  -0.004  0.000  0.000  0.000
0.009  -0.006  -0.005  0.000  0.000  0.000
0.009  -0.004  -0.005  0.000  0.000  0.000
-0.001  -0.002  -0.004  0.000  0.000  0.000
0.001  -0.004  -0.004  0.000  0.000  0.000
-0.002  -0.004  -0.004  0.000  0.000  0.000
-0.005  -0.005  -0.004  0.000  0.000  0.000
-0.006  -0.005  -0.004  0.000  0.000  0.000
-0.011  -0.003  -0.004  0.000  0.000  0.000
-0.009  -0.005  -0.004  0.000  0.000  0.000
-0.010  -0.005  -0.004  0.000  0.000  0.000
