vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
0.007  -0.012  -0.003  -0.001  0.000  0.002
0.010  -0.014  -0.005  -0.004  0.000  0.004
0.010  -0.008  -0.005  -0.009  0.000  0.004
0.010  -0.015  -0.008  -0.015  0.000  0.006
0.009  -0.012  -0.008  -0.024  0.000  0.007
0.007  -0.010  -0.009  -0.035  0.000  0.007
0.005  -0.010  -0.009  -0.048  0.000  0.007
0.009  -0.010  -0.009  -0.061  0.000  0.008
0.008  -0.008  -0.009  -0.076  0.000  0.007
0.003  -0.013  -0.010  -0.092  0.000  0.008
0.010  -0.009  -0.009  -0.109  0.000  0.008
0.004  -0.008  -0.009  -0.126  0.000  0.008
0.002  -0.006  -0.008  -0.144  0.000  0.007
0.002  -0.010  -0.009  -0.161  0.000  0.007
0.004  -0.009  -0.009  -0.179  0.000  0.007
0.002  -0.004  -0.008  -0.197  0.000  0.007
0.004  -0.005  -0.007  -0.214  0.000  0.006
-0.000  -0.010  -0.008  -0.231  0.000  0.007
0.007  -0.008  -0.008  -0.249  0.000  0.007
0.003  -0.006  -0.008  -0.266  0.000  0.006
0.007  -0.004  -0.007  -0.282  0.000  0.006
0.006  -0.006  -0.007  -0.298  0.000  0.006
0.008  -0.006  -0.007  -0.314  0.000  0.005
0.006  -0.009  -0.007  -0.329  0.000  0.006
0.004  -0.002  -0.006  -0.344  0.000  0.005
0.007  -0.003  -0.005  -0.358  0.000  0.005
0.003  -0.009  -0.006  -0.372  0.000  0.005
0.009  -0.005  -0.006  -0.386  0.000  0.005
0.007  -0.005  -0.006  -0.399  0.000  0.005
0.008  -0.006  -0.006  -0.412  0.000  0.005
0.008  -0.004  -0.005  -0.425  0.000  0.004
0.008  -0.004  -0.005  -0.437  0.000  0.004
0.007  -0.006  -0.005  -0.449  0.000  0.004
0.005  -0.000  -0.004  -0.461  0.000  0.004
0.011  -0.007  -0.005  -0.472  0.000  0.004
0.003  -0.003  -0.004  -0.483  0.000  0.004
0.008  -0.003  -0.004  -0.494  0.000  0.004
0.005  -0.003  -0.004  -0.504  0.000  0.003
0.006  -0.003  -0.004  -0.514  0.000  0.003
-0.001  -0.003  -0.004  -0.523  0.000  0.003
0.002  -0.006  -0.004  -0.532  0.000  0.004
0.001  -0.001  -0.003  -0.542  0.000  0.003
0.002  0.001  -0.003  -0.550  0.000  0.002
-0.003  -0.005  -0.003  -0.558  0.000  0.003
