vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
-0.355  -0.000  0.000  0.000  0.000  0.000
-0.360  -0.000  0.000  0.000  0.000  0.000
-0.397  -0.000  0.000  0.000  0.000  0.000
-0.424  -0.000  0.000  0.000  0.000  0.000
-0.446  -0.000  0.000  0.000  0.000  0.000
-0.478  -0.000  0.000  0.000  0.000  0.000
-0.509  -0.000  0.000  0.000  0.000  0.000
-0.532  -0.000  0.000  0.000  0.000  0.000
-0.546  -0.000  0.000  0.000  0.000  0.000
-0.556  -0.000  0.000  0.000  0.000  0.000
-0.556  -0.000  0.000  0.000  0.000  0.000
-0.547  -0.000  0.000  0.000  0.000  0.000
-0.532  -0.000  0.000  0.000  0.000  0.000
-0.505  -0.000  0.000  0.000  0.000  0.000
-0.477  -0.000  0.000  0.000  0.000  0.000
-0.441  -0.000  0.000  0.000  0.000  0.000
-0.412  -0.000  0.000  0.000  0.000  0.000
-0.388  -0.000  0.000  0.000  0.000  0.000
-0.342  -0.000  0.000  0.000  0.000  0.000
-0.308  -0.000  0.000  0.000  0.000  0.000
-0.289  -0.000  0.000  0.000  0.000  0.000
-0.257  -0.000  0.000  0.000  0.000  0.000
-0.202  -0.000  0.000  0.000  0.000  0.000
-0.147  -0.000  0.000  0.000  0.000  0.000
-0.063  -0.000  0.000  0.000  0.000  0.000
0.018  -0.000  0.000  0.000  0.000  0.000
0.099  -0.000  0.000  0.000  0.000  0.000
0.166  -0.000  0.000  0.000  0.000  0.000
0.228  -0.000  0.000  0.000  0.000  0.000
0.265  -0.000  0.000  0.000  0.000  0.000
0.287  -0.000  0.000  0.000  0.000  0.000
0.309  -0.000  0.000  0.000  0.000  0.000
0.317  -0.000  0.000  0.000  0.000  0.000
0.320  -0.000  0.000  0.000  0.000  0.000
0.319  -0.000  0.000  0.000  0.000  0.000
0.340  -0.000  0.000  0.000  0.000  0.000
0.355  -0.000  0.000  0.000  0.000  0.000
0.362  -0.000  0.000  0.000  0.000  0.000
0.358  -0.000  0.000  0.000  0.000  0.000
0.361  -0.000  0.000  0.000  0.000  0.000
0.376  -0.000  0.000  0.000  0.000  0.000
0.385  -0.000  0.000  0.000  0.000  0.000
0.404  -0.000  0.000  0.000  0.000  0.000
0.418  -0.000  0.000  0.000  0.000  0.000
0.412  -0.000  0.000  0.000  0.000  0.000
0.413  -0.000  0.000  0.000  0.000  0.000
0.420  -0.000  0.000  0.000  0.000  0.000
0.424  -0.000  0.000  0.000  0.000  0.000
0.412  -0.000  0.000  0.000  0.000  0.000
0.393  -0.000  0.000  0.000  0.000  0.000
0.377  -0.000  0.000  0.000  0.000  0.000
0.344  -0.000  0.000  0.000  0.000  0.000
0.308  -0.000  0.000  0.000  0.000  0.000
0.281  -0.000  0.000  0.000  0.000  0.000
0.251  -0.000  0.000  0.000  0.000  0.000
0.216  -0.000  0.000  0.000  0.000  0.000
0.182  -0.000  0.000  0.000  0.000  0.000
0.145  -0.000  0.000  0.000  0.000  0.000
0.111  -0.000  0.000  0.000  0.000  0.000
0.091  -0.000  0.000  0.000  0.000  0.000
0.075  -0.000  0.000  0.000  0.000  0.000
0.067  -0.000  0.000  0.000  0.000  0.000
0.060  -0.000  0.000  0.000  0.000  0.000
0.049  -0.000  0.000  0.000  0.000  0.000
0.049  -0.000  0.000  0.000  0.000  0.000
0.052  -0.000  0.000  0.000  0.000  0.000
0.048  -0.000  0.000  0.000  0.000  0.000
0.044  -0.000  0.000  0.000  0.000  0.000
0.044  -0.000  0.000  0.000  0.000  0.000
0.040  -0.000  0.000  0.000  0.000  0.000
0.034  -0.000  0.000  0.000  0.000  0.000
0.029  -0.000  0.000  0.000  0.000  0.000
0.021  -0.000  0.000  0.000  0.000  0.000
0.021  -0.000  0.000  0.000  0.000  0.000
0.014  -0.000  0.000  0.000  0.000  0.000
0.007  -0.000  0.000  0.000  0.000  0.000
0.005  -0.000  0.000  0.000  0.000  0.000
0.012  -0.000  0.000  0.000  0.000  0.000
0.012  -0.000  0.000  0.000  0.000  0.000
0.012  -0.000  0.000  0.000  0.000  0.000
0.012  -0.000  0.000  0.000  0.000  0.000
0.011  -0.000  0.000  0.000  0.000  0.000
0.007  -0.000  0.000  0.000  0.000  0.000
0.016  -0.000  0.000  0.000  0.000  0.000
0.007  -0.000  0.000  0.000  0.000  0.000
0.003  -0.000  0.000  0.000  0.000  0.000
0.001  -0.000  0.000  0.000  0.000  0.000
0.006  -0.000  0.000  0.000  0.000  0.000
0.008  -0.000  0.000  0.000  0.000  0.000
0.000  -0.000  0.000  0.000  0.000  0.000
0.011  -0.000  0.000  0.000  0.000  0.000
0.011  -0.000  0.000  0.000  0.000  0.000
0.033  -0.000  0.000  0.000  0.000  0.000
0.037  -0.000  0.000  0.000  0.000  0.000
0.047  -0.000  0.000  0.000  0.000  0.000
0.056  -0.000  0.000  0.000  0.000  0.000
0.073  -0.000  0.000  0.000  0.000  0.000
0.081  -0.000  0.000  0.000  0.000  0.000
0.081  -0.000  0.000  0.000  0.000  0.000
0.088  -0.000  0.000  0.000  0.000  0.000
0.089  -0.000  0.000  0.000  0.000  0.000
0.085  -0.000  0.000  0.000  0.000  0.000
0.085  -0.000  0.000  0.000  0.000  0.000
0.088  -0.000  0.000  0.000  0.000  0.000
0.071  -0.000  0.000  0.000  0.000  0.000
0.057  -0.000  0.000  0.000  0.000  0.000
0.038  -0.000  0.000  0.000  0.000  0.000
0.013  -0.000  0.000  0.000  0.000  0.000
-0.003  -0.000  0.000  0.000  0.000  0.000
-0.014  -0.000  0.000  0.000  0.000  0.000
-0.017  -0.000  0.000  0.000  0.000  0.000
-0.016  -0.000  0.000  0.000  0.000  0.000
-0.008  -0.000  0.000  0.000  0.000  0.000
0.003  -0.000  0.000  0.000  0.000  0.000
0.010  -0.000  0.000  0.000  0.000  0.000
0.013  -0.000  0.000  0.000  0.000  0.000
-0.042  -0.000  0.000  0.000  0.000  0.000
-0.226  -0.000  0.000  0.000  0.000  0.000
-0.242  -0.000  0.000  0.000  0.000  0.000
-0.337  -0.000  0.000  0.000  0.000  0.000
-0.397  -0.000  0.000  0.000  0.000  0.000
-0.288  -0.000  0.000  0.000  0.000  0.000
-0.247  -0.000  0.000  0.000  0.000  0.000
-0.236  -0.000  0.000  0.000  0.000  0.000
-0.182  -0.000  0.000  0.000  0.000  0.000
-0.184  -0.000  0.000  0.000  0.000  0.000
-0.229  -0.000  0.000  0.000  0.000  0.000
-0.244  -0.000  0.000  0.000  0.000  0.000
-0.246  -0.000  0.000  0.000  0.000  0.000
-0.234  -0.000  0.000  0.000  0.000  0.000
-0.214  -0.000  0.000  0.000  0.000  0.000
-0.197  -0.000  0.000  0.000  0.000  0.000
-0.177  -0.000  0.000  0.000  0.000  0.000
-0.156  -0.000  0.000  0.000  0.000  0.000
-0.144  -0.000  0.000  0.000  0.000  0.000
-0.141  -0.000  0.000  0.000  0.000  0.000
-0.152  -0.000  0.000  0.000  0.000  0.000
-0.148  -0.000  0.000  0.000  0.000  0.000
-0.153  -0.000  0.000  0.000  0.000  0.000
-0.140  -0.000  0.000  0.000  0.000  0.000
-0.124  -0.000  0.000  0.000  0.000  0.000
-0.074  -0.000  0.000  0.000  0.000  0.000
-0.030  -0.000  0.000  0.000  0.000  0.000
0.019  -0.000  0.000  0.000  0.000  0.000
0.069  -0.000  0.000  0.000  0.000  0.000
0.122  -0.000  0.000  0.000  0.000  0.000
0.157  -0.000  0.000  0.000  0.000  0.000
0.203  -0.000  0.000  0.000  0.000  0.000
0.246  -0.000  0.000  0.000  0.000  0.000
0.278  -0.000  0.000  0.000  0.000  0.000
0.292  -0.000  0.000  0.000  0.000  0.000
0.327  -0.000  0.000  0.000  0.000  0.000
0.378  -0.000  0.000  0.000  0.000  0.000
0.419  -0.000  0.000  0.000  0.000  0.000
0.451  -0.000  0.000  0.000  0.000  0.000
0.503  -0.000  0.000  0.000  0.000  0.000
0.539  -0.000  0.000  0.000  0.000  0.000
0.517  -0.000  0.000  0.000  0.000  0.000
0.514  -0.000  0.000  0.000  0.000  0.000
0.497  -0.000  0.000  0.000  0.000  0.000
0.475  -0.000  0.000  0.000  0.000  0.000
0.462  -0.000  0.000  0.000  0.000  0.000
0.409  -0.000  0.000  0.000  0.000  0.000
0.365  -0.000  0.000  0.000  0.000  0.000
0.303  -0.000  0.000  0.000  0.000  0.000
0.257  -0.000  0.000  0.000  0.000  0.000
0.221  -0.000  0.000  0.000  0.000  0.000
0.190  -0.000  0.000  0.000  0.000  0.000
0.157  -0.000  0.000  0.000  0.000  0.000
0.120  -0.000  0.000  0.000  0.000  0.000
0.086  -0.000  0.000  0.000  0.000  0.000
0.068  -0.000  0.000  0.000  0.000  0.000
0.042  -0.000  0.000  0.000  0.000  0.000
0.031  -0.000  0.000  0.000  0.000  0.000
0.025  -0.000  0.000  0.000  0.000  0.000
0.003  -0.000  0.000  0.000  0.000  0.000
-0.016  -0.000  0.000  0.000  0.000  0.000
-0.033  -0.000  0.000  0.000  0.000  0.000
-0.045  -0.000  0.000  0.000  0.000  0.000
-0.047  -0.000  0.000  0.000  0.000  0.000
-0.053  -0.000  0.000  0.000  0.000  0.000
-0.047  -0.000  0.000  0.000  0.000  0.000
-0.033  -0.000  0.000  0.000  0.000  0.000
-0.015  -0.000  0.000  0.000  0.000  0.000
0.006  -0.000  0.000  0.000  0.000  0.000
0.032  -0.000  0.000  0.000  0.000  0.000
0.078  -0.000  0.000  0.000  0.000  0.000
0.094  -0.000  0.000  0.000  0.000  0.000
0.108  -0.000  0.000  0.000  0.000  0.000
0.124  -0.000  0.000  0.000  0.000  0.000
0.129  -0.000  0.000  0.000  0.000  0.000
0.138  -0.000  0.000  0.000  0.000  0.000
0.146  -0.000  0.000  0.000  0.000  0.000
0.154  -0.000  0.000  0.000  0.000  0.000
0.159  -0.000  0.000  0.000  0.000  0.000
0.162  -0.000  0.000  0.000  0.000  0.000
0.143  -0.000  0.000  0.000  0.000  0.000
0.152  -0.000  0.000  0.000  0.000  0.000
0.155  -0.000  0.000  0.000  0.000  0.000
0.155  -0.000  0.000  0.000  0.000  0.000
0.157  -0.000  0.000  0.000  0.000  0.000
0.154  -0.000  0.000  0.000  0.000  0.000
0.178  -0.000  0.000  0.000  0.000  0.000
0.176  -0.000  0.000  0.000  0.000  0.000
0.162  -0.000  0.000  0.000  0.000  0.000
0.154  -0.000  0.000  0.000  0.000  0.000
0.142  -0.000  0.000  0.000  0.000  0.000
0.131  -0.000  0.000  0.000  0.000  0.000
0.112  -0.000  0.000  0.000  0.000  0.000
