vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
0.085  0.000  0.000  0.000  0.000  0.000
0.081  0.000  0.000  0.000  0.000  0.000
0.078  0.000  0.000  0.000  0.000  0.000
0.073  0.000  0.000  0.000  0.000  0.000
0.071  0.000  0.000  0.000  0.000  0.000
0.067  0.000  0.000  0.000  0.000  0.000
0.063  0.000  0.000  0.000  0.000  0.000
0.063  0.000  0.000  0.000  0.000  0.000
0.059  0.000  0.000  0.000  0.000  0.000
0.059  0.000  0.000  0.000  0.000  0.000
0.047  0.000  0.000  0.000  0.000  0.000
0.050  0.000  0.000  0.000  0.000  0.000
0.047  0.000  0.000  0.000  0.000  0.000
0.042  0.000  0.000  0.000  0.000  0.000
0.041  0.000  0.000  0.000  0.000  0.000
0.034  0.000  0.000  0.000  0.000  0.000
0.033  0.000  0.000  0.000  0.000  0.000
0.028  0.000  0.000  0.000  0.000  0.000
0.026  0.000  0.000  0.000  0.000  0.000
0.025  0.000  0.000  0.000  0.000  0.000
0.020  0.000  0.000  0.000  0.000  0.000
0.021  0.000  0.000  0.000  0.000  0.000
0.019  0.000  0.000  0.000  0.000  0.000
0.018  0.000  0.000  0.000  0.000  0.000
0.019  0.000  0.000  0.000  0.000  0.000
0.018  0.000  0.000  0.000  0.000  0.000
0.018  0.000  0.000  0.000  0.000  0.000
0.022  0.000  0.000  0.000  0.000  0.000
0.021  0.000  0.000  0.000  0.000  0.000
0.021  0.000  0.000  0.000  0.000  0.000
0.024  0.000  0.000  0.000  0.000  0.000
0.025  0.000  0.000  0.000  0.000  0.000
0.025  0.000  0.000  0.000  0.000  0.000
0.019  0.000  0.000  0.000  0.000  0.000
0.022  0.000  0.000  0.000  0.000  0.000
0.014  0.000  0.000  0.000  0.000  0.000
0.012  0.000  0.000  0.000  0.000  0.000
0.004  0.000  0.000  0.000  0.000  0.000
-0.001  0.000  0.000  0.000  0.000  0.000
-0.008  0.000  0.000  0.000  0.000  0.000
-0.014  0.000  0.000  0.000  0.000  0.000
-0.020  0.000  0.000  0.000  0.000  0.000
-0.029  0.000  0.000  0.000  0.000  0.000
-0.034  0.000  0.000  0.000  0.000  0.000
-0.040  0.000  0.000  0.000  0.000  0.000
-0.041  0.000  0.000  0.000  0.000  0.000
-0.046  0.000  0.000  0.000  0.000  0.000
-0.047  0.000  0.000  0.000  0.000  0.000
-0.052  0.000  0.000  0.000  0.000  0.000
-0.054  0.000  0.000  0.000  0.000  0.000
-0.052  0.000  0.000  0.000  0.000  0.000
-0.056  0.000  0.000  0.000  0.000  0.000
-0.054  0.000  0.000  0.000  0.000  0.000
-0.052  0.000  0.000  0.000  0.000  0.000
-0.052  0.000  0.000  0.000  0.000  0.000
-0.047  0.000  0.000  0.000  0.000  0.000
-0.042  0.000  0.000  0.000  0.000  0.000
-0.041  0.000  0.000  0.000  0.000  0.000
-0.039  0.000  0.000  0.000  0.000  0.000
-0.037  0.000  0.000  0.000  0.000  0.000
-0.032  0.000  0.000  0.000  0.000  0.000
-0.031  0.000  0.000  0.000  0.000  0.000
-0.030  0.000  0.000  0.000  0.000  0.000
-0.031  0.000  0.000  0.000  0.000  0.000
-0.032  0.000  0.000  0.000  0.000  0.000
-0.025  0.000  0.000  0.000  0.000  0.000
-0.033  0.000  0.000  0.000  0.000  0.000
-0.034  0.000  0.000  0.000  0.000  0.000
-0.027  0.000  0.000  0.000  0.000  0.000
-0.030  0.000  0.000  0.000  0.000  0.000
-0.025  0.000  0.000  0.000  0.000  0.000
-0.025  0.000  0.000  0.000  0.000  0.000
-0.022  0.000  0.000  0.000  0.000  0.000
-0.023  0.000  0.000  0.000  0.000  0.000
-0.024  0.000  0.000  0.000  0.000  0.000
-0.018  0.000  0.000  0.000  0.000  0.000
-0.023  0.000  0.000  0.000  0.000  0.000
-0.022  0.000  0.000  0.000  0.000  0.000
-0.018  0.000  0.000  0.000  0.000  0.000
-0.017  0.000  0.000  0.000  0.000  0.000
-0.013  0.000  0.000  0.000  0.000  0.000
-0.014  0.000  0.000  0.000  0.000  0.000
-0.008  0.000  0.000  0.000  0.000  0.000
-0.006  0.000  0.000  0.000  0.000  0.000
-0.006  0.000  0.000  0.000  0.000  0.000
-0.004  0.000  0.000  0.000  0.000  0.000
-0.004  0.000  0.000  0.000  0.000  0.000
-0.005  0.000  0.000  0.000  0.000  0.000
-0.005  0.000  0.000  0.000  0.000  0.000
