acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  exo_Vel[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]  theta_c[rad]  theta_l[rad]
-0.066  -0.085  -0.021  -0.027  -0.213  -0.272  -1.224  0.000  0.000  0.000  0.000  0.000
-0.045  -0.074  -0.015  -0.024  -0.140  -0.230  -1.602  0.000  0.000  0.000  0.000  0.000
-0.061  -0.075  -0.020  -0.025  -0.187  -0.228  -2.483  0.000  0.000  0.000  0.000  0.000
-0.036  -0.065  -0.013  -0.022  -0.101  -0.190  -2.421  0.000  0.000  0.000  0.000  0.000
-0.026  -0.067  -0.010  -0.023  -0.067  -0.190  -2.017  0.000  0.000  0.000  0.000  0.000
-0.013  -0.062  -0.006  -0.022  -0.024  -0.171  -1.316  0.000  0.000  0.000  0.000  0.000
0.017  -0.047  0.003  -0.018  0.073  -0.118  0.076  0.000  0.000  0.000  0.000  0.000
0.039  -0.050  0.010  -0.019  0.142  -0.124  1.964  0.000  0.000  0.000  0.000  0.000
0.065  -0.047  0.019  -0.019  0.221  -0.110  4.283  0.000  0.000  0.000  0.000  0.000
0.090  -0.049  0.027  -0.020  0.295  -0.114  6.963  0.000  0.000  0.000  0.000  0.000
0.084  -0.039  0.026  -0.017  0.268  -0.081  8.649  0.000  0.000  0.000  0.000  0.000
0.101  -0.031  0.032  -0.015  0.315  -0.053  10.385  0.000  0.000  0.000  0.000  0.000
0.095  -0.040  0.031  -0.018  0.289  -0.079  11.582  0.000  0.000  0.000  0.000  0.000
0.101  -0.032  0.034  -0.016  0.301  -0.051  12.543  0.000  0.000  0.000  0.000  0.000
0.111  -0.029  0.037  -0.015  0.325  -0.041  13.519  0.000  0.000  0.000  0.000  0.000
0.116  -0.033  0.040  -0.016  0.332  -0.051  14.413  0.000  0.000  0.000  0.000  0.000
0.122  -0.018  0.043  -0.012  0.345  -0.004  15.064  0.000  0.000  0.000  0.000  0.000
0.127  -0.017  0.045  -0.012  0.350  0.001  15.609  0.000  0.000  0.000  0.000  0.000
0.118  -0.026  0.043  -0.015  0.312  -0.029  15.744  0.000  0.000  0.000  0.000  0.000
0.115  -0.019  0.043  -0.013  0.294  -0.005  15.540  0.000  0.000  0.000  0.000  0.000
0.097  -0.022  0.039  -0.014  0.229  -0.016  14.693  0.000  0.000  0.000  0.000  0.000
0.090  -0.015  0.037  -0.012  0.202  0.009  13.601  0.000  0.000  0.000  0.000  0.000
0.077  -0.013  0.034  -0.012  0.154  0.014  12.159  0.000  0.000  0.000  0.000  0.000
0.050  -0.017  0.026  -0.013  0.065  0.001  10.057  0.000  0.000  0.000  0.000  0.000
0.029  -0.004  0.020  -0.009  -0.005  0.043  7.411  0.000  0.000  0.000  0.000  0.000
0.016  -0.008  0.016  -0.010  -0.044  0.028  4.922  0.000  0.000  0.000  0.000  0.000
0.014  -0.007  0.016  -0.010  -0.052  0.031  2.830  0.000  0.000  0.000  0.000  0.000
-0.019  -0.011  0.006  -0.011  -0.154  0.016  0.080  0.000  0.000  0.000  0.000  0.000
-0.016  -0.004  0.006  -0.009  -0.140  0.038  -2.067  0.000  0.000  0.000  0.000  0.000
-0.025  -0.003  0.003  -0.009  -0.166  0.042  -4.089  0.000  0.000  0.000  0.000  0.000
-0.013  0.004  0.007  -0.007  -0.123  0.061  -5.292  0.000  0.000  0.000  0.000  0.000
0.004  -0.001  0.012  -0.008  -0.068  0.045  -5.561  0.000  0.000  0.000  0.000  0.000
0.008  -0.001  0.013  -0.008  -0.052  0.045  -5.595  0.000  0.000  0.000  0.000  0.000
-0.021  0.001  0.004  -0.008  -0.143  0.048  -6.656  0.000  0.000  0.000  0.000  0.000
-0.016  0.013  0.006  -0.004  -0.122  0.086  -7.433  0.000  0.000  0.000  0.000  0.000
-0.048  -0.005  -0.004  -0.009  -0.222  0.028  -8.909  0.000  0.000  0.000  0.000  0.000
-0.075  0.003  -0.013  -0.007  -0.302  0.050  -11.095  0.000  0.000  0.000  0.000  0.000
-0.070  0.003  -0.012  -0.007  -0.281  0.051  -12.601  0.000  0.000  0.000  0.000  0.000
-0.073  0.004  -0.014  -0.007  -0.283  0.052  -13.825  0.000  0.000  0.000  0.000  0.000
-0.091  0.010  -0.020  -0.005  -0.334  0.071  -15.454  0.000  0.000  0.000  0.000  0.000
-0.093  -0.000  -0.021  -0.008  -0.331  0.035  -16.565  0.000  0.000  0.000  0.000  0.000
-0.103  0.005  -0.025  -0.006  -0.354  0.052  -17.780  0.000  0.000  0.000  0.000  0.000
-0.081  0.012  -0.019  -0.004  -0.273  0.073  -17.924  0.000  0.000  0.000  0.000  0.000
-0.112  0.007  -0.029  -0.006  -0.367  0.053  -19.001  0.000  0.000  0.000  0.000  0.000
-0.073  0.013  -0.018  -0.004  -0.233  0.071  -18.431  0.000  0.000  0.000  0.000  0.000
-0.060  0.007  -0.015  -0.005  -0.184  0.050  -17.324  0.000  0.000  0.000  0.000  0.000
-0.048  0.013  -0.011  -0.003  -0.142  0.070  -16.047  0.000  0.000  0.000  0.000  0.000
-0.048  0.008  -0.012  -0.005  -0.137  0.050  -14.872  0.000  0.000  0.000  0.000  0.000
-0.033  0.008  -0.008  -0.005  -0.088  0.049  -13.368  0.000  0.000  0.000  0.000  0.000
-0.039  0.009  -0.010  -0.004  -0.104  0.051  -12.362  0.000  0.000  0.000  0.000  0.000
-0.044  -0.008  -0.011  -0.010  -0.116  -0.005  -11.446  0.000  0.000  0.000  0.000  0.000
-0.052  0.010  -0.015  -0.004  -0.141  0.053  -11.246  0.000  0.000  0.000  0.000  0.000
-0.070  0.005  -0.020  -0.006  -0.194  0.036  -11.593  0.000  0.000  0.000  0.000  0.000
-0.082  0.005  -0.025  -0.006  -0.228  0.034  -12.254  0.000  0.000  0.000  0.000  0.000
-0.080  0.011  -0.025  -0.004  -0.213  0.053  -12.690  0.000  0.000  0.000  0.000  0.000
-0.070  0.012  -0.022  -0.003  -0.176  0.055  -12.623  0.000  0.000  0.000  0.000  0.000
-0.052  0.005  -0.017  -0.005  -0.117  0.032  -11.797  0.000  0.000  0.000  0.000  0.000
-0.050  0.012  -0.017  -0.003  -0.104  0.053  -11.081  0.000  0.000  0.000  0.000  0.000
-0.045  0.006  -0.016  -0.005  -0.086  0.033  -10.210  0.000  0.000  0.000  0.000  0.000
-0.064  0.012  -0.022  -0.003  -0.147  0.051  -10.277  0.000  0.000  0.000  0.000  0.000
-0.063  0.006  -0.022  -0.005  -0.139  0.032  -10.152  0.000  0.000  0.000  0.000  0.000
-0.048  0.007  -0.018  -0.005  -0.087  0.032  -9.459  0.000  0.000  0.000  0.000  0.000
-0.034  0.013  -0.014  -0.003  -0.040  0.050  -8.455  0.000  0.000  0.000  0.000  0.000
-0.040  0.013  -0.016  -0.002  -0.058  0.049  -7.836  0.000  0.000  0.000  0.000  0.000
-0.046  0.007  -0.019  -0.004  -0.077  0.030  -7.471  0.000  0.000  0.000  0.000  0.000
-0.023  0.007  -0.012  -0.004  -0.000  0.030  -6.314  0.000  0.000  0.000  0.000  0.000
-0.010  0.013  -0.008  -0.002  0.041  0.047  -4.990  0.000  0.000  0.000  0.000  0.000
0.014  0.019  -0.000  -0.000  0.116  0.065  -3.158  0.000  0.000  0.000  0.000  0.000
0.012  0.001  -0.001  -0.006  0.107  0.006  -1.539  0.000  0.000  0.000  0.000  0.000
0.030  0.007  0.005  -0.004  0.161  0.026  0.281  0.000  0.000  0.000  0.000  0.000
0.032  0.013  0.006  -0.002  0.164  0.045  1.694  0.000  0.000  0.000  0.000  0.000
0.050  0.007  0.012  -0.004  0.219  0.024  3.531  0.000  0.000  0.000  0.000  0.000
0.057  0.013  0.014  -0.002  0.235  0.042  5.104  0.000  0.000  0.000  0.000  0.000
0.034  -0.004  0.007  -0.007  0.154  -0.012  5.698  0.000  0.000  0.000  0.000  0.000
0.048  0.019  0.012  0.000  0.195  0.062  6.314  0.000  0.000  0.000  0.000  0.000
0.059  0.014  0.016  -0.001  0.227  0.041  7.260  0.000  0.000  0.000  0.000  0.000
0.045  0.007  0.012  -0.003  0.175  0.020  7.524  0.000  0.000  0.000  0.000  0.000
0.039  0.002  0.011  -0.005  0.152  0.002  7.564  0.000  0.000  0.000  0.000  0.000
0.031  0.014  0.008  -0.001  0.122  0.041  7.088  0.000  0.000  0.000  0.000  0.000
0.051  0.014  0.015  -0.001  0.184  0.039  7.427  0.000  0.000  0.000  0.000  0.000
0.060  0.002  0.018  -0.004  0.208  0.001  8.134  0.000  0.000  0.000  0.000  0.000
0.058  0.002  0.018  -0.004  0.197  0.002  8.573  0.000  0.000  0.000  0.000  0.000
0.050  0.020  0.016  0.001  0.164  0.057  8.320  0.000  0.000  0.000  0.000  0.000
0.054  0.008  0.018  -0.002  0.175  0.018  8.412  0.000  0.000  0.000  0.000  0.000
0.047  0.014  0.016  -0.001  0.146  0.036  8.093  0.000  0.000  0.000  0.000  0.000
0.022  0.014  0.008  -0.000  0.062  0.036  6.892  0.000  0.000  0.000  0.000  0.000
0.019  0.013  0.007  -0.000  0.051  0.033  5.827  0.000  0.000  0.000  0.000  0.000
0.006  0.008  0.004  -0.002  0.010  0.014  4.606  0.000  0.000  0.000  0.000  0.000
-0.007  0.008  -0.000  -0.002  -0.032  0.014  3.160  0.000  0.000  0.000  0.000  0.000
0.013  0.018  0.006  0.001  0.031  0.048  2.571  0.000  0.000  0.000  0.000  0.000
0.006  0.012  0.004  -0.000  0.008  0.027  1.931  0.000  0.000  0.000  0.000  0.000
-0.012  0.006  -0.002  -0.002  -0.048  0.007  0.885  0.000  0.000  0.000  0.000  0.000
-0.030  0.012  -0.008  -0.000  -0.105  0.025  -0.668  0.000  0.000  0.000  0.000  0.000
-0.022  0.012  -0.005  -0.000  -0.078  0.024  -1.589  0.000  0.000  0.000  0.000  0.000
-0.020  0.006  -0.005  -0.002  -0.070  0.006  -2.160  0.000  0.000  0.000  0.000  0.000
-0.017  0.012  -0.004  -0.000  -0.059  0.023  -2.556  0.000  0.000  0.000  0.000  0.000
-0.023  0.006  -0.006  -0.002  -0.076  0.004  -2.983  0.000  0.000  0.000  0.000  0.000
0.002  0.011  0.001  -0.000  0.006  0.019  -2.466  0.000  0.000  0.000  0.000  0.000
-0.016  0.012  -0.004  -0.000  -0.051  0.021  -2.701  0.000  0.000  0.000  0.000  0.000
-0.031  0.017  -0.009  0.002  -0.099  0.037  -3.488  0.000  0.000  0.000  0.000  0.000
