vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
-0.048  0.000  0.000  0.000  0.000  0.000
-0.025  0.000  0.000  0.000  0.000  0.000
0.013  0.000  0.000  0.000  0.000  0.000
0.041  0.000  0.000  0.000  0.000  0.000
0.057  0.000  0.000  0.000  0.000  0.000
0.056  0.000  0.000  0.000  0.000  0.000
0.047  0.000  0.000  0.000  0.000  0.000
0.042  0.000  0.000  0.000  0.000  0.000
0.036  0.000  0.000  0.000  0.000  0.000
0.032  0.000  0.000  0.000  0.000  0.000
0.023  0.000  0.000  0.000  0.000  0.000
0.013  0.000  0.000  0.000  0.000  0.000
0.004  0.000  0.000  0.000  0.000  0.000
0.001  0.000  0.000  0.000  0.000  0.000
-0.005  0.000  0.000  0.000  0.000  0.000
-0.005  0.000  0.000  0.000  0.000  0.000
0.002  0.000  0.000  0.000  0.000  0.000
0.015  0.000  0.000  0.000  0.000  0.000
0.023  0.000  0.000  0.000  0.000  0.000
0.030  0.000  0.000  0.000  0.000  0.000
0.040  0.000  0.000  0.000  0.000  0.000
0.046  0.000  0.000  0.000  0.000  0.000
0.050  0.000  0.000  0.000  0.000  0.000
0.057  0.000  0.000  0.000  0.000  0.000
0.043  0.000  0.000  0.000  0.000  0.000
0.035  0.000  0.000  0.000  0.000  0.000
0.036  0.000  0.000  0.000  0.000  0.000
0.038  0.000  0.000  0.000  0.000  0.000
0.041  0.000  0.000  0.000  0.000  0.000
-0.004  0.000  0.000  0.000  0.000  0.000
-0.059  0.000  0.000  0.000  0.000  0.000
-0.058  0.000  0.000  0.000  0.000  0.000
-0.113  0.000  0.000  0.000  0.000  0.000
-0.178  0.000  0.000  0.000  0.000  0.000
-0.170  0.000  0.000  0.000  0.000  0.000
-0.153  0.000  0.000  0.000  0.000  0.000
-0.096  0.000  0.000  0.000  0.000  0.000
-0.052  0.000  0.000  0.000  0.000  0.000
-0.090  0.000  0.000  0.000  0.000  0.000
-0.058  0.000  0.000  0.000  0.000  0.000
-0.066  0.000  0.000  0.000  0.000  0.000
-0.119  0.000  0.000  0.000  0.000  0.000
-0.133  0.000  0.000  0.000  0.000  0.000
-0.153  0.000  0.000  0.000  0.000  0.000
-0.151  0.000  0.000  0.000  0.000  0.000
-0.130  0.000  0.000  0.000  0.000  0.000
-0.093  0.000  0.000  0.000  0.000  0.000
-0.047  0.000  0.000  0.000  0.000  0.000
0.001  0.000  0.000  0.000  0.000  0.000
-0.041  0.000  0.000  0.000  0.000  0.000
-0.097  0.000  0.000  0.000  0.000  0.000
0.008  0.000  0.000  0.000  0.000  0.000
0.022  0.000  0.000  0.000  0.000  0.000
0.021  0.000  0.000  0.000  0.000  0.000
-0.049  0.000  0.000  0.000  0.000  0.000
-0.040  0.000  0.000  0.000  0.000  0.000
-0.025  0.000  0.000  0.000  0.000  0.000
-0.010  0.000  0.000  0.000  0.000  0.000
0.003  0.000  0.000  0.000  0.000  0.000
0.017  0.000  0.000  0.000  0.000  0.000
0.024  0.000  0.000  0.000  0.000  0.000
0.029  0.000  0.000  0.000  0.000  0.000
0.032  0.000  0.000  0.000  0.000  0.000
0.034  0.000  0.000  0.000  0.000  0.000
0.038  0.000  0.000  0.000  0.000  0.000
0.043  0.000  0.000  0.000  0.000  0.000
0.048  0.000  0.000  0.000  0.000  0.000
0.049  0.000  0.000  0.000  0.000  0.000
0.047  0.000  0.000  0.000  0.000  0.000
0.043  0.000  0.000  0.000  0.000  0.000
0.039  0.000  0.000  0.000  0.000  0.000
0.037  0.000  0.000  0.000  0.000  0.000
0.030  0.000  0.000  0.000  0.000  0.000
