vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
0.053  0.000  0.000  0.000  0.000  0.000
0.061  0.000  0.000  0.000  0.000  0.000
0.066  0.000  0.000  0.000  0.000  0.000
0.065  0.000  0.000  0.000  0.000  0.000
0.072  0.000  0.000  0.000  0.000  0.000
0.081  0.000  0.000  0.000  0.000  0.000
0.080  0.000  0.000  0.000  0.000  0.000
0.084  0.000  0.000  0.000  0.000  0.000
0.093  0.000  0.000  0.000  0.000  0.000
0.093  0.000  0.000  0.000  0.000  0.000
0.086  0.000  0.000  0.000  0.000  0.000
0.088  0.000  0.000  0.000  0.000  0.000
0.086  0.000  0.000  0.000  0.000  0.000
0.075  0.000  0.000  0.000  0.000  0.000
0.056  0.000  0.000  0.000  0.000  0.000
0.040  0.000  0.000  0.000  0.000  0.000
0.011  0.000  0.000  0.000  0.000  0.000
-0.019  0.000  0.000  0.000  0.000  0.000
-0.057  0.000  0.000  0.000  0.000  0.000
-0.087  0.000  0.000  0.000  0.000  0.000
-0.125  0.000  0.000  0.000  0.000  0.000
-0.152  0.000  0.000  0.000  0.000  0.000
-0.177  0.000  0.000  0.000  0.000  0.000
-0.193  0.000  0.000  0.000  0.000  0.000
-0.210  0.000  0.000  0.000  0.000  0.000
-0.218  0.000  0.000  0.000  0.000  0.000
-0.215  0.000  0.000  0.000  0.000  0.000
-0.220  0.000  0.000  0.000  0.000  0.000
-0.188  0.000  0.000  0.000  0.000  0.000
-0.221  0.000  0.000  0.000  0.000  0.000
-0.311  0.000  0.000  0.000  0.000  0.000
-0.365  0.000  0.000  0.000  0.000  0.000
-0.398  0.000  0.000  0.000  0.000  0.000
-0.460  0.000  0.000  0.000  0.000  0.000
-0.545  0.000  0.000  0.000  0.000  0.000
-0.600  0.000  0.000  0.000  0.000  0.000
-0.606  0.000  0.000  0.000  0.000  0.000
-0.612  0.000  0.000  0.000  0.000  0.000
-0.604  0.000  0.000  0.000  0.000  0.000
-0.581  0.000  0.000  0.000  0.000  0.000
-0.519  0.000  0.000  0.000  0.000  0.000
-0.463  0.000  0.000  0.000  0.000  0.000
-0.409  0.000  0.000  0.000  0.000  0.000
-0.327  0.000  0.000  0.000  0.000  0.000
-0.272  0.000  0.000  0.000  0.000  0.000
-0.242  0.000  0.000  0.000  0.000  0.000
-0.203  0.000  0.000  0.000  0.000  0.000
-0.144  0.000  0.000  0.000  0.000  0.000
-0.055  0.000  0.000  0.000  0.000  0.000
0.085  0.000  0.000  0.000  0.000  0.000
0.142  0.000  0.000  0.000  0.000  0.000
0.129  0.000  0.000  0.000  0.000  0.000
0.120  0.000  0.000  0.000  0.000  0.000
0.151  0.000  0.000  0.000  0.000  0.000
0.164  0.000  0.000  0.000  0.000  0.000
0.162  0.000  0.000  0.000  0.000  0.000
0.178  0.000  0.000  0.000  0.000  0.000
0.210  0.000  0.000  0.000  0.000  0.000
0.222  0.000  0.000  0.000  0.000  0.000
0.232  0.000  0.000  0.000  0.000  0.000
0.229  0.000  0.000  0.000  0.000  0.000
0.238  0.000  0.000  0.000  0.000  0.000
0.283  0.000  0.000  0.000  0.000  0.000
0.345  0.000  0.000  0.000  0.000  0.000
0.362  0.000  0.000  0.000  0.000  0.000
0.369  0.000  0.000  0.000  0.000  0.000
0.390  0.000  0.000  0.000  0.000  0.000
0.394  0.000  0.000  0.000  0.000  0.000
0.393  0.000  0.000  0.000  0.000  0.000
0.388  0.000  0.000  0.000  0.000  0.000
0.373  0.000  0.000  0.000  0.000  0.000
0.352  0.000  0.000  0.000  0.000  0.000
0.323  0.000  0.000  0.000  0.000  0.000
0.296  0.000  0.000  0.000  0.000  0.000
0.264  0.000  0.000  0.000  0.000  0.000
0.234  0.000  0.000  0.000  0.000  0.000
0.204  0.000  0.000  0.000  0.000  0.000
0.158  0.000  0.000  0.000  0.000  0.000
0.119  0.000  0.000  0.000  0.000  0.000
0.077  0.000  0.000  0.000  0.000  0.000
0.046  0.000  0.000  0.000  0.000  0.000
0.038  0.000  0.000  0.000  0.000  0.000
-0.007  0.000  0.000  0.000  0.000  0.000
