CACu_KF
time[s]  vel_hum[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  SetPt[mA]  I_m[mA]  T_Sea[N.m]
0.002000  0.000  0.000  0.000   0.00      0  0.000
0.003000  0.000  0.000  0.000   0.00     10  -0.000
0.004000  0.000  0.000  0.000   0.00     10  -0.000
0.005000  -0.006  -0.000  0.000   0.00     10  -0.000
0.006000  -0.010  -0.000  0.000  -0.00     10  0.000
0.008000  -0.013  -0.000  0.000  -0.00     -1  0.000
0.009000  -0.016  -0.000  0.000  -0.00     -1  0.000
0.010000  -0.017  -0.000  0.000  -0.00     -1  0.000
0.011000  -0.019  0.000  0.000  -0.00     -1  0.000
0.012000  -0.020  0.000  0.000  -0.00     -1  0.000
0.013000  -0.021  0.000  0.000  -0.00     -3  0.000
0.015000  -0.021  0.000  -0.000  -0.00     -3  0.000
0.016000  -0.022  0.000  -0.000  -0.00     -3  0.000
0.017001  -0.022  0.000  -0.000  -0.00     -3  0.000
0.018001  -0.023  0.000  -0.000  -0.00     -3  0.000
0.019001  -0.023  0.000  -0.000   0.00     -3  -0.000
0.020001  -0.023  0.000  -0.000   0.00     -3  -0.000
0.021001  -0.023  0.000  -0.000   0.00     -3  -0.000
0.022001  -0.023  0.000  -0.000   0.00     -3  -0.000
0.023001  -0.023  0.000  -0.000   0.00     -3  -0.000
0.024001  -0.023  0.000  -0.000   0.00     -2  -0.000
0.025001  -0.023  0.000  -0.000   0.00     -2  -0.000
0.026001  -0.023  0.000  -0.000   0.00     -2  -0.000
0.027001  -0.023  0.000  -0.000   0.00     -2  -0.000
0.028001  -0.023  -0.000  -0.000   0.00     -2  -0.000
0.029001  -0.023  -0.000  -0.000   0.00     -2  -0.000
0.030001  -0.023  -0.000  -0.000   0.00     -1  -0.000
0.031001  -0.023  -0.000  -0.000   0.00     -1  -0.000
0.032001  -0.022  -0.000  -0.000   0.00     -1  -0.000
0.033001  -0.022  -0.000  -0.000   0.00     -1  -0.000
0.034001  -0.021  -0.000  -0.000   0.00     -1  -0.000
0.035002  -0.021  -0.000  -0.000   0.00     -2  -0.000
0.036002  -0.021  -0.000  -0.000   0.00     -2  -0.000
0.037002  -0.020  -0.000  -0.000   0.00     -2  -0.000
0.038002  -0.020  -0.000  -0.000   0.00     -2  -0.000
0.039002  -0.020  0.000  -0.000   0.00     -2  -0.000
0.040002  -0.019  0.000  -0.000   0.00     -2  -0.000
0.041002  -0.019  0.000  -0.000   0.00     -3  -0.000
0.042002  -0.019  0.000  -0.000   0.00     -3  -0.000
0.043002  -0.018  0.000  -0.000   0.00     -3  -0.000
0.044002  -0.018  0.000  -0.000   0.00     -3  -0.000
0.045002  -0.017  0.000  -0.000   0.00     -3  -0.000
0.046002  -0.017  0.000  -0.000   0.00     -4  -0.000
0.047002  -0.016  0.000  -0.000   0.00     -4  -0.000
0.049002  -0.016  0.000  -0.000   0.00     -4  -0.000
0.050002  -0.015  0.000  -0.000   0.00     -4  -0.000
0.051002  -0.015  0.000  -0.000   0.00     -4  -0.000
0.052003  -0.014  0.000  -0.000   0.00     -3  -0.000
0.053003  -0.014  0.000  -0.000   0.00     -3  -0.000
0.054003  -0.013  0.000  -0.000   0.00     -3  -0.000
0.055003  -0.013  0.000  -0.000   0.00     -3  -0.000
0.056003  -0.012  -0.000  -0.000   0.00     -3  -0.000
0.057003  -0.012  -0.000  -0.000   0.00     -3  -0.000
0.058003  -0.011  -0.000  -0.000   0.00     -4  -0.000
0.059003  -0.011  -0.000  -0.000   0.00     -4  -0.000
0.060003  -0.010  0.000  -0.000   0.00     -4  -0.000
0.061003  -0.010  0.000  -0.000   0.00     -4  -0.000
0.062003  -0.009  0.000  -0.000   0.00     -4  -0.000
0.063003  -0.009  0.000  -0.000   0.00     -4  -0.000
0.065003  -0.009  0.000  -0.000   0.00     -4  -0.000
0.066003  -0.008  0.000  -0.000   0.00     -4  -0.000
0.067003  -0.008  0.000  -0.000   0.00     -4  -0.000
0.068003  -0.007  0.000  -0.000   0.00     -4  -0.000
0.069003  -0.007  0.000  -0.000   0.00     -4  -0.000
0.070004  -0.007  0.000  -0.000   0.00     -4  -0.000
0.071004  -0.006  0.000  -0.000   0.00     -4  -0.000
0.072004  -0.006  0.000  -0.000   0.00     -4  -0.000
0.073004  -0.005  0.000  -0.000   0.00     -4  -0.000
0.074004  -0.005  0.000  -0.000   0.00     -4  -0.000
0.075004  -0.004  0.000  -0.000   0.00     -4  -0.000
0.076004  -0.004  0.000  -0.000   0.00     -4  -0.000
0.077004  -0.003  0.000  -0.000   0.00     -4  -0.000
0.078004  -0.003  0.000  -0.000   0.00     -4  -0.000
0.079004  -0.003  0.000  -0.000   0.00     -4  -0.000
0.080004  -0.002  0.000  -0.000   0.00     -3  -0.000
0.082004  -0.002  0.000  -0.000   0.00     -3  -0.000
0.083004  -0.001  -0.000  -0.000   0.00     -3  -0.000
0.084004  -0.001  -0.000  -0.000   0.00     -3  -0.000
0.085004  -0.000  -0.000  -0.000   0.00     -1  -0.000
0.086004  0.000  -0.000  -0.000   0.00     -1  -0.000
0.087005  0.000  -0.000  -0.000   0.00     -1  -0.000
0.088005  0.001  -0.000  -0.000   0.00     -1  -0.000
0.089005  0.001  -0.000  -0.000   0.00     -1  -0.000
0.090005  0.002  -0.000  -0.000   0.00     -1  -0.000
0.091005  0.002  -0.000  -0.000   0.00     -4  -0.000
0.092005  0.002  -0.000  -0.000   0.00     -4  -0.000
0.093005  0.003  -0.000  -0.000   0.00     -4  -0.000
0.094005  0.003  0.000  -0.000   0.00     -4  -0.000
0.095005  0.004  0.000  -0.000   0.00     -4  -0.000
0.096005  0.004  0.000  -0.000   0.00     -3  -0.000
0.097005  0.004  0.000  -0.000   0.00     -3  -0.000
0.099005  0.005  0.000  -0.000   0.00     -3  -0.000
0.100005  0.005  0.000  -0.000   0.00     -3  -0.000
0.101005  0.005  0.000  -0.000   0.00     -4  -0.000
0.102005  0.006  0.000  -0.000   0.00     -4  -0.000
0.103005  0.006  0.000  -0.000   0.00     -4  -0.000
0.104005  0.006  0.000  -0.000   0.00     -4  -0.000
0.105006  0.007  0.000  -0.000   0.00     -4  -0.000
0.106006  0.007  0.000  -0.000   0.00     -4  -0.000
0.107006  0.007  0.000  -0.000   0.00     -3  -0.000
0.108006  0.008  0.000  -0.000   0.00     -3  -0.000
0.109006  0.008  0.000  -0.000   0.00     -3  -0.000
0.110006  0.008  -0.000  -0.000   0.00     -3  -0.000
0.111006  0.008  -0.000  -0.000   0.00     -3  -0.000
