CAC
time[s]  vel_hum[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  T_Sea[N.m]
0.002000  0.000  0.000  0.000  0.000
0.003000  0.000  0.000  0.000  -0.000
0.004000  0.000  0.000  0.000  -0.000
0.005000  -0.007  -0.000  0.000  -0.000
0.007000  -0.011  -0.000  0.000  0.000
0.008000  -0.015  -0.000  -0.000  0.000
0.009000  -0.018  -0.000  -0.000  0.000
0.010000  -0.020  -0.000  -0.000  0.000
0.011000  -0.023  0.000  -0.000  0.000
0.012000  -0.025  0.000  -0.000  0.000
0.013000  -0.026  0.000  -0.000  0.000
0.014000  -0.028  0.000  -0.000  0.000
0.016000  -0.030  0.000  -0.000  0.000
0.017001  -0.032  0.000  -0.000  0.000
0.018001  -0.033  0.000  -0.000  0.000
0.019001  -0.035  0.000  -0.000  0.000
0.020001  -0.036  0.000  -0.000  -0.000
0.021001  -0.037  0.000  -0.000  -0.000
0.022001  -0.039  0.000  -0.000  -0.000
0.023001  -0.040  0.000  -0.000  -0.000
0.024001  -0.041  0.000  -0.000  -0.000
0.025001  -0.043  0.000  -0.000  -0.000
0.026001  -0.044  0.000  -0.000  -0.000
0.027001  -0.045  0.000  -0.000  -0.000
0.029001  -0.045  -0.000  -0.000  -0.000
0.030001  -0.046  -0.000  -0.000  -0.000
0.031001  -0.047  -0.000  -0.000  -0.000
0.033001  -0.048  -0.000  -0.000  -0.000
0.034002  -0.049  0.000  0.000  -0.000
0.035002  -0.050  0.000  0.000  -0.000
0.036002  -0.051  0.000  0.000  -0.000
0.037002  -0.052  0.000  0.000  -0.000
0.038002  -0.053  0.000  0.000  -0.000
0.039002  -0.053  0.000  0.000  -0.000
0.041002  -0.054  0.000  0.000  -0.000
0.042002  -0.055  0.000  0.000  -0.000
0.043002  -0.056  -0.000  0.000  -0.000
0.044002  -0.056  -0.000  0.000  -0.000
0.045002  -0.057  -0.000  0.000  -0.000
0.046002  -0.058  -0.000  0.000  -0.000
0.047002  -0.059  -0.000  0.000  -0.000
0.049002  -0.060  -0.000  0.000  -0.000
0.050002  -0.060  -0.000  0.000  -0.000
0.051002  -0.061  -0.000  0.000  -0.000
0.052003  -0.062  -0.000  0.000  -0.000
0.053003  -0.063  -0.000  0.000  -0.000
0.054003  -0.064  -0.000  0.000  -0.000
0.055003  -0.064  -0.000  0.000  -0.000
0.056003  -0.065  -0.000  0.000  -0.000
0.058003  -0.066  -0.000  0.000  -0.000
0.059003  -0.067  -0.000  0.000  -0.000
0.060003  -0.068  -0.000  0.000  -0.000
0.061003  -0.069  -0.000  0.000  -0.000
0.062003  -0.070  -0.000  0.000  -0.000
0.063003  -0.071  -0.000  0.000  -0.000
0.064003  -0.072  -0.000  0.000  -0.000
0.066003  -0.072  0.000  0.000  -0.000
0.067003  -0.073  0.000  0.000  -0.000
0.068003  -0.074  0.000  0.000  -0.000
0.069004  -0.075  0.000  0.000  -0.000
0.070004  -0.076  0.000  0.000  -0.000
0.071004  -0.077  0.000  0.000  -0.000
0.072004  -0.078  -0.000  0.000  -0.000
0.073004  -0.079  -0.000  0.000  -0.000
0.074004  -0.080  -0.000  0.000  -0.000
0.075004  -0.081  -0.000  0.000  -0.000
0.076004  -0.082  -0.000  0.000  -0.000
0.077004  -0.083  -0.000  0.000  -0.000
0.078004  -0.084  -0.000  0.000  -0.000
0.079004  -0.085  -0.000  0.000  -0.000
0.080004  -0.085  -0.000  0.000  -0.000
0.081004  -0.086  -0.000  0.000  -0.000
0.083004  -0.087  0.000  0.000  -0.000
0.084004  -0.088  0.000  0.000  -0.000
0.085004  -0.089  0.000  0.000  -0.000
0.086004  -0.090  0.000  0.000  -0.000
0.087005  -0.091  0.000  0.000  -0.000
0.088005  -0.092  0.000  0.000  -0.000
0.089005  -0.093  0.000  0.000  -0.000
0.090005  -0.093  0.000  0.000  -0.000
0.091005  -0.094  0.000  0.000  -0.000
0.092005  -0.095  0.000  0.000  -0.000
0.093005  -0.096  0.000  0.000  -0.000
0.094005  -0.098  0.000  0.000  -0.000
0.095005  -0.099  0.000  0.000  -0.000
0.096005  -0.100  0.000  0.000  -0.000
0.097005  -0.101  0.000  0.000  -0.000
0.099005  -0.102  0.000  0.000  -0.000
0.100005  -0.104  -0.000  0.000  -0.000
0.101005  -0.105  -0.000  0.000  -0.000
