OmegaControlKF
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  vel_motor[rad / s]
0.003000  0.000  0.000  0.000  0.000  0.000
0.004000  0.000  0.000  0.000  0.000  0.000
0.005000  2.991  0.003  -0.003  0.000  -0.000
0.006000  1.999  0.005  -0.004  0.001  -0.000
0.007000  1.447  0.006  -0.006  0.002  -0.000
0.008000  1.103  0.008  -0.007  0.002  -0.000
0.009000  0.872  0.008  -0.008  0.003  -0.000
0.010000  0.390  0.009  -0.008  0.004  -0.000
0.011000  0.324  0.009  -0.008  0.004  -0.000
0.012000  0.274  0.009  -0.009  0.005  -0.000
0.013000  0.235  0.010  -0.009  0.006  -0.000
0.014000  0.204  0.010  -0.009  0.006  -0.000
0.015000  0.179  0.010  -0.010  0.007  -0.000
0.016000  0.158  0.010  -0.010  0.008  -0.000
0.017001  0.141  0.010  -0.010  0.009  -0.000
0.018001  0.127  0.010  -0.010  0.009  -0.000
0.019001  0.114  0.011  -0.011  0.010  -0.000
0.020001  0.012  0.011  -0.011  0.011  -0.000
0.021001  0.011  0.011  -0.011  0.012  -0.000
0.022001  0.010  0.011  -0.011  0.013  -0.000
0.023001  0.009  0.011  -0.011  0.013  -0.000
0.024001  0.009  0.011  -0.011  0.014  -0.000
0.025001  -0.073  0.011  -0.011  0.015  -0.000
0.026001  -0.068  0.010  -0.011  0.015  -0.000
0.027001  -0.063  0.010  -0.011  0.016  -0.000
0.028001  -0.059  0.010  -0.011  0.016  -0.000
0.029001  -0.055  0.010  -0.011  0.017  -0.000
0.030001  -0.002  0.010  -0.011  0.018  -0.000
0.031001  -0.002  0.010  -0.011  0.018  -0.000
0.032001  -0.002  0.010  -0.011  0.019  -0.000
0.033001  -0.002  0.010  -0.011  0.020  -0.000
0.034002  -0.002  0.010  -0.012  0.020  -0.000
0.035002  -0.002  0.010  -0.012  0.021  -0.000
0.036002  -0.002  0.010  -0.012  0.022  -0.000
0.037002  -0.002  0.010  -0.012  0.022  -0.000
0.038002  -0.002  0.010  -0.012  0.023  -0.000
0.039002  -0.002  0.010  -0.012  0.024  -0.000
0.040002  -0.087  0.010  -0.012  0.024  -0.000
0.041002  -0.083  0.010  -0.012  0.025  -0.000
0.042002  -0.079  0.010  -0.012  0.026  -0.000
0.043002  -0.076  0.010  -0.012  0.027  -0.000
0.044002  -0.073  0.010  -0.012  0.028  -0.000
0.045002  -0.065  0.010  -0.012  0.028  -0.000
0.046002  -0.062  0.010  -0.012  0.029  -0.000
0.047002  -0.060  0.010  -0.012  0.030  -0.000
0.048002  -0.058  0.010  -0.012  0.031  -0.000
0.049002  -0.055  0.010  -0.012  0.031  -0.000
0.050002  -0.123  0.009  -0.012  0.032  -0.000
0.051002  -0.118  0.009  -0.012  0.033  -0.000
0.052003  -0.114  0.009  -0.012  0.033  -0.000
0.053003  -0.110  0.009  -0.012  0.034  -0.000
0.054003  -0.106  0.009  -0.012  0.035  -0.000
0.055003  -0.066  0.009  -0.012  0.035  -0.000
0.056003  -0.064  0.009  -0.012  0.036  -0.000
0.057003  -0.062  0.009  -0.012  0.036  -0.000
0.058003  -0.060  0.009  -0.012  0.037  -0.000
0.059003  -0.058  0.009  -0.012  0.037  -0.000
0.060003  -0.022  0.009  -0.012  0.038  -0.000
0.061003  -0.022  0.009  -0.012  0.039  -0.000
0.062003  -0.021  0.009  -0.012  0.040  -0.000
0.063003  -0.020  0.009  -0.012  0.041  -0.000
0.064003  -0.020  0.009  -0.013  0.041  -0.000
0.065003  -0.109  0.008  -0.012  0.042  -0.000
0.066003  -0.105  0.008  -0.012  0.042  -0.000
0.067003  -0.103  0.008  -0.012  0.043  -0.000
0.068003  -0.100  0.008  -0.012  0.043  -0.000
0.069004  -0.097  0.008  -0.012  0.044  -0.000
0.070004  -0.038  0.008  -0.012  0.044  -0.000
0.071004  -0.037  0.008  -0.012  0.045  -0.000
0.072004  -0.036  0.008  -0.012  0.046  -0.000
0.073004  -0.035  0.008  -0.012  0.046  -0.000
0.074004  -0.034  0.008  -0.012  0.047  -0.000
0.075004  -0.058  0.008  -0.012  0.048  -0.000
0.076004  -0.057  0.008  -0.012  0.048  -0.000
0.077004  -0.055  0.008  -0.012  0.049  -0.000
0.078004  -0.054  0.008  -0.012  0.050  -0.000
0.079004  -0.053  0.008  -0.012  0.051  -0.000
0.080004  -0.074  0.008  -0.012  0.051  -0.000
0.081004  -0.072  0.007  -0.012  0.052  -0.000
0.082004  -0.071  0.007  -0.012  0.052  -0.000
0.083004  -0.069  0.007  -0.012  0.053  -0.000
0.084004  -0.067  0.007  -0.012  0.054  -0.000
0.085004  -0.020  0.007  -0.013  0.054  -0.000
0.086004  -0.020  0.007  -0.013  0.055  -0.000
0.087005  -0.019  0.007  -0.013  0.055  -0.000
0.088005  -0.019  0.007  -0.013  0.056  -0.000
0.089005  -0.019  0.007  -0.013  0.057  -0.000
0.090005  -0.043  0.007  -0.013  0.057  -0.000
0.091005  -0.042  0.007  -0.013  0.058  -0.000
0.092005  -0.041  0.007  -0.013  0.059  -0.000
0.093005  -0.040  0.007  -0.013  0.059  -0.000
0.094005  -0.040  0.007  -0.013  0.060  -0.000
0.095005  0.002  0.007  -0.013  0.061  -0.000
0.096005  0.002  0.007  -0.013  0.061  -0.000
