accBasedPosition
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  theta_m[rad]
0.002000  0.000  0.000  0.000  0.000  0.000
0.003000  0.000  0.000  0.000  0.000  0.000
0.004000  0.000  0.000  0.000  0.000  0.000
0.005000  3.861  0.004  -0.002  0.000  -0.000
0.007000  2.790  0.007  -0.003  0.001  -0.000
0.008000  1.062  0.009  -0.004  0.001  -0.000
0.009000  1.678  0.010  -0.004  0.002  -0.000
0.010000  1.363  0.012  -0.005  0.002  -0.000
0.011000  0.538  0.012  -0.006  0.003  -0.000
0.012000  0.455  0.013  -0.006  0.004  -0.000
0.013000  0.390  0.013  -0.007  0.004  -0.000
0.014000  0.338  0.014  -0.007  0.005  -0.000
0.015000  0.296  0.014  -0.008  0.006  -0.000
0.016000  -0.148  0.014  -0.008  0.007  -0.000
0.017001  -0.132  0.014  -0.008  0.007  -0.000
0.018001  -0.118  0.013  -0.008  0.008  -0.000
0.019001  -0.106  0.013  -0.009  0.008  -0.000
0.020001  -0.096  0.013  -0.009  0.009  -0.000
0.021001  -0.251  0.013  -0.009  0.010  -0.000
0.022001  -0.229  0.013  -0.009  0.010  -0.000
0.023001  -0.211  0.013  -0.009  0.011  -0.000
0.024001  -0.194  0.012  -0.010  0.012  -0.000
0.025001  -0.180  0.012  -0.010  0.013  -0.000
0.026001  -0.292  0.012  -0.010  0.013  -0.000
0.027001  -0.272  0.012  -0.010  0.014  -0.000
0.028001  -0.254  0.011  -0.010  0.014  -0.000
0.029001  -0.237  0.011  -0.010  0.015  -0.000
0.031001  -0.223  0.011  -0.010  0.015  -0.000
0.032001  -0.158  0.011  -0.010  0.016  -0.000
0.033001  -0.297  0.010  -0.010  0.017  -0.000
0.034001  -0.280  0.010  -0.010  0.017  -0.000
0.035002  -0.264  0.010  -0.010  0.018  -0.000
0.036002  -0.250  0.009  -0.010  0.019  -0.000
0.037002  -0.376  0.009  -0.010  0.020  -0.000
0.038002  -0.357  0.009  -0.010  0.020  -0.000
0.039002  -0.340  0.008  -0.011  0.021  -0.000
0.040002  -0.323  0.008  -0.011  0.022  -0.000
0.041002  -0.308  0.008  -0.011  0.022  -0.000
0.042002  -0.373  0.007  -0.011  0.023  -0.000
0.043002  -0.357  0.007  -0.011  0.024  -0.000
0.044002  -0.341  0.007  -0.011  0.024  -0.000
0.045002  -0.327  0.006  -0.011  0.025  -0.000
0.046002  -0.313  0.006  -0.011  0.026  -0.000
0.047002  -0.293  0.006  -0.011  0.026  -0.000
0.048002  -0.281  0.005  -0.011  0.027  -0.000
0.049002  -0.270  0.005  -0.011  0.028  -0.000
0.050002  -0.260  0.005  -0.011  0.028  -0.000
0.051002  -0.250  0.005  -0.011  0.029  -0.000
0.052003  -0.379  0.004  -0.011  0.030  -0.000
0.053003  -0.366  0.004  -0.011  0.030  -0.000
0.054003  -0.353  0.004  -0.011  0.031  -0.000
0.055003  -0.341  0.003  -0.011  0.032  -0.000
0.056003  -0.329  0.003  -0.011  0.033  -0.000
0.057003  -0.252  0.003  -0.011  0.033  -0.000
0.058003  -0.244  0.002  -0.011  0.034  -0.000
0.059003  -0.236  0.002  -0.011  0.034  -0.000
0.060003  -0.229  0.002  -0.011  0.035  -0.000
0.061003  -0.222  0.002  -0.011  0.035  -0.000
0.062003  -0.246  0.002  -0.011  0.036  -0.000
0.064003  -0.239  0.001  -0.011  0.036  -0.000
0.065003  -0.116  0.001  -0.011  0.037  -0.000
0.066003  -0.225  0.001  -0.011  0.038  -0.000
0.067003  -0.278  0.001  -0.011  0.038  -0.000
0.068003  -0.270  0.000  -0.011  0.038  -0.000
0.069003  -0.262  0.000  -0.011  0.039  -0.000
0.070004  -0.255  -0.000  -0.011  0.039  -0.000
0.071004  -0.248  -0.000  -0.011  0.040  -0.000
0.072004  -0.186  -0.001  -0.011  0.041  -0.000
0.073004  -0.182  -0.001  -0.011  0.041  -0.000
0.074004  -0.177  -0.001  -0.011  0.042  -0.000
0.075004  -0.172  -0.001  -0.011  0.043  -0.000
0.076004  -0.168  -0.001  -0.011  0.043  -0.000
0.077004  -0.114  -0.001  -0.011  0.044  -0.000
0.078004  -0.111  -0.002  -0.011  0.045  -0.000
0.079004  -0.108  -0.002  -0.011  0.045  -0.000
0.080004  -0.106  -0.002  -0.011  0.046  -0.000
0.081004  -0.103  -0.002  -0.011  0.047  -0.000
0.082004  0.022  -0.002  -0.012  0.047  -0.000
0.083004  0.021  -0.002  -0.012  0.048  -0.000
0.084004  0.021  -0.002  -0.012  0.048  -0.000
0.085004  0.020  -0.002  -0.012  0.049  -0.000
0.086004  0.020  -0.002  -0.012  0.050  -0.000
0.087005  0.018  -0.002  -0.012  0.050  -0.000
0.088005  0.018  -0.002  -0.012  0.051  -0.000
0.089005  0.018  -0.002  -0.012  0.052  -0.000
0.090005  0.017  -0.002  -0.012  0.052  -0.001
0.091005  0.017  -0.002  -0.012  0.053  -0.001
0.092005  0.016  -0.002  -0.012  0.053  -0.001
0.093005  0.040  -0.002  -0.012  0.054  -0.001
0.094005  0.039  -0.002  -0.012  0.055  -0.001
0.095005  0.038  -0.002  -0.012  0.055  -0.001
0.097005  0.038  -0.002  -0.012  0.056  -0.001
0.098005  0.079  -0.001  -0.012  0.056  -0.001
0.100005  0.078  -0.001  -0.012  0.057  -0.001
0.101005  0.076  -0.001  -0.012  0.057  -0.001
0.102005  0.075  -0.001  -0.012  0.058  -0.001
0.103005  0.073  -0.001  -0.012  0.058  -0.001
0.104005  0.074  -0.001  -0.012  0.059  -0.001
0.105006  0.073  -0.001  -0.012  0.060  -0.001
0.106006  0.071  -0.001  -0.012  0.060  -0.001
