CAdmittanceControl [2020-12-19-19-35-19]
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  InvDyn[N.m]  AccBsd[N.m]  vel_motor[rad / s]
0.002000  0.000  0.000  0.000  0.000  -0.000  0.000  0.000
0.003000  0.000  0.000  0.000  0.000  -0.000  0.000  0.000
0.004000  0.000  0.000  0.000  0.000  -0.000  0.000  0.000
0.005000  0.000  0.019  -0.020  0.000  -0.000  0.000  2.876
0.006000  0.000  0.036  -0.020  0.000  -0.000  0.000  5.376
0.007000  0.000  0.050  -0.020  0.000  -0.000  0.000  7.547
0.008000  0.000  0.063  -0.020  0.000  -0.000  0.000  9.435
0.009000  0.000  0.074  -0.020  0.000  -0.000  0.000  11.075
0.010000  0.000  0.080  -0.016  0.000  -0.000  0.000  11.943
0.012000  0.000  0.085  -0.016  0.000  -0.000  0.000  12.698
0.013000  0.000  0.089  -0.016  0.000  -0.000  0.000  13.354
0.014000  0.000  0.093  -0.016  0.000  -0.000  0.000  13.924
0.015000  0.000  0.096  -0.016  0.000  -0.000  0.000  14.419
0.016000  -0.000  0.095  -0.024  0.000  -0.000  -0.000  14.288
0.017001  -0.000  0.094  -0.024  0.000  -0.000  -0.000  14.174
0.018001  -0.000  0.094  -0.024  0.000  -0.000  -0.000  14.075
0.019001  -0.000  0.093  -0.024  0.000  -0.000  -0.000  13.989
0.020001  -0.000  0.093  -0.024  0.000  -0.000  -0.000  13.914
0.021001  -0.000  0.087  -0.016  0.000  -0.000  -0.000  13.010
0.022001  -0.000  0.081  -0.016  0.000  -0.000  -0.000  12.224
0.023001  -0.000  0.077  -0.016  0.000  -0.000  -0.000  11.541
0.024001  -0.000  0.073  -0.016  0.000  -0.000  -0.000  10.947
0.025001  -0.000  0.070  -0.016  0.000  -0.000  -0.000  10.431
0.026001  -0.000  0.063  -0.022  0.000  -0.000  -0.000  9.413
0.028001  -0.000  0.057  -0.022  0.000  -0.000  -0.000  8.528
0.029001  -0.000  0.052  -0.022  0.000  -0.000  -0.000  7.759
0.030001  -0.000  0.047  -0.022  0.000  -0.000  -0.000  7.091
0.031001  -0.000  0.043  -0.022  0.000  -0.000  -0.000  6.510
0.032001  -0.000  0.035  -0.020  0.000  -0.000  -0.000  5.285
0.033001  -0.000  0.028  -0.020  0.000  -0.000  -0.000  4.221
0.034001  -0.000  0.022  -0.020  0.000  -0.000  -0.000  3.296
0.035002  -0.000  0.017  -0.020  0.000  -0.000  -0.000  2.493
0.036002  -0.000  0.012  -0.020  0.000  -0.000  -0.000  1.794
0.037002  -0.000  0.005  -0.020  0.000  -0.000  -0.000  0.707
0.038002  -0.000  -0.002  -0.020  0.000  -0.000  -0.000  -0.239
0.039002  -0.000  -0.007  -0.020  0.000  -0.000  -0.000  -1.060
0.040002  -0.000  -0.012  -0.020  0.000  -0.000  -0.000  -1.774
0.041002  -0.000  -0.016  -0.020  0.000  -0.000  -0.000  -2.394
0.042002  -0.000  -0.023  -0.017  0.000  -0.000  -0.000  -3.431
0.043002  -0.000  -0.029  -0.017  0.000  -0.000  -0.000  -4.331
0.044002  -0.000  -0.034  -0.017  0.000  -0.000  -0.000  -5.114
