CAdmittanceControl [2020-12-19-19-48-47]
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  InvDyn[N.m]  AccBsd[N.m]  vel_motor[rad / s]
0.001000  0.000  0.000  0.000  0.042  0.049  0.000  -59.165
0.003000  0.000  0.000  0.000  0.078  0.049  0.000  -52.528
0.004000  0.000  0.000  0.000  0.110  0.049  0.000  -45.666
0.005000  0.000  0.000  -0.016  0.137  0.049  0.000  -39.611
0.006000  0.000  0.001  -0.016  0.161  0.049  0.000  -34.349
0.007000  0.000  0.001  -0.016  0.182  0.049  0.000  -29.777
0.008000  0.000  0.002  -0.016  0.200  0.049  0.000  -25.804
0.009000  0.000  0.002  -0.016  0.215  0.049  0.000  -22.351
0.010000  0.000  0.002  -0.020  0.229  0.049  0.000  -19.384
0.011000  0.000  0.002  -0.020  0.241  0.049  0.000  -16.806
0.012000  0.000  0.002  -0.020  0.251  0.049  0.000  -14.566
0.013000  0.000  0.002  -0.020  0.260  0.049  0.000  -12.619
0.014000  0.000  0.002  -0.020  0.268  0.049  0.000  -10.927
0.015000  -0.000  0.001  -0.011  0.274  0.049  -0.000  -9.528
0.016000  -0.000  0.001  -0.011  0.280  0.049  -0.000  -8.313
0.017000  -0.000  0.001  -0.011  0.285  0.049  -0.000  -7.256
0.018001  -0.000  0.000  -0.011  0.290  0.049  -0.000  -6.338
0.019001  -0.000  0.000  -0.011  0.294  0.049  -0.000  -5.541
0.020001  0.000  0.000  -0.018  0.297  0.049  0.000  -4.812
0.021001  0.000  0.000  -0.018  0.300  0.049  0.000  -4.179
0.022001  0.000  0.000  -0.018  0.302  0.049  0.000  -3.629
0.023001  0.000  0.000  -0.018  0.305  0.049  0.000  -3.151
0.024001  0.000  0.000  -0.018  0.306  0.049  0.000  -2.736
0.025001  -0.000  -0.000  -0.022  0.308  0.049  -0.000  -2.410
0.026001  -0.000  -0.000  -0.022  0.310  0.049  -0.000  -2.126
0.027001  -0.000  -0.000  -0.022  0.311  0.049  -0.000  -1.880
0.028001  -0.000  -0.001  -0.022  0.312  0.049  -0.000  -1.666
0.029001  -0.000  -0.001  -0.022  0.313  0.049  -0.000  -1.480
0.030001  -0.000  -0.001  -0.016  0.314  0.049  -0.000  -1.320
0.031001  -0.000  -0.001  -0.016  0.314  0.049  -0.000  -1.181
0.032001  -0.000  -0.001  -0.016  0.315  0.049  -0.000  -1.060
0.033001  -0.000  -0.001  -0.016  0.316  0.049  -0.000  -0.955
0.034001  -0.000  -0.001  -0.016  0.316  0.049  -0.000  -0.864
0.035002  -0.000  -0.002  -0.020  0.316  0.049  -0.000  -0.823
0.036002  -0.000  -0.002  -0.020  0.317  0.049  -0.000  -0.787
0.037002  -0.000  -0.002  -0.020  0.317  0.049  -0.000  -0.755
0.038002  -0.000  -0.002  -0.020  0.317  0.049  -0.000  -0.728
0.039002  -0.000  -0.002  -0.020  0.318  0.049  -0.000  -0.705
0.040002  -0.000  -0.003  -0.020  0.318  0.049  -0.000  -0.685
0.041002  -0.000  -0.003  -0.020  0.318  0.049  -0.000  -0.668
0.042002  -0.000  -0.003  -0.020  0.318  0.049  -0.000  -0.654
0.043002  -0.000  -0.003  -0.020  0.318  0.049  -0.000  -0.641
0.044002  -0.000  -0.003  -0.020  0.318  0.049  -0.000  -0.630
0.045002  -0.000  -0.004  -0.020  0.318  0.049  -0.000  -0.690
0.046002  -0.000  -0.004  -0.020  0.318  0.049  -0.000  -0.742
0.047002  -0.000  -0.005  -0.020  0.319  0.049  -0.000  -0.787
0.048002  -0.000  -0.005  -0.020  0.319  0.049  -0.000  -0.826
0.049002  -0.000  -0.005  -0.020  0.319  0.049  -0.000  -0.861
0.050002  -0.000  -0.006  -0.020  0.319  0.049  -0.000  -0.930
0.051002  -0.000  -0.006  -0.020  0.319  0.049  -0.000  -0.990
0.052002  -0.000  -0.007  -0.020  0.319  0.049  -0.000  -1.042
0.053003  -0.000  -0.007  -0.020  0.319  0.049  -0.000  -1.087
0.054003  -0.000  -0.007  -0.020  0.319  0.049  -0.000  -1.126
0.055003  -0.000  -0.007  -0.022  0.319  0.049  -0.000  -1.158
0.056003  -0.000  -0.008  -0.022  0.319  0.049  -0.000  -1.185
0.057003  -0.000  -0.008  -0.022  0.319  0.049  -0.000  -1.209
0.058003  -0.000  -0.008  -0.022  0.319  0.049  -0.000  -1.229
0.059003  -0.000  -0.008  -0.022  0.319  0.049  -0.000  -1.247
0.060003  -0.000  -0.009  -0.022  0.319  0.049  -0.000  -1.299
0.061003  -0.000  -0.009  -0.022  0.319  0.049  -0.000  -1.344
0.062003  -0.000  -0.009  -0.022  0.319  0.049  -0.000  -1.384
0.063003  -0.000  -0.009  -0.022  0.319  0.049  -0.000  -1.418
0.064003  -0.000  -0.010  -0.022  0.319  0.049  -0.000  -1.448
0.065003  -0.000  -0.011  -0.022  0.319  0.049  -0.000  -1.614
0.066003  -0.000  -0.012  -0.022  0.319  0.049  -0.000  -1.758
0.067003  -0.000  -0.013  -0.022  0.319  0.049  -0.000  -1.884
0.068003  -0.000  -0.013  -0.022  0.319  0.049  -0.000  -1.993
0.069003  -0.000  -0.014  -0.022  0.319  0.049  -0.000  -2.088
0.070004  -0.000  -0.014  -0.027  0.319  0.049  -0.000  -2.171
0.071004  -0.000  -0.015  -0.027  0.319  0.049  -0.000  -2.244
0.072004  -0.000  -0.015  -0.027  0.319  0.049  -0.000  -2.307
0.073004  -0.000  -0.016  -0.027  0.319  0.049  -0.000  -2.362
0.074004  -0.000  -0.016  -0.027  0.319  0.049  -0.000  -2.409
0.075004  -0.000  -0.016  -0.026  0.319  0.049  -0.000  -2.454
0.076004  -0.000  -0.017  -0.026  0.319  0.049  -0.000  -2.492
0.077004  -0.000  -0.017  -0.026  0.319  0.049  -0.000  -2.525
0.078004  -0.000  -0.017  -0.026  0.319  0.049  -0.000  -2.554
0.079004  -0.000  -0.017  -0.026  0.319  0.049  -0.000  -2.580
0.080004  -0.000  -0.017  -0.026  0.319  0.049  -0.000  -2.603
0.081004  -0.000  -0.017  -0.026  0.319  0.049  -0.000  -2.623
0.082004  -0.000  -0.018  -0.026  0.319  0.049  -0.000  -2.640
0.083004  -0.000  -0.018  -0.026  0.319  0.049  -0.000  -2.656
0.084004  -0.000  -0.018  -0.026  0.319  0.049  -0.000  -2.669
0.085004  0.000  -0.018  -0.024  0.319  0.049  0.000  -2.642
0.086004  0.000  -0.017  -0.024  0.319  0.049  0.000  -2.620
0.087004  0.000  -0.017  -0.024  0.319  0.049  0.000  -2.600
0.088005  0.000  -0.017  -0.024  0.319  0.049  0.000  -2.582
0.089005  0.000  -0.017  -0.024  0.319  0.049  0.000  -2.567
0.090005  -0.000  -0.017  -0.027  0.319  0.049  -0.000  -2.590
0.091005  -0.000  -0.017  -0.027  0.319  0.049  -0.000  -2.609
0.092005  -0.000  -0.018  -0.027  0.319  0.049  -0.000  -2.626
0.093005  -0.000  -0.018  -0.027  0.319  0.049  -0.000  -2.640
0.094005  -0.000  -0.018  -0.027  0.319  0.049  -0.000  -2.653
0.095005  -0.000  -0.018  -0.022  0.319  0.049  -0.000  -2.696
0.096005  -0.000  -0.018  -0.022  0.319  0.049  -0.000  -2.734
0.097005  -0.000  -0.018  -0.022  0.319  0.049  -0.000  -2.766
0.098005  -0.000  -0.019  -0.022  0.319  0.049  -0.000  -2.795
0.099005  -0.000  -0.019  -0.022  0.319  0.049  -0.000  -2.819
0.100005  0.000  -0.018  -0.026  0.319  0.049  0.000  -2.772
0.101005  0.000  -0.018  -0.026  0.319  0.049  0.000  -2.730
0.102005  0.000  -0.018  -0.026  0.319  0.049  0.000  -2.694
0.103005  0.000  -0.018  -0.026  0.319  0.049  0.000  -2.663
0.104005  0.000  -0.018  -0.026  0.319  0.049  0.000  -2.636
0.105006  -0.000  -0.018  -0.024  0.319  0.049  -0.000  -2.646
0.106006  -0.000  -0.018  -0.024  0.319  0.049  -0.000  -2.655
0.107006  -0.000  -0.018  -0.024  0.319  0.049  -0.000  -2.663
0.108006  -0.000  -0.018  -0.024  0.319  0.049  -0.000  -2.669
0.109006  -0.000  -0.018  -0.024  0.319  0.049  -0.000  -2.675
0.110006  -0.000  -0.018  -0.024  0.319  0.049  -0.000  -2.754
0.111006  -0.000  -0.019  -0.024  0.319  0.049  -0.000  -2.822
0.112006  -0.000  -0.019  -0.024  0.319  0.049  -0.000  -2.882
0.113006  -0.000  -0.020  -0.024  0.319  0.049  -0.000  -2.933
0.114006  -0.000  -0.020  -0.024  0.319  0.049  -0.000  -2.978
0.115006  0.000  -0.019  -0.024  0.319  0.049  0.000  -2.841
0.116006  0.000  -0.018  -0.024  0.319  0.049  0.000  -2.722
0.117006  0.000  -0.017  -0.024  0.319  0.049  0.000  -2.618
0.118006  0.000  -0.017  -0.024  0.319  0.049  0.000  -2.528
0.119006  0.000  -0.016  -0.024  0.319  0.049  0.000  -2.450
0.120006  0.000  -0.015  -0.026  0.319  0.049  0.000  -2.204
0.121006  0.000  -0.013  -0.026  0.319  0.049  0.000  -1.991
0.122006  0.000  -0.012  -0.026  0.319  0.049  0.000  -1.805
0.123007  0.000  -0.011  -0.026  0.319  0.049  0.000  -1.644
0.124007  0.000  -0.010  -0.026  0.319  0.049  0.000  -1.504
0.125007  0.000  -0.008  -0.022  0.319  0.049  0.000  -1.274
0.126007  0.000  -0.007  -0.022  0.319  0.049  0.000  -1.074
0.127007  0.000  -0.006  -0.022  0.319  0.049  0.000  -0.900
0.128007  0.000  -0.005  -0.022  0.319  0.049  0.000  -0.749
0.129007  0.000  -0.004  -0.022  0.319  0.049  0.000  -0.618
0.130007  0.000  -0.003  -0.020  0.319  0.049  0.000  -0.466
0.131007  0.000  -0.002  -0.020  0.319  0.049  0.000  -0.333
0.132007  0.000  -0.001  -0.020  0.319  0.049  0.000  -0.218
0.133007  0.000  -0.001  -0.020  0.319  0.049  0.000  -0.118
0.134007  0.000  -0.000  -0.020  0.319  0.049  0.000  -0.031
0.135007  0.000  0.001  -0.013  0.319  0.049  0.000  0.082
0.136007  0.000  0.001  -0.013  0.319  0.049  0.000  0.181
0.137007  0.000  0.002  -0.013  0.319  0.049  0.000  0.266
0.138007  0.000  0.002  -0.013  0.319  0.049  0.000  0.341
0.139007  0.000  0.003  -0.013  0.319  0.049  0.000  0.405
0.140008  0.000  0.003  -0.020  0.319  0.049  0.000  0.498
0.141008  0.000  0.004  -0.020  0.319  0.049  0.000  0.578
0.142008  0.000  0.004  -0.020  0.319  0.049  0.000  0.648
0.143008  0.000  0.005  -0.020  0.319  0.049  0.000  0.708
0.144008  0.000  0.005  -0.020  0.319  0.049  0.000  0.761
0.145008  0.000  0.006  -0.009  0.319  0.049  0.000  0.911
0.146008  0.000  0.007  -0.009  0.319  0.049  0.000  1.042
0.147008  0.000  0.008  -0.009  0.319  0.049  0.000  1.155
0.148008  0.000  0.008  -0.009  0.319  0.049  0.000  1.254
0.149008  0.000  0.009  -0.009  0.319  0.049  0.000  1.339
0.150008  -0.000  0.009  -0.015  0.319  0.049  -0.000  1.306
0.151008  -0.000  0.009  -0.015  0.319  0.049  -0.000  1.276
0.152008  -0.000  0.008  -0.015  0.319  0.049  -0.000  1.251
0.153008  -0.000  0.008  -0.015  0.319  0.049  -0.000  1.229
0.154008  -0.000  0.008  -0.015  0.319  0.049  -0.000  1.210
0.155008  0.000  0.009  -0.009  0.319  0.049  0.000  1.297
0.156008  0.000  0.009  -0.009  0.319  0.049  0.000  1.373
0.157008  0.000  0.010  -0.009  0.319  0.049  0.000  1.440
0.159009  0.000  0.010  -0.009  0.319  0.049  0.000  1.497
0.160009  0.000  0.010  -0.009  0.319  0.049  0.000  1.547
0.161009  0.000  0.011  -0.009  0.319  0.049  0.000  1.590
0.162009  0.000  0.011  -0.009  0.319  0.049  0.000  1.628
0.163009  0.000  0.011  -0.009  0.319  0.049  0.000  1.661
0.164009  0.000  0.011  -0.009  0.319  0.049  0.000  1.689
0.165009  0.000  0.011  -0.009  0.319  0.049  0.000  1.714
0.166009  0.000  0.012  -0.009  0.319  0.049  0.000  1.735
0.167009  0.000  0.012  -0.009  0.319  0.049  0.000  1.754
0.168009  0.000  0.012  -0.009  0.319  0.049  0.000  1.770
0.169009  0.000  0.012  -0.009  0.319  0.049  0.000  1.784
0.170009  0.000  0.012  -0.009  0.319  0.049  0.000  1.797
0.171009  0.000  0.012  -0.009  0.319  0.049  0.000  1.807
0.172009  0.000  0.012  -0.009  0.319  0.049  0.000  1.817
0.173009  0.000  0.012  -0.009  0.319  0.049  0.000  1.825
0.174009  0.000  0.012  -0.009  0.319  0.049  0.000  1.832
0.175010  0.000  0.012  -0.009  0.319  0.049  0.000  1.838
0.176010  0.000  0.012  -0.009  0.319  0.049  0.000  1.843
0.177010  0.000  0.012  -0.009  0.319  0.049  0.000  1.848
0.178010  0.000  0.012  -0.009  0.319  0.049  0.000  1.852
0.179010  0.000  0.012  -0.009  0.319  0.049  0.000  1.855
0.180010  0.000  0.012  -0.009  0.319  0.049  0.000  1.858
0.181010  0.000  0.012  -0.009  0.319  0.049  0.000  1.861
0.182010  0.000  0.012  -0.009  0.319  0.049  0.000  1.863
0.183010  0.000  0.012  -0.009  0.319  0.049  0.000  1.865
0.184010  0.000  0.012  -0.009  0.319  0.049  0.000  1.867
0.185010  0.000  0.012  -0.009  0.319  0.049  0.000  1.868
0.186010  0.000  0.012  -0.009  0.319  0.049  0.000  1.869
0.187010  0.000  0.012  -0.009  0.319  0.049  0.000  1.870
0.188010  0.000  0.012  -0.009  0.319  0.049  0.000  1.871
0.189010  0.000  0.012  -0.009  0.319  0.049  0.000  1.872
0.190010  0.000  0.012  -0.009  0.319  0.049  0.000  1.873
0.191010  0.000  0.012  -0.009  0.319  0.049  0.000  1.874
0.192010  0.000  0.012  -0.009  0.319  0.049  0.000  1.874
0.193011  0.000  0.012  -0.009  0.319  0.049  0.000  1.875
0.194011  0.000  0.013  -0.009  0.319  0.049  0.000  1.875
