CAdmittanceControl [2020-12-19-19-52-54]
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  InvDyn[N.m]  AccBsd[N.m]  vel_motor[rad / s]
0.003000  0.000  0.000  0.000  0.000  -0.000  0.000  0.000
0.004000  0.000  0.000  0.000  0.000  -0.000  0.000  0.000
0.005000  0.000  0.001  -0.022  0.000  -0.000  0.000  0.216
0.006000  0.000  0.003  -0.022  0.000  -0.000  0.000  0.404
0.007000  0.000  0.004  -0.022  0.000  -0.000  0.000  0.567
0.008000  0.000  0.005  -0.022  0.000  -0.000  0.000  0.709
0.009000  0.000  0.006  -0.022  0.000  -0.000  0.000  0.833
0.010000  0.000  0.006  -0.022  0.000  -0.000  0.000  0.868
0.011000  0.000  0.006  -0.022  0.000  -0.000  0.000  0.899
0.013000  0.000  0.006  -0.022  0.000  -0.000  0.000  0.925
0.014000  0.000  0.006  -0.022  0.000  -0.000  0.000  0.948
0.015000  0.000  0.006  -0.022  0.000  -0.000  0.000  0.969
0.016000  0.000  0.007  -0.022  0.000  -0.000  0.000  0.986
0.017000  0.000  0.007  -0.022  0.000  -0.000  0.000  1.001
0.018001  0.000  0.007  -0.022  0.000  -0.000  0.000  1.014
0.019001  0.000  0.007  -0.022  0.000  -0.000  0.000  1.026
0.020001  0.000  0.007  -0.018  0.000  -0.000  0.000  1.072
0.021001  0.000  0.007  -0.018  0.000  -0.000  0.000  1.112
0.022001  0.000  0.008  -0.018  0.000  -0.000  0.000  1.146
0.023001  0.000  0.008  -0.018  0.000  -0.000  0.000  1.176
0.024001  0.000  0.008  -0.018  0.000  -0.000  0.000  1.202
0.025001  0.000  0.008  -0.022  0.000  -0.000  0.000  1.225
0.026001  0.000  0.008  -0.022  0.000  -0.000  0.000  1.245
0.027001  0.000  0.008  -0.022  0.000  -0.000  0.000  1.262
0.028001  0.000  0.009  -0.022  0.000  -0.000  0.000  1.277
0.029001  0.000  0.009  -0.022  0.000  -0.000  0.000  1.290
0.030001  0.000  0.009  -0.022  0.000  -0.000  0.000  1.337
0.031001  0.000  0.009  -0.022  0.000  -0.000  0.000  1.378
0.032001  0.000  0.009  -0.022  0.000  -0.000  0.000  1.414
0.033001  0.000  0.010  -0.022  0.000  -0.000  0.000  1.445
0.034001  0.000  0.010  -0.022  0.000  -0.000  0.000  1.472
0.035002  0.000  0.010  -0.022  0.000  -0.000  0.000  1.495
0.036002  0.000  0.010  -0.022  0.000  -0.000  0.000  1.515
0.037002  0.000  0.010  -0.022  0.000  -0.000  0.000  1.532
0.038002  0.000  0.010  -0.022  0.000  -0.000  0.000  1.548
