CAdmittanceControl [2020-12-19-19-58-54]
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  InvDyn[N.m]  AccBsd[N.m]  vel_motor[rad / s]
0.003000  0.000  0.000  0.000  0.000  -0.000  0.000  0.000
0.004000  0.000  0.000  0.000  0.000  -0.000  0.000  0.000
0.005000  0.000  0.001  -0.018  0.000  -0.000  0.000  0.144
0.006000  0.000  0.002  -0.018  0.000  -0.000  0.000  0.270
0.007000  0.000  0.003  -0.018  0.000  -0.000  0.000  0.379
0.008000  0.000  0.003  -0.018  0.000  -0.000  0.000  0.473
0.009000  0.000  0.004  -0.018  0.000  -0.000  0.000  0.555
0.010000  0.000  0.004  -0.022  0.000  -0.000  0.000  0.663
0.011000  0.000  0.005  -0.022  0.000  -0.000  0.000  0.756
0.012000  0.000  0.006  -0.022  0.000  -0.000  0.000  0.837
0.013000  0.000  0.006  -0.022  0.000  -0.000  0.000  0.908
0.014000  0.000  0.006  -0.022  0.000  -0.000  0.000  0.969
0.015000  0.000  0.007  -0.016  0.000  -0.000  0.000  1.058
0.016000  0.000  0.008  -0.016  0.000  -0.000  0.000  1.136
0.017000  0.000  0.008  -0.016  0.000  -0.000  0.000  1.203
0.018001  0.000  0.008  -0.016  0.000  -0.000  0.000  1.262
0.019001  0.000  0.009  -0.016  0.000  -0.000  0.000  1.312
0.020001  0.000  0.009  -0.018  0.000  -0.000  0.000  1.320
0.021001  0.000  0.009  -0.018  0.000  -0.000  0.000  1.327
0.022001  0.000  0.009  -0.018  0.000  -0.000  0.000  1.333
0.023001  0.000  0.009  -0.018  0.000  -0.000  0.000  1.338
0.024001  0.000  0.009  -0.018  0.000  -0.000  0.000  1.342
0.025001  0.000  0.009  -0.022  0.000  -0.000  0.000  1.383
0.026001  0.000  0.009  -0.022  0.000  -0.000  0.000  1.418
0.027001  0.000  0.010  -0.022  0.000  -0.000  0.000  1.448
0.028001  0.000  0.010  -0.022  0.000  -0.000  0.000  1.474
0.029001  0.000  0.010  -0.022  0.000  -0.000  0.000  1.497
0.030001  -0.000  0.010  -0.020  0.000  -0.000  -0.000  1.481
0.031001  -0.000  0.010  -0.020  0.000  -0.000  -0.000  1.467
0.032001  -0.000  0.010  -0.020  0.000  -0.000  -0.000  1.455
0.033001  -0.000  0.010  -0.020  0.000  -0.000  -0.000  1.444
0.034001  -0.000  0.010  -0.020  0.000  -0.000  -0.000  1.435
0.035002  -0.000  0.010  -0.018  0.000  -0.000  -0.000  1.427
0.036002  -0.000  0.009  -0.018  0.000  -0.000  -0.000  1.420
0.037002  -0.000  0.009  -0.018  0.000  -0.000  -0.000  1.414
