accBasedController [2021-03-21-19-11-56]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
0.005000  0.000  0.000  0.000  0.000  0.000  0.000
0.009000  0.000  0.000  0.000  0.000  0.000  0.000
0.013000  0.002  -0.001  0.254  -0.172  0.000  0.000
0.016000  0.002  -0.001  0.254  -0.172  0.000  0.000
0.019001  0.000  -0.001  -0.195  0.016  0.000  0.000
0.023001  0.000  -0.001  -0.195  0.016  0.000  0.000
0.026001  -0.001  -0.001  -0.190  0.002  0.000  0.000
0.030001  -0.001  -0.001  -0.190  0.002  0.000  0.000
0.033001  -0.001  -0.001  -0.190  0.002  0.000  0.000
0.038002  -0.000  -0.001  0.097  -0.007  0.000  0.000
0.042002  -0.000  -0.001  0.097  -0.007  0.000  0.000
0.045002  -0.001  -0.001  -0.071  0.000  0.000  0.000
0.048002  -0.001  -0.001  -0.071  0.000  0.000  0.000
0.051002  0.001  -0.001  0.189  -0.007  0.000  0.000
0.054003  0.001  -0.001  0.189  -0.007  0.000  0.000
0.057003  0.001  -0.001  0.189  -0.007  0.000  0.000
0.060003  -0.000  -0.001  -0.141  -0.003  0.000  0.000
0.064003  -0.000  -0.001  -0.141  -0.003  0.000  0.000
0.067003  -0.001  -0.001  -0.009  0.044  0.000  0.000
0.070004  -0.001  -0.001  -0.009  0.044  0.000  0.000
0.073004  -0.000  -0.002  0.060  -0.067  0.000  0.000
0.077004  -0.000  -0.002  0.060  -0.067  0.000  0.000
0.081004  -0.000  -0.002  0.060  -0.067  0.000  0.000
0.085004  -0.000  -0.000  -0.039  0.155  0.000  0.000
0.089005  -0.000  -0.000  -0.039  0.155  0.000  0.000
0.092005  -0.001  -0.001  -0.057  -0.079  0.000  0.000
0.096005  -0.001  -0.001  -0.057  -0.079  0.000  0.000
0.100005  0.001  -0.001  0.172  0.030  0.000  0.000
0.105006  0.001  -0.001  0.172  0.030  0.000  0.000
0.109006  0.001  -0.001  0.172  0.030  0.000  0.000
0.112006  -0.000  -0.001  -0.129  -0.076  0.000  0.000
0.115006  -0.000  -0.001  -0.129  -0.076  0.000  0.000
0.118006  -0.000  -0.001  0.036  0.054  0.000  0.000
0.122007  -0.000  -0.001  0.036  0.054  0.000  0.000
0.125007  -0.001  -0.002  -0.140  -0.135  0.000  0.000
0.128007  -0.001  -0.002  -0.140  -0.135  0.000  0.000
0.131007  -0.001  -0.002  -0.140  -0.135  0.000  0.000
0.134007  0.001  -0.001  0.276  0.168  0.000  0.000
0.138007  0.001  -0.001  0.276  0.168  0.000  0.000
0.142008  -0.000  -0.001  -0.156  -0.008  0.000  0.000
0.146008  -0.000  -0.001  -0.156  -0.008  0.000  0.000
0.150008  0.002  -0.002  0.256  -0.114  0.000  0.000
0.154008  0.002  -0.002  0.256  -0.114  0.000  0.000
0.158009  0.002  -0.002  0.256  -0.114  0.000  0.000
0.162009  0.002  -0.001  0.027  0.124  0.000  0.000
0.166009  0.002  -0.001  0.027  0.124  0.000  0.000
0.171009  -0.000  -0.002  -0.275  -0.140  0.000  0.000
0.179010  -0.000  -0.002  -0.275  -0.140  0.000  0.000
0.182010  -0.001  -0.002  -0.119  0.000  0.000  0.000
0.186010  -0.001  -0.002  -0.119  0.000  0.000  0.000
0.190010  -0.001  -0.002  -0.119  0.000  0.000  0.000
0.193011  -0.001  -0.002  -0.026  0.000  0.000  0.000
0.196011  -0.001  -0.002  -0.026  0.000  0.000  0.000
0.199011  -0.001  -0.002  -0.006  0.000  0.000  0.000
0.202011  -0.001  -0.002  -0.006  0.000  0.000  0.000
0.205011  -0.001  -0.002  -0.001  0.000  0.000  0.000
0.208011  -0.001  -0.002  -0.001  0.000  0.000  0.000
0.211012  -0.001  -0.002  -0.001  0.000  0.000  0.000
0.215012  -0.001  -0.002  -0.000  0.000  0.000  0.000
0.218012  -0.001  -0.002  -0.000  0.000  0.000  0.000
0.222012  -0.001  -0.002  -0.000  0.000  0.000  0.000
0.225012  -0.001  -0.002  -0.000  0.000  0.000  0.000
0.228013  -0.000  -0.003  0.182  -0.132  0.000  0.000
0.231013  -0.000  -0.003  0.182  -0.132  0.000  0.000
0.234013  -0.000  -0.003  0.182  -0.132  0.000  0.000
0.237013  -0.001  -0.001  -0.076  0.216  0.000  0.000
0.240013  -0.001  -0.001  -0.076  0.216  0.000  0.000
0.243013  0.000  -0.003  0.096  -0.225  0.000  0.000
0.246014  0.000  -0.003  0.096  -0.225  0.000  0.000
0.249014  0.000  -0.002  0.046  0.049  0.000  0.000
0.252014  0.000  -0.002  0.046  0.049  0.000  0.000
0.255014  0.000  -0.002  0.046  0.049  0.000  0.000
0.258014  0.000  -0.000  -0.031  0.255  0.000  0.000
0.261014  0.000  -0.000  -0.031  0.255  0.000  0.000
0.264015  0.000  -0.000  0.028  -0.004  0.000  0.000
0.267015  0.000  -0.000  0.028  -0.004  0.000  0.000
0.270015  0.001  -0.001  0.052  -0.066  0.000  0.000
0.273015  0.001  -0.001  0.052  -0.066  0.000  0.000
0.276015  0.001  -0.001  0.052  -0.066  0.000  0.000
0.279016  -0.001  -0.002  -0.206  -0.182  0.000  0.000
0.282016  -0.001  -0.002  -0.206  -0.182  0.000  0.000
0.285016  0.001  -0.002  0.262  0.061  0.000  0.000
0.288016  0.001  -0.002  0.262  0.061  0.000  0.000
0.291016  0.001  -0.002  -0.056  -0.014  0.000  0.000
0.294016  0.001  -0.002  -0.056  -0.014  0.000  0.000
0.297017  0.001  -0.002  -0.056  -0.014  0.000  0.000
0.300017  0.000  -0.001  -0.058  0.153  0.000  0.000
0.304017  0.000  -0.001  -0.058  0.153  0.000  0.000
0.308017  0.000  -0.001  -0.009  -0.006  0.000  0.000
0.312017  0.000  -0.001  -0.009  -0.006  0.000  0.000
0.315018  -0.000  -0.001  -0.076  -0.065  0.000  0.000
0.318018  -0.000  -0.001  -0.076  -0.065  0.000  0.000
0.321018  -0.000  -0.001  -0.076  -0.065  0.000  0.000
0.324018  -0.001  -0.003  -0.122  -0.201  0.000  0.000
0.327018  -0.001  -0.003  -0.122  -0.201  0.000  0.000
0.330018  0.001  -0.001  0.257  0.192  0.000  0.000
0.333019  0.001  -0.001  0.257  0.192  0.000  0.000
0.336019  0.000  -0.001  -0.094  0.052  0.000  0.000
0.339019  0.000  -0.001  -0.094  0.052  0.000  0.000
0.342019  0.000  -0.001  -0.094  0.052  0.000  0.000
0.345019  -0.000  -0.001  -0.046  0.012  0.000  0.000
0.348019  -0.000  -0.001  -0.046  0.012  0.000  0.000
0.351020  -0.000  -0.002  0.019  -0.111  0.000  0.000
0.354020  -0.000  -0.002  0.019  -0.111  0.000  0.000
0.357020  -0.001  -0.004  -0.153  -0.207  0.000  0.000
0.360020  -0.001  -0.004  -0.153  -0.207  0.000  0.000
0.363020  -0.001  -0.004  -0.153  -0.207  0.000  0.000
0.366020  -0.002  -0.003  -0.114  0.065  0.000  0.000
0.369021  -0.002  -0.003  -0.114  0.065  0.000  0.000
0.372021  -0.000  -0.001  0.248  0.201  0.000  0.000
0.375021  -0.000  -0.001  0.248  0.201  0.000  0.000
0.378021  -0.000  0.000  -0.009  0.179  0.000  0.000
0.381021  -0.000  0.000  -0.009  0.179  0.000  0.000
0.384022  -0.000  0.000  -0.009  0.179  0.000  0.000
0.389022  0.000  -0.000  0.089  -0.068  0.000  0.000
0.392022  0.000  -0.000  0.089  -0.068  0.000  0.000
0.396022  0.000  -0.001  0.020  -0.015  0.000  0.000
0.399022  0.000  -0.001  0.020  -0.015  0.000  0.000
0.402023  0.001  -0.001  0.004  -0.003  0.000  0.000
0.406023  0.001  -0.001  0.004  -0.003  0.000  0.000
0.409023  0.001  -0.001  0.004  -0.003  0.000  0.000
0.412023  0.001  -0.001  0.001  -0.001  0.000  0.000
0.415023  0.001  -0.001  0.001  -0.001  0.000  0.000
0.420024  0.001  -0.001  0.000  -0.000  0.000  0.000
0.423024  0.001  -0.001  0.000  -0.000  0.000  0.000
0.426024  -0.000  -0.003  -0.077  -0.254  0.000  0.000
0.430024  -0.000  -0.003  -0.077  -0.254  0.000  0.000
0.433024  -0.000  -0.003  -0.077  -0.254  0.000  0.000
0.436025  0.000  -0.002  0.043  0.048  0.000  0.000
0.439025  0.000  -0.002  0.043  0.048  0.000  0.000
0.442025  0.000  0.000  0.003  0.304  0.000  0.000
0.445025  0.000  0.000  0.003  0.304  0.000  0.000
0.448025  0.001  -0.001  0.105  -0.095  0.000  0.000
0.452025  0.001  -0.001  0.105  -0.095  0.000  0.000
0.455026  0.001  -0.001  0.105  -0.095  0.000  0.000
0.458026  0.002  -0.001  0.099  0.013  0.000  0.000
0.461026  0.002  -0.001  0.099  0.013  0.000  0.000
0.464026  -0.000  -0.002  -0.252  -0.161  0.000  0.000
0.467026  -0.000  -0.002  -0.252  -0.161  0.000  0.000
0.470026  -0.000  -0.002  0.005  -0.048  0.000  0.000
0.473027  -0.000  -0.002  0.005  -0.048  0.000  0.000
0.476027  -0.000  -0.002  0.005  -0.048  0.000  0.000
0.479027  0.001  -0.002  0.118  0.080  0.000  0.000
0.482027  0.001  -0.002  0.118  0.080  0.000  0.000
0.485027  0.000  -0.000  -0.106  0.131  0.000  0.000
0.488027  0.000  -0.000  -0.106  0.131  0.000  0.000
0.491028  -0.001  -0.000  -0.173  0.015  0.000  0.000
0.494028  -0.001  -0.000  -0.173  0.015  0.000  0.000
0.497028  -0.001  -0.000  -0.173  0.015  0.000  0.000
0.500028  0.001  -0.001  0.275  -0.062  0.000  0.000
0.504028  0.001  -0.001  0.275  -0.062  0.000  0.000
0.507029  0.001  -0.001  0.046  0.008  0.000  0.000
0.510029  0.001  -0.001  0.046  0.008  0.000  0.000
0.513029  0.001  -0.001  -0.087  0.009  0.000  0.000
0.516029  0.001  -0.001  -0.087  0.009  0.000  0.000
0.520029  0.001  -0.001  -0.087  0.009  0.000  0.000
0.523029  0.001  -0.001  0.039  0.013  0.000  0.000
0.526030  0.001  -0.001  0.039  0.013  0.000  0.000
0.529030  -0.000  -0.001  -0.147  -0.013  0.000  0.000
0.532030  -0.000  -0.001  -0.147  -0.013  0.000  0.000
0.535030  -0.000  -0.000  0.021  0.056  0.000  0.000
0.539030  -0.000  -0.000  0.021  0.056  0.000  0.000
0.542031  -0.000  -0.000  0.021  0.056  0.000  0.000
0.545031  -0.001  -0.000  -0.067  0.003  0.000  0.000
0.548031  -0.001  -0.000  -0.067  0.003  0.000  0.000
0.551031  -0.000  0.000  0.072  0.046  0.000  0.000
0.554031  -0.000  0.000  0.072  0.046  0.000  0.000
0.557031  0.000  -0.002  0.050  -0.247  0.000  0.000
0.560032  0.000  -0.002  0.050  -0.247  0.000  0.000
0.563032  0.000  -0.002  0.050  -0.247  0.000  0.000
0.566032  0.001  -0.002  0.133  0.021  0.000  0.000
0.569032  0.001  -0.002  0.133  0.021  0.000  0.000
0.572032  -0.001  -0.002  -0.297  -0.083  0.000  0.000
0.575032  -0.001  -0.002  -0.297  -0.083  0.000  0.000
0.578033  0.000  -0.001  0.136  0.144  0.000  0.000
0.581033  0.000  -0.001  0.136  0.144  0.000  0.000
0.584033  0.000  -0.001  0.136  0.144  0.000  0.000
0.587033  0.000  -0.000  0.052  0.140  0.000  0.000
0.590033  0.000  -0.000  0.052  0.140  0.000  0.000
0.593033  0.001  0.000  0.011  0.031  0.000  0.000
0.597034  0.001  0.000  0.011  0.031  0.000  0.000
0.600034  0.001  0.000  0.003  0.007  0.000  0.000
0.603034  0.001  0.000  0.003  0.007  0.000  0.000
0.606034  0.001  0.000  0.003  0.007  0.000  0.000
0.609034  0.001  0.000  0.001  0.002  0.000  0.000
0.612035  0.001  0.000  0.001  0.002  0.000  0.000
0.615035  0.001  0.000  0.000  0.000  0.000  0.000
0.618035  0.001  0.000  0.000  0.000  0.000  0.000
0.622035  -0.000  -0.001  -0.104  -0.134  0.000  0.000
0.625035  -0.000  -0.001  -0.104  -0.134  0.000  0.000
0.629036  -0.000  -0.001  -0.104  -0.134  0.000  0.000
0.632036  -0.001  -0.000  -0.084  0.054  0.000  0.000
0.635036  -0.001  -0.000  -0.084  0.054  0.000  0.000
0.638036  0.000  0.001  0.124  0.166  0.000  0.000
0.642036  0.000  0.001  0.124  0.166  0.000  0.000
0.645036  -0.000  -0.001  -0.014  -0.250  0.000  0.000
0.648037  -0.000  -0.001  -0.014  -0.250  0.000  0.000
0.651037  -0.000  -0.001  -0.014  -0.250  0.000  0.000
0.655037  -0.001  0.000  -0.056  0.137  0.000  0.000
0.658037  -0.001  0.000  -0.056  0.137  0.000  0.000
0.661037  -0.001  -0.001  -0.009  -0.102  0.000  0.000
0.664038  -0.001  -0.001  -0.009  -0.102  0.000  0.000
0.667038  -0.001  -0.004  -0.002  -0.346  0.000  0.000
0.670038  -0.001  -0.004  -0.002  -0.346  0.000  0.000
0.673038  -0.001  -0.004  -0.002  -0.346  0.000  0.000
0.676038  0.000  -0.001  0.123  0.277  0.000  0.000
0.679038  0.000  -0.001  0.123  0.277  0.000  0.000
0.682039  -0.001  -0.001  -0.147  0.023  0.000  0.000
0.685039  -0.001  -0.001  -0.147  0.023  0.000  0.000
0.688039  0.000  -0.002  0.149  -0.150  0.000  0.000
0.691039  0.000  -0.002  0.149  -0.150  0.000  0.000
0.694039  0.000  -0.002  0.149  -0.150  0.000  0.000
0.697039  0.000  -0.000  0.002  0.283  0.000  0.000
0.700040  0.000  -0.000  0.002  0.283  0.000  0.000
0.703040  0.000  -0.001  -0.040  -0.124  0.000  0.000
0.706040  0.000  -0.001  -0.040  -0.124  0.000  0.000
0.709040  0.001  0.000  0.122  0.163  0.000  0.000
0.713040  0.001  0.000  0.122  0.163  0.000  0.000
0.716041  0.001  0.000  0.122  0.163  0.000  0.000
0.719041  -0.002  -0.002  -0.358  -0.251  0.000  0.000
0.722041  -0.002  -0.002  -0.358  -0.251  0.000  0.000
0.725041  -0.001  -0.001  0.083  0.131  0.000  0.000
0.728041  -0.001  -0.001  0.083  0.131  0.000  0.000
0.731041  0.001  -0.002  0.220  -0.193  0.000  0.000
0.735042  0.001  -0.002  0.220  -0.193  0.000  0.000
0.738042  0.001  -0.002  0.220  -0.193  0.000  0.000
0.742042  -0.000  -0.001  -0.106  0.137  0.000  0.000
0.745042  -0.000  -0.001  -0.106  0.137  0.000  0.000
0.748042  -0.000  -0.000  -0.033  0.138  0.000  0.000
0.751043  -0.000  -0.000  -0.033  0.138  0.000  0.000
0.754043  -0.001  -0.001  -0.119  -0.114  0.000  0.000
0.757043  -0.001  -0.001  -0.119  -0.114  0.000  0.000
0.760043  -0.001  -0.001  -0.119  -0.114  0.000  0.000
0.763043  -0.000  -0.004  0.170  -0.317  0.000  0.000
0.766043  -0.000  -0.004  0.170  -0.317  0.000  0.000
0.769044  0.002  0.001  0.205  0.530  0.000  0.000
0.772044  0.002  0.001  0.205  0.530  0.000  0.000
0.775044  0.001  -0.001  -0.059  -0.156  0.000  0.000
0.778044  0.001  -0.001  -0.059  -0.156  0.000  0.000
0.781044  0.001  -0.001  -0.059  -0.156  0.000  0.000
0.784044  0.001  -0.001  -0.013  -0.035  0.000  0.000
0.787045  0.001  -0.001  -0.013  -0.035  0.000  0.000
0.791045  0.001  -0.001  -0.003  -0.008  0.000  0.000
0.794045  0.001  -0.001  -0.003  -0.008  0.000  0.000
0.797045  0.001  -0.001  -0.001  -0.002  0.000  0.000
0.800045  0.001  -0.001  -0.001  -0.002  0.000  0.000
0.803045  0.001  -0.001  -0.001  -0.002  0.000  0.000
0.806046  0.001  -0.001  -0.000  -0.000  0.000  0.000
