SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  K_ff  Kp_A  Ki_A  Kp_F  Kd_F  Amp
1.788     -1   0.000  0.000  0.000  1.257  1.000  4.560  5.790  1.531  0.020  100000
1.284     -1   0.000  0.000  0.000  0.465  1.000  4.560  5.790  1.531  0.020  100000
1.210      0   0.000  0.000  0.000  0.758  1.000  4.560  5.790  1.531  0.020  100000
-2.493      1   0.000  0.000  0.000  -1.052  1.000  4.560  5.790  1.531  0.020  100000
-0.084      1   0.000  0.000  0.000  1.653  1.000  4.560  5.790  1.531  0.020  100000
-2.432     -1   0.000  0.000  0.000  -0.258  1.000  4.560  5.790  1.531  0.020  100000
-2.102     -1   0.000  0.000  0.000  0.771  1.000  4.560  5.790  1.531  0.020  100000
-4.381     -1   0.000  0.000  0.000  -0.325  1.000  4.560  5.790  1.531  0.020  100000
-7.310     -1   0.000  0.000  0.000  -0.829  1.000  4.560  5.790  1.531  0.020  100000
-5.693     -2   0.000  0.000  0.000  0.998  1.000  4.560  5.790  1.531  0.020  100000
-6.518     -3   0.000  0.000  0.000  0.015  1.000  4.560  5.790  1.531  0.020  100000
-6.907     -4   0.000  0.000  0.000  0.231  1.000  4.560  5.790  1.531  0.020  100000
-7.245     -4   0.000  0.000  0.000  0.242  1.000  4.560  5.790  1.531  0.020  100000
-8.519     -3   0.000  0.000  0.000  -0.159  1.000  4.560  5.790  1.531  0.020  100000
-11.237     -4   0.000  0.000  0.000  -1.027  1.000  4.560  5.790  1.531  0.020  100000
-9.874     -4   0.000  0.000  0.000  0.709  1.000  4.560  5.790  1.531  0.020  100000
-11.219     -4   0.000  0.000  0.000  -0.460  1.000  4.560  5.790  1.531  0.020  100000
-8.848     -3   0.000  0.000  0.000  1.131  1.000  4.560  5.790  1.531  0.020  100000
-8.503     -2   0.000  0.000  0.000  0.549  1.000  4.560  5.790  1.531  0.020  100000
-9.808     -2   0.000  0.000  0.000  -0.345  1.000  4.560  5.790  1.531  0.020  100000
-10.329      0   0.000  0.000  0.000  -0.010  1.000  4.560  5.790  1.531  0.020  100000
-11.501     19   0.000  0.000  0.000  -0.436  1.000  4.560  5.790  1.531  0.020  100000
-9.914      8   0.000  0.000  0.000  0.779  1.000  4.560  5.790  1.531  0.020  100000
-9.403      8   0.000  0.000  0.000  0.364  1.000  4.560  5.790  1.531  0.020  100000
-10.212     -2   0.000  0.000  0.000  -0.118  1.000  4.560  5.790  1.531  0.020  100000
-10.245     -4   0.000  0.000  0.000  0.021  1.000  4.560  5.790  1.531  0.020  100000
-9.052     29   0.000  0.000  0.000  0.873  1.000  4.560  5.790  1.531  0.020  100000
-11.740     32   0.000  0.000  0.000  -1.054  1.000  4.560  5.790  1.531  0.020  100000
