SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
0.204      0   0.000  0.000  0.000  0.607  -0.541  -0.704  -0.002  -0.003
1.085      0   0.000  0.000  0.000  0.931  -0.086  -0.292  -0.004  -0.006
1.789      0   0.000  0.000  0.000  1.159  -0.121  -0.377  -0.006  -0.009
-2.376      1   0.000  0.000  0.000  -1.123  -0.160  0.082  -0.007  -0.010
-0.008      1   0.000  0.000  0.000  1.806  -0.043  -0.435  -0.007  -0.012
-2.850      1   0.000  0.000  0.000  -0.506  -0.060  0.054  -0.008  -0.013
-4.939     -2   0.000  0.000  0.000  -0.404  -0.069  0.022  -0.008  -0.013
-4.278     -1   0.000  0.000  0.000  0.772  -0.005  -0.167  -0.009  -0.014
-5.367     -1   0.000  0.000  0.000  0.091  -0.121  -0.141  -0.009  -0.015
-7.136      0   0.000  0.000  0.000  -0.413  -0.009  0.088  -0.010  -0.015
-6.098     -1   0.000  0.000  0.000  0.685  0.188  0.056  -0.009  -0.015
-7.046     -2   0.000  0.000  0.000  0.044  -0.188  -0.200  -0.009  -0.015
-10.477     -2   0.000  0.000  0.000  -1.340  -0.137  0.155  -0.010  -0.015
-8.998     -3   0.000  0.000  0.000  0.751  -0.021  -0.180  -0.011  -0.016
-10.424     -3   0.000  0.000  0.000  -0.515  -0.074  0.041  -0.011  -0.016
-8.989     -3   0.000  0.000  0.000  0.746  0.043  -0.111  -0.011  -0.017
-7.746     -3   0.000  0.000  0.000  0.878  0.015  -0.169  -0.011  -0.018
-10.394     -1   0.000  0.000  0.000  -0.928  -0.043  0.166  -0.011  -0.017
-7.580      0   0.000  0.000  0.000  1.488  0.125  -0.185  -0.011  -0.018
-10.736      0   0.000  0.000  0.000  -1.062  -0.163  0.069  -0.011  -0.018
-13.766     17   0.000  0.000  0.000  -1.427  -0.089  0.225  -0.012  -0.017
-9.585      9   0.000  0.000  0.000  1.754  0.173  -0.195  -0.012  -0.017
-10.758     -2   0.000  0.000  0.000  -0.373  -0.057  0.029  -0.012  -0.017
-10.494     -2   0.000  0.000  0.000  0.172  0.047  0.019  -0.011  -0.017
-9.636     -4   0.000  0.000  0.000  0.472  0.089  -0.001  -0.011  -0.017
-10.651     -4   0.000  0.000  0.000  -0.312  -0.051  0.023  -0.011  -0.017
-9.456     30   0.000  0.000  0.000  0.636  0.074  -0.053  -0.010  -0.017
-10.424     31   0.000  0.000  0.000  -0.303  0.002  0.077  -0.010  -0.017
-9.089     31   0.000  0.000  0.000  0.620  0.187  0.071  -0.009  -0.017
-10.458     31   0.000  0.000  0.000  -0.413  -0.154  -0.063  -0.010  -0.017
-9.095     29   0.000  0.000  0.000  0.647  0.155  0.031  -0.009  -0.017
-10.673     31   0.000  0.000  0.000  -0.594  -0.064  0.071  -0.009  -0.016
-9.146     31   0.000  0.000  0.000  0.727  0.085  -0.060  -0.009  -0.016
-10.518     30   0.000  0.000  0.000  -0.579  0.021  0.158  -0.009  -0.016
-8.851     30   0.000  0.000  0.000  0.739  0.115  -0.031  -0.008  -0.015
-10.855     29   0.000  0.000  0.000  -0.697  -0.261  -0.114  -0.009  -0.016
-9.792     29   0.000  0.000  0.000  0.384  0.181  0.116  -0.009  -0.016
-9.310     30   0.000  0.000  0.000  0.331  -0.030  -0.095  -0.008  -0.016
-11.419     32   0.000  0.000  0.000  -0.890  -0.111  0.087  -0.009  -0.016
-9.426     32   0.000  0.000  0.000  0.893  0.053  -0.130  -0.009  -0.016
-12.507     31   0.000  0.000  0.000  -1.349  -0.167  0.128  -0.010  -0.016
-9.658     29   0.000  0.000  0.000  1.200  0.097  -0.152  -0.010  -0.016
-11.244     30   0.000  0.000  0.000  -0.555  -0.172  -0.052  -0.010  -0.017
-12.694     30   0.000  0.000  0.000  -0.683  -0.100  0.051  -0.011  -0.017
-11.307     30   0.000  0.000  0.000  0.490  0.087  -0.008  -0.011  -0.017
-9.491     30   0.000  0.000  0.000  0.904  0.048  -0.139  -0.011  -0.017
-11.454     30   0.000  0.000  0.000  -0.706  -0.115  0.041  -0.011  -0.018
-10.288     30   0.000  0.000  0.000  0.578  0.070  -0.044  -0.011  -0.018
-11.535     30   0.000  0.000  0.000  -0.409  -0.104  -0.012  -0.011  -0.018
-9.967     30   0.000  0.000  0.000  0.760  0.128  -0.022  -0.011  -0.018
-11.333     30   0.000  0.000  0.000  -0.376  -0.151  -0.068  -0.011  -0.018
-12.898     31   0.000  0.000  0.000  -0.806  0.080  0.270  -0.011  -0.018
-10.273     31   0.000  0.000  0.000  1.210  0.003  -0.253  -0.011  -0.018
-12.059     31   0.000  0.000  0.000  -0.689  -0.076  0.079  -0.012  -0.018
-11.729     31   0.000  0.000  0.000  0.108  0.054  0.042  -0.011  -0.018
-11.033     30   0.000  0.000  0.000  0.368  -0.002  -0.074  -0.011  -0.018
-11.668     29   0.000  0.000  0.000  -0.248  0.011  0.075  -0.011  -0.018
-10.271     29   0.000  0.000  0.000  0.671  0.084  -0.049  -0.011  -0.018
-10.873     30   0.000  0.000  0.000  -0.111  -0.044  -0.013  -0.011  -0.018
-11.815     31   0.000  0.000  0.000  -0.328  -0.067  0.009  -0.011  -0.018
-10.013     31   0.000  0.000  0.000  0.800  0.192  0.037  -0.011  -0.018
-11.079     31   0.000  0.000  0.000  -0.346  -0.044  0.038  -0.010  -0.018
-9.804     31   0.000  0.000  0.000  0.609  0.133  0.017  -0.010  -0.017
