SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
11.176      0   0.000  0.000  0.000  5.279  0.770  -0.337  0.003  -0.001
11.144     -2   0.000  0.000  0.000  1.175  0.190  -0.046  0.006  -0.003
-0.314      0   0.000  0.000  0.000  -4.411  -0.351  0.605  0.006  -0.000
2.223      2   0.000  0.000  0.000  1.148  0.097  -0.143  0.006  0.001
-1.967      2   0.000  0.000  0.000  -1.738  -0.357  0.008  0.004  0.001
5.618      1   0.000  0.000  0.000  3.394  0.434  -0.279  0.005  -0.000
8.736      1   0.000  0.000  0.000  2.088  0.293  -0.137  0.007  -0.002
2.438      1   0.000  0.000  0.000  -1.869  -0.431  -0.034  0.006  -0.003
0.949      1   0.000  0.000  0.000  -0.357  0.025  0.115  0.006  -0.002
5.253      2   0.000  0.000  0.000  1.739  0.885  0.566  0.009  0.000
7.555      0   0.000  0.000  0.000  1.850  -0.226  -0.630  0.011  -0.001
6.248      0   0.000  0.000  0.000  -0.081  0.340  0.393  0.012  -0.000
6.472      0   0.000  0.000  0.000  0.781  -0.033  -0.189  0.013  -0.000
10.115      0   0.000  0.000  0.000  2.259  0.462  0.014  0.015  -0.001
3.620     -1   0.000  0.000  0.000  -1.569  -0.857  -0.542  0.013  -0.003
7.599     -1   0.000  0.000  0.000  2.530  0.332  -0.181  0.012  -0.005
-0.055     -1   0.000  0.000  0.000  -2.350  -0.537  -0.031  0.010  -0.007
-5.902     -3   0.000  0.000  0.000  -2.550  -0.123  0.446  0.008  -0.005
-4.476     -3   0.000  0.000  0.000  0.133  0.270  0.270  0.009  -0.003
1.964     -2   0.000  0.000  0.000  2.849  0.218  -0.378  0.010  -0.003
-9.721     -4   0.000  0.000  0.000  -5.196  -0.664  0.449  0.008  -0.002
-1.938     -3   0.000  0.000  0.000  2.970  0.220  -0.406  0.007  -0.003
-10.283     -3   0.000  0.000  0.000  -4.049  -0.438  0.433  0.006  -0.001
-6.867     -2   0.000  0.000  0.000  0.813  -0.055  -0.229  0.004  -0.002
-6.696     -3   0.000  0.000  0.000  -0.589  0.077  0.217  0.004  -0.001
-2.171     -4   0.000  0.000  0.000  1.441  0.320  0.029  0.006  -0.000
3.637      1   0.000  0.000  0.000  2.860  0.023  -0.591  0.007  -0.003
-0.769      1   0.000  0.000  0.000  -1.738  0.069  0.466  0.007  -0.002
-3.229     -1   0.000  0.000  0.000  -0.814  -0.527  -0.368  0.005  -0.003
10.166     -1   0.000  0.000  0.000  5.896  1.303  0.101  0.010  -0.003
3.176      1   0.000  0.000  0.000  -1.833  -0.647  -0.264  0.010  -0.005
1.652      0   0.000  0.000  0.000  -0.379  0.281  0.398  0.010  -0.003
3.202      0   0.000  0.000  0.000  1.055  0.132  -0.073  0.011  -0.003
7.987      0   0.000  0.000  0.000  3.035  0.057  -0.583  0.012  -0.005
1.347      1   0.000  0.000  0.000  -1.770  -0.497  -0.115  0.010  -0.007
6.259      0   0.000  0.000  0.000  3.168  0.199  -0.459  0.010  -0.010
-10.802      0   0.000  0.000  0.000  -7.458  -0.209  1.432  0.009  -0.006
-12.125     -2   0.000  0.000  0.000  -1.212  -0.576  -0.332  0.006  -0.003
-12.828     -2   0.000  0.000  0.000  -1.443  -0.040  0.281  0.004  -0.002
-12.445      0   0.000  0.000  0.000  -0.884  -0.244  -0.060  0.002  -0.001
-5.489      0   0.000  0.000  0.000  2.011  0.507  0.100  0.004  -0.001
