SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
-34.335      0   -0.176  0.000  0.319  -13.877  -2.486  0.385  -0.020  0.003
-34.212      6   -0.176  0.000  0.319  -3.703  -0.708  0.027  -0.026  0.003
-31.671     -3   -0.176  0.000  0.319  -1.497  -0.170  0.109  -0.027  0.004
-15.236     -6   -0.176  0.000  0.319  5.038  0.810  -0.277  -0.020  0.002
-4.827     -6   -0.176  0.000  0.319  3.977  0.548  -0.312  -0.016  -0.001
-4.313     -6   -0.176  0.000  0.319  0.346  0.060  -0.031  -0.016  -0.001
-40.131     -6   -0.176  0.000  0.319  -16.139  -3.143  0.163  -0.041  0.001
-82.664     -4   -0.176  0.000  0.319  -22.074  -4.737  -0.266  -0.079  -0.002
-85.449     -4   -0.176  0.000  0.319  -7.834  -1.828  -0.328  -0.093  -0.004
-65.633     -5   -0.176  0.000  0.319  1.820  0.597  0.124  -0.088  -0.003
-26.319     -6   -0.176  0.000  0.319  12.558  2.575  -0.112  -0.068  -0.004
2.506     -6   -0.176  0.000  0.319  11.462  2.307  -0.130  -0.049  -0.005
11.897     -4   -0.176  0.000  0.319  5.551  0.898  -0.311  -0.042  -0.008
-10.542     -5   -0.176  0.000  0.319  -8.096  -1.606  0.017  -0.055  -0.008
-57.977     -4   -0.176  0.000  0.319  -21.725  -4.057  0.369  -0.088  -0.005
-98.717     -4   -0.176  0.000  0.319  -23.263  -4.246  0.459  -0.121  -0.001
-103.264     -5   -0.176  0.000  0.319  -10.277  -2.123  -0.164  -0.138  -0.002
-144.079     -5   -0.176  0.000  0.319  -26.910  -5.553  -0.198  -0.183  -0.004
-131.435     -5   -0.176  0.000  0.319  -6.784  -1.017  0.173  -0.191  -0.002
-517.194     -4   -0.176  0.000  0.319  -184.839  -37.880  -0.144  -0.494  -0.004
-494.866     -3   -0.176  0.000  0.319  -35.822  -6.973  -0.209  -0.550  -0.005
-127.762     16   -0.176  0.000  0.319  121.153  25.745  0.223  -0.344  -0.003
28.329     16   -0.176  0.000  0.319  58.994  12.962  0.464  -0.240  0.000
115.012     24   -0.176  0.000  0.319  41.893  9.071  0.190  -0.168  0.002
116.757     25   -0.176  0.000  0.319  11.473  2.657  0.104  -0.146  0.003
15.247     26   -0.176  0.000  0.319  -34.983  -6.846  0.172  -0.201  0.004
-42.355     -6   -0.176  0.000  0.319  -24.336  -4.729  0.027  -0.239  0.004
-31.730     -5   -0.176  0.000  0.319  1.287  0.459  -0.100  -0.235  0.003
32.777     -5   -0.176  0.000  0.319  26.797  5.459  -0.348  -0.192  0.001
49.144     -5   -0.176  0.000  0.319  10.471  2.696  0.334  -0.170  0.003
30.680     -5   -0.176  0.000  0.319  -3.360  -0.700  -0.228  -0.176  0.001
-13.003     -6   -0.176  0.000  0.319  -16.245  -3.374  -0.262  -0.203  -0.001
-44.701     -6   -0.176  0.000  0.319  -14.992  -2.770  0.073  -0.225  -0.000
-32.246     -6   -0.176  0.000  0.319  1.806  0.890  0.266  -0.218  0.002
26.171     -5   -0.176  0.000  0.319  23.866  5.054  -0.115  -0.177  0.001
98.481     -6   -0.176  0.000  0.319  35.415  7.424  -0.066  -0.118  0.001
167.912     -6   -0.176  0.000  0.319  40.995  8.196  -0.387  -0.052  -0.002
151.296     -4   -0.176  0.000  0.319  8.360  1.759  -0.018  -0.038  -0.003
