accBasedController [2021-03-27-21-56-05]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
0.004000  0.000  0.000  0.000  0.000  0.000  0.003
0.008000  0.000  0.000  0.000  0.000  0.000  0.003
0.011000  0.001  -0.002  0.080  -0.193  0.000  0.003
0.015000  0.001  -0.002  0.080  -0.193  0.000  0.003
0.018001  0.002  -0.004  0.130  -0.325  0.000  0.003
0.021001  0.002  -0.004  0.130  -0.325  0.000  0.003
0.024001  0.001  -0.004  -0.096  -0.044  0.000  0.003
0.027001  0.001  -0.004  -0.096  -0.044  0.000  0.003
0.030001  0.001  -0.004  -0.096  -0.044  0.000  0.003
0.034002  0.003  -0.007  0.206  -0.348  0.000  0.003
0.037002  0.003  -0.007  0.206  -0.348  0.000  0.003
0.040002  0.004  -0.009  0.225  -0.252  0.000  0.003
0.043002  0.004  -0.009  0.225  -0.252  0.000  0.003
0.046002  0.005  -0.011  0.116  -0.258  0.000  0.003
0.049002  0.005  -0.011  0.116  -0.258  0.000  0.003
0.052003  0.005  -0.011  0.116  -0.258  0.000  0.003
0.055003  0.005  -0.010  -0.000  0.232  0.000  0.003
0.058003  0.005  -0.010  -0.000  0.232  0.000  0.003
0.061003  0.005  -0.011  -0.031  -0.218  0.000  0.003
0.064003  0.005  -0.011  -0.031  -0.218  0.000  0.003
0.067003  0.003  -0.011  -0.265  0.044  0.000  0.003
0.070004  0.003  -0.011  -0.265  0.044  0.000  0.003
0.074004  0.003  -0.011  -0.265  0.044  0.000  0.003
0.077004  0.001  -0.012  -0.208  -0.152  0.000  0.003
0.080004  0.001  -0.012  -0.208  -0.152  0.000  0.003
0.083004  0.001  -0.012  -0.001  0.075  0.000  0.003
0.086004  0.001  -0.012  -0.001  0.075  0.000  0.003
0.089005  0.005  -0.011  0.470  0.045  0.000  0.003
0.092005  0.005  -0.011  0.470  0.045  0.000  0.003
0.095005  0.005  -0.011  0.470  0.045  0.000  0.003
0.098005  0.004  -0.011  -0.108  0.014  0.000  0.003
0.101005  0.004  -0.011  -0.108  0.014  0.000  0.003
0.104006  0.004  -0.010  0.023  0.151  0.000  0.003
0.108006  0.004  -0.010  0.023  0.151  0.000  0.003
0.111006  0.005  -0.009  0.068  0.082  0.000  0.003
0.115006  0.005  -0.009  0.068  0.082  0.000  0.003
0.118006  0.005  -0.009  0.068  0.082  0.000  0.000
0.121006  0.004  -0.009  -0.139  0.080  0.000  0.000
0.124007  0.004  -0.009  -0.139  0.080  0.000  0.000
0.127007  0.004  -0.009  0.053  -0.015  0.000  0.000
0.132007  0.004  -0.009  0.053  -0.015  0.000  0.000
0.136007  0.007  -0.006  0.314  0.316  0.000  0.000
0.139008  0.007  -0.006  0.314  0.316  0.000  0.000
0.142008  0.007  -0.006  0.314  0.316  0.000  0.000
0.145008  0.007  -0.008  0.005  -0.255  0.000  0.000
0.148008  0.007  -0.008  0.005  -0.255  0.000  0.000
0.151008  0.007  -0.008  0.076  0.059  0.000  0.000
0.154008  0.007  -0.008  0.076  0.059  0.000  0.000
0.158009  0.006  -0.007  -0.137  0.032  0.000  0.000
0.161009  0.006  -0.007  -0.137  0.032  0.000  0.000
0.167009  0.006  -0.007  -0.137  0.032  0.000  0.000
0.171009  0.005  -0.008  -0.184  -0.122  0.000  0.000
0.174010  0.005  -0.008  -0.184  -0.122  0.000  0.000
0.177010  0.004  -0.009  -0.041  -0.027  0.000  0.000
0.181010  0.004  -0.009  -0.041  -0.027  0.000  0.000
0.185010  0.004  -0.009  -0.009  -0.006  0.000  0.000
0.189010  0.004  -0.009  -0.009  -0.006  0.000  0.000
0.192011  0.004  -0.009  -0.009  -0.006  0.000  0.000
0.195011  0.004  -0.009  -0.002  -0.001  0.000  0.000
0.199011  0.004  -0.009  -0.002  -0.001  0.000  0.000
0.203011  0.004  -0.009  -0.000  -0.000  0.000  0.000
0.206011  0.004  -0.009  -0.000  -0.000  0.000  0.000
0.209012  0.004  -0.009  -0.000  -0.000  0.000  0.000
0.213012  0.004  -0.009  -0.000  -0.000  0.000  0.000
0.216012  0.004  -0.009  -0.000  -0.000  0.000  0.000
0.219012  0.003  -0.008  -0.161  0.042  0.000  0.000
0.222012  0.003  -0.008  -0.161  0.042  0.000  0.000
0.225012  0.003  -0.008  0.002  0.010  0.000  0.000
0.228013  0.003  -0.008  0.002  0.010  0.000  0.000
0.231013  0.003  -0.008  -0.052  0.073  0.000  0.000
0.234013  0.003  -0.008  -0.052  0.073  0.000  0.000
0.237013  0.003  -0.008  -0.052  0.073  0.000  0.000
0.241013  0.008  -0.008  0.636  -0.099  0.000  0.000
0.244014  0.008  -0.008  0.636  -0.099  0.000  0.000
0.248014  0.009  -0.008  0.147  0.023  0.000  0.000
0.251014  0.009  -0.008  0.147  0.023  0.000  0.000
0.254014  0.009  -0.008  0.060  0.076  0.000  0.000
0.257014  0.009  -0.008  0.060  0.076  0.000  0.000
0.260014  0.009  -0.008  0.060  0.076  0.000  0.000
0.263015  0.010  -0.007  0.012  0.028  0.000  0.000
0.266015  0.010  -0.007  0.012  0.028  0.000  0.000
0.269015  0.006  -0.007  -0.461  0.044  0.000  0.000
0.272015  0.006  -0.007  -0.461  0.044  0.000  0.000
0.275015  0.003  -0.007  -0.346  0.075  0.000  0.000
0.278015  0.003  -0.007  -0.346  0.075  0.000  0.003
0.281016  0.003  -0.007  -0.346  0.075  0.000  0.003
0.284016  0.001  -0.006  -0.255  0.096  0.000  0.003
0.287016  0.001  -0.006  -0.255  0.096  0.000  0.003
0.290016  0.004  -0.004  0.364  0.227  0.000  0.003
0.293016  0.004  -0.004  0.364  0.227  0.000  0.003
0.296017  0.008  -0.006  0.468  -0.311  0.000  0.003
0.299017  0.008  -0.006  0.468  -0.311  0.000  0.003
0.302017  0.008  -0.006  0.468  -0.311  0.000  0.003
0.305017  0.011  -0.005  0.439  0.144  0.000  0.003
0.308017  0.011  -0.005  0.439  0.144  0.000  0.003
0.311017  0.011  -0.005  -0.010  0.026  0.000  0.003
0.314018  0.011  -0.005  -0.010  0.026  0.000  0.003
0.317018  0.008  -0.006  -0.387  -0.074  0.000  0.003
0.320018  0.008  -0.006  -0.387  -0.074  0.000  0.003
0.323018  0.008  -0.006  -0.387  -0.074  0.000  0.003
0.326018  0.007  -0.004  -0.086  0.245  0.000  0.003
0.329018  0.007  -0.004  -0.086  0.245  0.000  0.003
0.332019  0.003  -0.006  -0.585  -0.304  0.000  0.003
0.335019  0.003  -0.006  -0.585  -0.304  0.000  0.003
0.338019  0.002  -0.007  -0.086  -0.163  0.000  0.003
0.341019  0.002  -0.007  -0.086  -0.163  0.000  0.003
0.344019  0.002  -0.007  -0.086  -0.163  0.000  0.003
0.347019  0.003  -0.007  0.088  0.100  0.000  0.003
0.350020  0.003  -0.007  0.088  0.100  0.000  0.003
0.353020  0.005  -0.007  0.249  -0.034  0.000  0.003
0.356020  0.005  -0.007  0.249  -0.034  0.000  0.003
0.359020  0.006  -0.008  0.117  -0.109  0.000  0.003
0.362020  0.006  -0.008  0.117  -0.109  0.000  0.003
0.365020  0.006  -0.008  0.117  -0.109  0.000  0.003
0.368021  0.006  -0.009  0.081  -0.105  0.000  0.003
0.371021  0.006  -0.009  0.081  -0.105  0.000  0.000
0.375021  0.006  -0.009  0.018  -0.023  0.000  0.000
0.378021  0.006  -0.009  0.018  -0.023  0.000  0.000
0.382021  0.006  -0.009  0.004  -0.005  0.000  0.000
0.385022  0.006  -0.009  0.004  -0.005  0.000  0.000
0.389022  0.006  -0.009  0.004  -0.005  0.000  0.000
0.392022  0.006  -0.009  0.001  -0.001  0.000  0.000
0.396022  0.006  -0.009  0.001  -0.001  0.000  0.000
0.400022  0.006  -0.009  0.000  -0.000  0.000  0.000
0.403023  0.006  -0.009  0.000  -0.000  0.000  0.000
0.406023  0.006  -0.009  0.000  -0.000  0.000  0.000
0.410023  0.006  -0.009  0.000  -0.000  0.000  0.000
0.413023  0.006  -0.009  0.000  -0.000  0.000  0.000
0.417023  0.007  -0.008  0.072  0.095  0.000  0.000
0.420024  0.007  -0.008  0.072  0.095  0.000  0.000
0.423024  0.006  -0.008  -0.142  0.046  0.000  0.000
0.426024  0.006  -0.008  -0.142  0.046  0.000  0.000
0.429024  0.005  -0.010  -0.160  -0.224  0.000  0.000
0.432024  0.005  -0.010  -0.160  -0.224  0.000  0.000
0.435024  0.005  -0.010  -0.160  -0.224  0.000  0.000
0.438025  0.003  -0.008  -0.254  0.224  0.000  0.000
0.442025  0.003  -0.008  -0.254  0.224  0.000  0.000
0.445025  0.000  -0.008  -0.258  -0.072  0.000  0.000
0.448025  0.000  -0.008  -0.258  -0.072  0.000  0.000
0.451025  0.002  -0.008  0.230  0.069  0.000  0.000
0.454026  0.002  -0.008  0.230  0.069  0.000  0.000
0.457026  0.002  -0.008  0.230  0.069  0.000  0.000
0.460026  0.005  -0.008  0.348  -0.016  0.000  0.000
0.463026  0.005  -0.008  0.348  -0.016  0.000  0.000
0.467026  0.005  -0.006  0.017  0.217  0.000  0.000
0.470026  0.005  -0.006  0.017  0.217  0.000  0.000
0.473027  0.007  -0.005  0.230  0.127  0.000  0.000
0.476027  0.007  -0.005  0.230  0.127  0.000  0.000
0.479027  0.007  -0.005  0.230  0.127  0.000  0.000
0.482027  0.006  -0.007  -0.096  -0.276  0.000  0.000
0.485027  0.006  -0.007  -0.096  -0.276  0.000  0.000
0.488027  0.006  -0.007  -0.095  0.009  0.000  0.000
0.491028  0.006  -0.007  -0.095  0.009  0.000  0.000
0.494028  0.006  -0.006  0.109  0.116  0.000  0.000
0.497028  0.006  -0.006  0.109  0.116  0.000  0.000
0.500028  0.006  -0.006  0.109  0.116  0.000  0.000
0.503028  0.007  -0.006  0.015  0.067  0.000  0.003
0.506029  0.007  -0.006  0.015  0.067  0.000  0.003
0.509029  0.007  -0.005  0.106  0.100  0.000  0.003
0.512029  0.007  -0.005  0.106  0.100  0.000  0.003
0.515029  0.008  -0.005  0.060  0.047  0.000  0.003
0.518029  0.008  -0.005  0.060  0.047  0.000  0.003
0.521029  0.008  -0.005  0.060  0.047  0.000  0.003
0.525030  0.007  -0.005  -0.151  -0.061  0.000  0.003
0.528030  0.007  -0.005  -0.151  -0.061  0.000  0.003
0.532030  0.007  -0.006  0.006  -0.091  0.000  0.003
0.535030  0.007  -0.006  0.006  -0.091  0.000  0.003
0.538030  0.006  -0.007  -0.056  -0.202  0.000  0.003
