accBasedController [2021-03-27-21-59-14]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
0.004000  0.000  0.000  0.000  0.000  0.000  0.000
0.007000  0.000  0.000  0.000  0.000  0.000  0.000
0.010000  0.000  -0.004  0.037  -0.554  0.000  0.000
0.013000  0.000  -0.004  0.037  -0.554  0.000  0.000
0.016000  0.005  -0.011  0.595  -0.839  0.000  0.000
0.019001  0.005  -0.011  0.595  -0.839  0.000  0.000
0.022001  0.003  -0.011  -0.221  0.076  0.000  0.000
0.025001  0.003  -0.011  -0.221  0.076  0.000  0.000
0.028001  0.003  -0.011  -0.221  0.076  0.000  0.000
0.031001  0.001  -0.011  -0.241  -0.005  0.000  0.000
0.034002  0.001  -0.011  -0.241  -0.005  0.000  0.000
0.038002  -0.002  -0.011  -0.440  -0.059  0.000  0.000
0.041002  -0.002  -0.011  -0.440  -0.059  0.000  0.000
0.044002  -0.003  -0.011  -0.155  -0.034  0.000  0.000
0.047002  -0.003  -0.011  -0.155  -0.034  0.000  0.000
0.050002  -0.003  -0.011  -0.155  -0.034  0.000  0.000
0.053003  -0.002  -0.010  0.139  0.189  0.000  0.000
0.056003  -0.002  -0.010  0.139  0.189  0.000  0.000
0.059003  0.000  -0.010  0.322  -0.043  0.000  0.000
0.062003  0.000  -0.010  0.322  -0.043  0.000  0.000
0.065003  0.002  -0.010  0.177  0.070  0.000  0.000
0.068003  0.002  -0.010  0.177  0.070  0.000  0.000
0.071004  0.002  -0.010  0.177  0.070  0.000  0.000
0.074004  0.007  -0.011  0.671  -0.199  0.000  0.000
0.077004  0.007  -0.011  0.671  -0.199  0.000  0.000
0.080004  0.010  -0.010  0.345  0.158  0.000  0.000
0.083004  0.010  -0.010  0.345  0.158  0.000  0.000
0.086004  0.011  -0.009  0.119  0.096  0.000  0.000
0.089005  0.011  -0.009  0.119  0.096  0.000  0.000
0.092005  0.011  -0.009  0.119  0.096  0.000  0.000
0.095005  0.007  -0.008  -0.470  0.110  0.000  0.000
0.098005  0.007  -0.008  -0.470  0.110  0.000  0.000
0.101005  0.004  -0.009  -0.378  -0.075  0.000  0.000
0.104006  0.004  -0.009  -0.378  -0.075  0.000  0.000
0.107006  0.002  -0.009  -0.225  -0.020  0.000  0.000
0.110006  0.002  -0.009  -0.225  -0.020  0.000  0.000
0.113006  0.002  -0.009  -0.225  -0.020  0.000  0.000
0.116006  0.001  -0.008  -0.207  0.109  0.000  0.000
0.119006  0.001  -0.008  -0.207  0.109  0.000  0.000
0.122007  0.000  -0.009  -0.019  -0.099  0.000  0.000
0.125007  0.000  -0.009  -0.019  -0.099  0.000  0.000
0.128007  0.003  -0.007  0.365  0.259  0.000  0.000
0.131007  0.003  -0.007  0.365  0.259  0.000  0.000
0.134007  0.003  -0.007  0.365  0.259  0.000  0.000
0.137007  0.006  -0.008  0.375  -0.122  0.000  0.000
0.140008  0.006  -0.008  0.375  -0.122  0.000  0.000
0.143008  0.010  -0.010  0.403  -0.240  0.000  0.000
0.146008  0.010  -0.010  0.403  -0.240  0.000  0.000
0.149008  0.007  -0.008  -0.260  0.176  0.000  0.000
0.152008  0.007  -0.008  -0.260  0.176  0.000  0.000
0.155008  0.007  -0.008  -0.260  0.176  0.000  0.000
0.158009  0.004  -0.008  -0.405  0.055  0.000  0.000
0.166009  0.004  -0.008  -0.405  0.055  0.000  0.000
0.169009  0.002  -0.008  -0.322  -0.054  0.000  0.000
0.173009  0.002  -0.008  -0.322  -0.054  0.000  0.000
0.177010  0.001  -0.008  -0.071  -0.012  0.000  0.000
0.180010  0.001  -0.008  -0.071  -0.012  0.000  0.000
0.183010  0.001  -0.008  -0.071  -0.012  0.000  0.000
0.186010  0.001  -0.008  -0.016  -0.003  0.000  0.000
0.189010  0.001  -0.008  -0.016  -0.003  0.000  0.000
0.192011  0.001  -0.008  -0.003  -0.001  0.000  0.000
0.196011  0.001  -0.008  -0.003  -0.001  0.000  0.000
0.200011  0.001  -0.008  -0.001  -0.000  0.000  0.000
0.203011  0.001  -0.008  -0.001  -0.000  0.000  0.000
0.206011  0.001  -0.008  -0.001  -0.000  0.000  0.000
0.209012  0.001  -0.008  -0.000  -0.000  0.000  0.000
0.212012  0.001  -0.008  -0.000  -0.000  0.000  0.000
0.215012  0.001  -0.008  -0.000  -0.000  0.000  0.000
0.218012  0.001  -0.008  -0.000  -0.000  0.000  0.000
0.221012  -0.002  -0.009  -0.325  -0.079  0.000  0.000
0.224012  -0.002  -0.009  -0.325  -0.079  0.000  0.000
0.227013  -0.002  -0.009  -0.325  -0.079  0.000  0.000
0.230013  0.000  -0.009  0.223  -0.011  0.000  0.000
0.233013  0.000  -0.009  0.223  -0.011  0.000  0.000
0.236013  0.002  -0.009  0.301  0.040  0.000  0.000
0.239013  0.002  -0.009  0.301  0.040  0.000  0.000
0.242013  0.004  -0.009  0.223  -0.021  0.000  0.000
0.245014  0.004  -0.009  0.223  -0.021  0.000  0.000
0.248014  0.004  -0.009  0.223  -0.021  0.000  0.000
0.251014  0.005  -0.009  0.138  -0.040  0.000  0.000
0.254014  0.005  -0.009  0.138  -0.040  0.000  0.000
0.257014  0.004  -0.010  -0.196  -0.056  0.000  0.000
0.260014  0.004  -0.010  -0.196  -0.056  0.000  0.000
0.263015  0.003  -0.010  -0.083  -0.054  0.000  0.000
0.266015  0.003  -0.010  -0.083  -0.054  0.000  0.000
0.269015  0.003  -0.010  -0.083  -0.054  0.000  0.000
0.272015  0.001  -0.008  -0.225  0.335  0.000  0.000
0.275015  0.001  -0.008  -0.225  0.335  0.000  0.000
0.279016  -0.000  -0.009  -0.178  -0.177  0.000  0.000
0.282016  -0.000  -0.009  -0.178  -0.177  0.000  0.000
0.286016  0.002  -0.010  0.219  -0.129  0.000  0.000
0.289016  0.002  -0.010  0.219  -0.129  0.000  0.000
0.292016  0.002  -0.010  0.219  -0.129  0.000  0.000
0.295016  0.003  -0.010  0.181  0.024  0.000  0.000
0.298017  0.003  -0.010  0.181  0.024  0.000  0.000
0.301017  0.006  -0.008  0.306  0.188  0.000  0.000
0.304017  0.006  -0.008  0.306  0.188  0.000  0.000
0.307017  0.007  -0.010  0.233  -0.222  0.000  0.000
0.310017  0.007  -0.010  0.233  -0.222  0.000  0.000
0.313017  0.007  -0.010  0.233  -0.222  0.000  0.000
0.316018  0.009  -0.008  0.156  0.200  0.000  0.000
0.319018  0.009  -0.008  0.156  0.200  0.000  0.000
0.322018  0.008  -0.008  -0.145  0.113  0.000  0.000
0.325018  0.008  -0.008  -0.145  0.113  0.000  0.000
0.328018  0.004  -0.008  -0.436  -0.088  0.000  0.000
0.331019  0.004  -0.008  -0.436  -0.088  0.000  0.000
0.334019  0.004  -0.008  -0.436  -0.088  0.000  0.000
0.337019  0.002  -0.008  -0.194  0.045  0.000  0.000
0.340019  0.002  -0.008  -0.194  0.045  0.000  0.000
0.343019  0.001  -0.010  -0.214  -0.285  0.000  0.000
0.346019  0.001  -0.010  -0.214  -0.285  0.000  0.000
0.349020  0.001  -0.009  0.013  0.147  0.000  0.000
0.353020  0.001  -0.009  0.013  0.147  0.000  0.000
0.356020  0.001  -0.009  0.013  0.147  0.000  0.000
0.359020  0.001  -0.010  -0.003  -0.076  0.000  0.000
0.363020  0.001  -0.010  -0.003  -0.076  0.000  0.000
0.366021  0.003  -0.010  0.214  -0.019  0.000  0.000
0.369021  0.003  -0.010  0.214  -0.019  0.000  0.000
0.372021  0.006  -0.009  0.425  0.145  0.000  0.000
0.375021  0.006  -0.009  0.425  0.145  0.000  0.000
0.379021  0.006  -0.009  0.425  0.145  0.000  0.000
0.382021  0.007  -0.008  0.094  0.032  0.000  0.000
0.386022  0.007  -0.008  0.094  0.032  0.000  0.000
0.389022  0.007  -0.008  0.021  0.007  0.000  0.000
0.392022  0.007  -0.008  0.021  0.007  0.000  0.000
0.396022  0.007  -0.008  0.005  0.002  0.000  0.000
0.399022  0.007  -0.008  0.005  0.002  0.000  0.000
0.402023  0.007  -0.008  0.005  0.002  0.000  0.000
0.406023  0.007  -0.008  0.001  0.000  0.000  0.000
0.410023  0.007  -0.008  0.001  0.000  0.000  0.000
0.413023  0.007  -0.008  0.000  0.000  0.000  0.000
0.416023  0.007  -0.008  0.000  0.000  0.000  0.000
0.419024  0.009  -0.008  0.316  0.072  0.000  0.000
0.422024  0.009  -0.008  0.316  0.072  0.000  0.000
0.425024  0.009  -0.008  0.316  0.072  0.000  0.000
0.428024  0.007  -0.009  -0.283  -0.133  0.000  0.000
0.431024  0.007  -0.009  -0.283  -0.133  0.000  0.000
0.434024  0.006  -0.008  -0.156  0.086  0.000  0.000
0.438025  0.006  -0.008  -0.156  0.086  0.000  0.000
0.441025  0.002  -0.008  -0.514  0.066  0.000  0.000
0.444025  0.002  -0.008  -0.514  0.066  0.000  0.000
0.447025  0.002  -0.008  -0.514  0.066  0.000  0.000
0.450025  -0.001  -0.007  -0.319  0.092  0.000  0.000
0.453025  -0.001  -0.007  -0.319  0.092  0.000  0.000
0.456026  -0.000  -0.008  0.076  -0.190  0.000  0.000
0.459026  -0.000  -0.008  0.076  -0.190  0.000  0.000
0.462026  0.006  -0.008  0.758  0.028  0.000  0.000
0.465026  0.006  -0.008  0.758  0.028  0.000  0.000
0.468026  0.006  -0.008  0.758  0.028  0.000  0.000
0.471027  0.008  -0.008  0.228  0.009  0.000  0.000
0.474027  0.008  -0.008  0.228  0.009  0.000  0.000
0.477027  0.012  -0.007  0.548  0.078  0.000  0.000
0.480027  0.012  -0.007  0.548  0.078  0.000  0.000
0.483027  0.012  -0.008  0.009  -0.121  0.000  0.000
0.486027  0.012  -0.008  0.009  -0.121  0.000  0.000
0.489028  0.012  -0.008  0.009  -0.121  0.000  0.000
0.492028  0.011  -0.008  -0.182  0.075  0.000  0.000
0.495028  0.011  -0.008  -0.182  0.075  0.000  0.000
