accBasedController [2021-03-27-22-07-02]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
0.004000  0.000  0.000  0.000  0.000  0.000  0.000
0.008000  0.000  0.000  0.000  0.000  0.000  0.000
0.011000  0.002  -0.001  0.277  -0.073  0.000  0.000
0.014000  0.002  -0.001  0.277  -0.073  0.000  0.000
0.017001  0.003  -0.006  0.093  -0.737  0.000  0.000
0.020001  0.003  -0.006  0.093  -0.737  0.000  0.000
0.023001  0.002  -0.007  -0.120  -0.029  0.000  0.000
0.026001  0.002  -0.007  -0.120  -0.029  0.000  0.000
0.029001  0.002  -0.007  -0.120  -0.029  0.000  0.000
0.032001  0.003  -0.006  0.119  0.099  0.000  0.000
0.035002  0.003  -0.006  0.119  0.099  0.000  0.000
0.038002  0.007  -0.005  0.501  0.098  0.000  0.000
0.041002  0.007  -0.005  0.501  0.098  0.000  0.000
0.044002  0.008  -0.006  0.147  -0.164  0.000  0.000
0.047002  0.008  -0.006  0.147  -0.164  0.000  0.000
0.050002  0.008  -0.006  0.147  -0.164  0.000  0.000
0.053003  0.009  -0.007  0.063  -0.009  0.000  0.000
0.056003  0.009  -0.007  0.063  -0.009  0.000  0.000
0.059003  0.011  -0.006  0.260  0.111  0.000  0.000
0.062003  0.011  -0.006  0.260  0.111  0.000  0.000
0.065003  0.011  -0.006  0.063  -0.014  0.000  0.000
0.068003  0.011  -0.006  0.063  -0.014  0.000  0.000
0.071004  0.011  -0.006  0.063  -0.014  0.000  0.000
0.074004  0.010  -0.005  -0.198  0.105  0.000  0.000
0.077004  0.010  -0.005  -0.198  0.105  0.000  0.000
0.080004  0.008  -0.005  -0.217  -0.008  0.000  0.000
0.084004  0.008  -0.005  -0.217  -0.008  0.000  0.000
0.087005  0.008  -0.005  -0.028  -0.049  0.000  0.000
0.090005  0.008  -0.005  -0.028  -0.049  0.000  0.000
0.093005  0.008  -0.005  -0.028  -0.049  0.000  0.000
0.097005  0.004  -0.002  -0.461  0.452  0.000  0.000
0.101005  0.004  -0.002  -0.461  0.452  0.000  0.000
0.104005  0.004  -0.003  -0.043  -0.204  0.000  0.000
0.107006  0.004  -0.003  -0.043  -0.204  0.000  0.000
0.110006  0.006  -0.004  0.277  -0.118  0.000  0.000
0.113006  0.006  -0.004  0.277  -0.118  0.000  0.000
0.116006  0.006  -0.004  0.277  -0.118  0.000  0.000
0.119006  0.006  -0.004  0.049  0.059  0.000  0.000
0.122007  0.006  -0.004  0.049  0.059  0.000  0.000
0.125007  0.007  -0.004  0.154  -0.009  0.000  0.000
0.128007  0.007  -0.004  0.154  -0.009  0.000  0.000
0.131007  0.006  -0.006  -0.212  -0.219  0.000  0.000
