vel_hum: 0.0000, vel_exo: 0.0000, acc_hum: 0.0000, acc_exo: 0.0000, tht_c: 0.0000, tht_l: 0.0000
vel_hum: 0.0000, vel_exo: 0.0000, acc_hum: 0.0000, acc_exo: 0.0000, tht_c: 0.0000, tht_l: 0.0000
vel_hum: 0.0000, vel_exo: 0.0000, acc_hum: 0.0000, acc_exo: 0.0000, tht_c: 0.0000, tht_l: 0.0000
vel_hum: -0.0005, vel_exo: 0.0013, acc_hum: -0.0478, acc_exo: 0.1330, tht_c: 0.0000, tht_l: 0.0069
vel_hum: -0.0021, vel_exo: 0.0053, acc_hum: -0.1650, acc_exo: 0.3997, tht_c: 0.0000, tht_l: 0.0047
vel_hum: -0.0021, vel_exo: 0.0053, acc_hum: -0.1650, acc_exo: 0.3997, tht_c: 0.0000, tht_l: 0.0047
vel_hum: -0.0034, vel_exo: 0.0097, acc_hum: -0.1244, acc_exo: 0.4342, tht_c: 0.0000, tht_l: 0.0075
vel_hum: -0.0034, vel_exo: 0.0097, acc_hum: -0.1244, acc_exo: 0.4342, tht_c: 0.0000, tht_l: 0.0075
vel_hum: -0.0046, vel_exo: 0.0118, acc_hum: -0.1184, acc_exo: 0.2127, tht_c: 0.0000, tht_l: 0.0066
vel_hum: -0.0046, vel_exo: 0.0118, acc_hum: -0.1184, acc_exo: 0.2127, tht_c: 0.0000, tht_l: 0.0066
vel_hum: -0.0040, vel_exo: 0.0119, acc_hum: 0.0522, acc_exo: 0.0110, tht_c: 0.0000, tht_l: 0.0073
vel_hum: -0.0040, vel_exo: 0.0119, acc_hum: 0.0522, acc_exo: 0.0110, tht_c: 0.0000, tht_l: 0.0073
vel_hum: -0.0030, vel_exo: 0.0112, acc_hum: 0.1057, acc_exo: -0.0685, tht_c: 0.0000, tht_l: 0.0050
vel_hum: -0.0030, vel_exo: 0.0112, acc_hum: 0.1057, acc_exo: -0.0685, tht_c: 0.0000, tht_l: 0.0050
vel_hum: -0.0031, vel_exo: 0.0110, acc_hum: -0.0106, acc_exo: -0.0265, tht_c: 0.0000, tht_l: 0.0049
vel_hum: -0.0031, vel_exo: 0.0110, acc_hum: -0.0106, acc_exo: -0.0265, tht_c: 0.0000, tht_l: 0.0049
vel_hum: -0.0044, vel_exo: 0.0107, acc_hum: -0.1362, acc_exo: -0.0227, tht_c: 0.0000, tht_l: 0.0029
vel_hum: -0.0044, vel_exo: 0.0107, acc_hum: -0.1362, acc_exo: -0.0227, tht_c: 0.0000, tht_l: 0.0029
